Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
1995,26.30,26.60,26.55,24.80,26.60
1996,26.09,26.47,26.41,24.58,26.47
1997,26.44,26.76,26.71,24.94,26.76
1998,26.28,26.60,26.55,24.76,26.60
1999,26.35,26.66,26.61,24.82,26.66
2000,26.29,26.66,26.60,24.80,26.66
2001,26.56,26.87,26.82,25.09,26.87
2002,26.45,26.75,26.70,24.96,26.75
2003,26.40,26.76,26.70,24.89,26.76
2004,26.53,26.88,26.82,25.05,26.88
2005,26.61,26.98,26.92,25.16,26.98
2006,26.53,26.85,26.80,25.07,26.85
2007,26.47,26.79,26.74,24.99,26.79
2008,26.57,26.91,26.85,25.08,26.91
2009,26.54,26.84,26.79,25.04,26.84
2010,26.64,26.96,26.91,25.14,26.96
2011,26.74,27.00,26.96,25.21,27.00
2012,26.72,26.96,26.92,25.20,26.96
2013,26.80,27.07,27.02,25.21,27.07
2014,26.68,27.00,26.95,25.20,27.00
