Variable:,tas
,Comoros,Anjouan,Moheli,Ngazidja
1995,26.08,26.35,26.35,25.90
1996,26.04,26.33,26.29,25.84
1997,26.33,26.57,26.54,26.13
1998,26.20,26.48,26.46,26.02
1999,26.23,26.55,26.51,26.04
2000,26.14,26.48,26.44,25.94
2001,26.36,26.68,26.66,26.18
2002,26.40,26.73,26.68,26.21
2003,26.35,26.65,26.59,26.14
2004,26.49,26.76,26.74,26.28
2005,26.30,26.60,26.58,26.11
2006,26.35,26.61,26.56,26.15
2007,26.38,26.71,26.67,26.20
2008,26.50,26.82,26.76,26.30
2009,26.49,26.78,26.75,26.30
2010,26.50,26.82,26.72,26.29
2011,26.50,26.81,26.77,26.31
2012,26.58,26.90,26.86,26.38
2013,26.57,26.86,26.83,26.37
2014,26.59,26.81,26.78,26.39
