Variable:,tas
,"United Arab Emirates","Abu Dhabi",Dubai,"Ras Al Khaimah",Sharjah,"Umm AL Quwain",Ajman,Fujairah
1995,27.56,27.67,27.62,26.89,27.61,27.81,27.18,26.56
1996,27.68,27.87,27.71,26.88,27.63,27.81,27.21,26.52
1997,27.75,27.86,27.79,27.07,27.78,27.99,27.33,26.76
1998,27.64,27.76,27.67,27.00,27.69,27.91,27.24,26.70
1999,27.76,27.88,27.80,27.07,27.80,28.01,27.34,26.74
2000,27.81,27.93,27.87,27.16,27.85,28.05,27.42,26.84
2001,28.08,28.25,28.07,27.24,27.98,28.15,27.53,26.92
2002,27.99,28.13,28.05,27.26,27.98,28.17,27.53,26.94
2003,27.87,28.04,27.90,27.19,27.87,28.05,27.44,26.89
2004,27.95,28.09,28.01,27.21,27.91,28.07,27.44,26.94
2005,27.93,28.07,27.92,27.21,27.90,28.09,27.46,26.91
2006,28.11,28.26,28.11,27.33,28.07,28.26,27.63,27.01
2007,28.22,28.39,28.22,27.47,28.17,28.36,27.75,27.16
2008,28.06,28.22,28.08,27.30,28.07,28.28,27.62,26.95
2009,28.13,28.25,28.19,27.45,28.15,28.33,27.73,27.15
2010,28.24,28.40,28.31,27.54,28.30,28.52,27.84,27.20
2011,28.44,28.67,28.39,27.60,28.32,28.50,27.90,27.27
2012,28.40,28.63,28.41,27.54,28.31,28.49,27.89,27.18
2013,28.24,28.37,28.26,27.54,28.24,28.44,27.79,27.23
2014,28.35,28.46,28.38,27.71,28.42,28.64,27.96,27.41
