Variable:,tas
,"Saudi Arabia",Asir,Baha,"Eastern Province",Hail,Jawf,Jizan,Madinah,Makkah,Najran,"Northern Frontier",Quassim,Riyad,Tabuk
1995,25.49,23.62,28.02,26.98,24.69,22.00,28.43,26.76,26.42,23.33,23.28,25.80,26.00,24.27
1996,25.63,23.75,28.14,27.14,24.78,22.13,28.45,26.84,26.55,23.51,23.54,25.97,26.08,24.32
1997,25.69,23.75,28.17,27.18,24.74,22.24,28.57,26.87,26.57,23.69,23.54,25.96,26.22,24.41
1998,25.63,23.70,28.11,27.12,24.78,22.18,28.48,26.82,26.53,23.50,23.50,25.93,26.14,24.37
1999,25.62,23.70,28.09,27.10,24.78,22.20,28.52,26.81,26.50,23.44,23.60,25.90,26.08,24.35
2000,25.72,23.87,28.23,27.22,24.81,22.30,28.54,26.87,26.58,23.75,23.60,26.02,26.20,24.44
2001,26.08,24.05,28.43,27.56,25.29,22.67,28.73,27.23,26.88,23.89,24.05,26.34,26.56,24.82
2002,25.99,24.01,28.32,27.55,25.17,22.46,28.75,27.13,26.75,23.92,23.77,26.38,26.50,24.63
2003,26.02,24.03,28.35,27.48,25.27,22.70,28.78,27.18,26.77,24.07,24.00,26.36,26.48,24.82
2004,25.96,23.94,28.40,27.46,25.05,22.59,28.94,27.12,26.81,23.90,23.90,26.22,26.45,24.75
2005,26.07,24.05,28.39,27.55,25.21,22.75,28.72,27.20,26.87,24.11,24.00,26.30,26.57,24.79
2006,26.10,23.99,28.38,27.63,25.35,22.70,28.79,27.20,26.86,24.04,23.96,26.39,26.58,24.80
2007,26.19,24.18,28.48,27.70,25.46,22.62,28.78,27.31,26.98,24.04,24.00,26.66,26.74,24.79
2008,26.20,24.09,28.48,27.71,25.34,22.78,28.84,27.35,26.94,24.15,24.04,26.42,26.73,24.96
2009,26.07,24.18,28.44,27.55,25.17,22.65,28.76,27.19,26.93,24.01,23.94,26.34,26.60,24.77
2010,26.30,24.38,28.81,27.80,25.39,22.80,29.12,27.46,27.18,24.16,24.16,26.57,26.87,24.97
2011,26.34,24.31,28.65,27.95,25.34,22.75,29.01,27.30,27.06,24.30,24.09,26.55,26.97,24.84
2012,26.42,24.24,28.62,28.00,25.58,22.89,28.92,27.49,27.07,24.29,24.26,26.74,26.97,25.10
2013,26.24,24.34,28.66,27.80,25.26,22.63,29.00,27.30,27.05,24.37,23.98,26.49,26.84,24.79
2014,26.39,24.36,28.79,27.81,25.68,23.01,29.05,27.60,27.19,24.08,24.37,26.78,26.88,25.11
