Variable:,tas
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1995,7.57,16.54,11.17,16.87,19.46,4.50,22.20,21.31,16.25,24.98,10.49,2.18,15.25,16.30,17.45,15.86,18.65,5.33,8.98,4.56,7.79,-1.93,11.48,14.24,16.87,10.03,9.29,13.87,6.05,-0.57,17.02,16.85
1996,7.73,16.69,11.37,16.67,19.44,4.76,22.21,21.26,15.98,24.91,10.85,2.15,15.56,16.30,17.34,16.14,18.59,5.54,9.21,4.87,8.21,-1.87,11.83,14.64,16.95,10.63,9.29,14.16,6.29,-0.50,16.98,17.03
1997,7.80,16.65,11.53,16.65,19.79,4.65,22.54,21.66,16.44,25.27,10.98,2.37,15.68,16.24,17.35,16.05,18.71,5.73,9.46,5.00,8.23,-1.98,11.80,14.77,16.99,10.60,9.32,14.25,6.26,-0.40,17.26,17.11
1998,7.74,16.70,11.43,16.59,19.47,4.63,22.18,21.15,16.11,25.12,10.80,2.29,15.46,16.25,17.22,16.05,18.62,5.50,9.33,4.87,8.03,-1.81,11.55,14.59,17.07,10.34,9.41,14.31,6.35,-0.52,17.21,16.98
1999,7.87,16.75,11.74,16.78,19.54,4.70,22.31,21.41,16.29,25.28,10.98,2.44,15.47,16.30,17.27,16.27,18.56,5.69,9.36,4.95,8.18,-1.73,11.71,14.56,17.15,10.35,9.51,14.52,6.44,-0.06,17.34,17.12
2000,7.97,16.99,11.89,16.90,19.73,4.88,22.36,21.40,16.21,25.23,11.18,2.64,15.87,16.50,17.40,16.34,18.75,5.84,9.57,5.13,8.15,-1.72,11.83,14.85,17.07,10.66,9.38,14.48,6.57,-0.15,17.24,17.18
2001,8.19,16.96,11.85,16.82,19.82,5.08,22.55,21.52,16.43,25.33,11.26,3.33,15.69,16.40,17.40,16.48,18.77,6.37,9.95,5.58,8.30,-1.40,11.85,14.90,17.29,10.62,9.73,14.59,6.79,-0.13,17.41,17.23
2002,8.12,16.85,11.71,17.02,19.70,4.96,22.48,21.69,16.56,25.24,11.08,3.15,15.56,16.48,17.48,16.25,18.78,6.16,9.65,5.33,8.31,-1.58,11.91,14.70,17.16,10.50,9.67,14.52,6.78,0.00,17.46,17.16
2003,8.00,16.80,11.93,16.76,19.71,4.99,22.44,21.37,16.28,25.23,11.15,2.81,15.46,16.34,17.34,16.23,18.71,5.96,9.57,5.23,8.33,-1.62,11.88,14.78,17.10,10.54,9.52,14.74,6.64,-0.24,17.20,17.11
2004,8.22,17.24,11.93,17.11,19.67,5.19,22.56,21.57,16.46,25.40,11.38,2.71,16.10,16.71,17.61,16.72,18.84,6.04,9.77,5.48,8.42,-1.44,12.30,15.06,17.63,11.10,9.62,14.62,6.90,-0.01,17.42,17.37
2005,8.18,17.04,11.76,17.15,19.69,5.11,22.40,21.42,16.34,25.26,11.23,2.73,16.00,16.67,17.49,16.37,18.80,5.89,9.52,5.45,8.59,-1.42,12.30,15.00,17.25,10.96,9.71,14.43,6.84,0.05,17.24,17.21
2006,8.25,17.04,11.94,17.04,20.01,5.23,22.59,21.45,16.36,25.22,11.31,3.06,15.84,16.57,17.52,16.57,19.03,6.22,9.72,5.61,8.55,-1.49,12.17,15.04,17.47,10.94,9.62,14.63,7.09,-0.20,17.25,17.55
2007,8.01,16.81,11.51,16.84,19.76,4.97,22.48,21.52,16.42,25.29,10.88,2.76,15.52,16.38,17.49,16.23,18.80,5.96,9.62,5.17,8.21,-1.67,11.77,14.51,17.22,10.52,9.51,14.22,6.77,-0.21,17.20,17.25
2008,8.07,16.88,11.68,16.88,19.81,4.97,22.52,21.47,16.39,25.28,10.99,2.91,15.51,16.37,17.43,16.30,18.82,5.99,9.55,5.24,8.23,-1.42,11.91,14.66,17.18,10.52,9.72,14.42,6.66,-0.00,17.43,17.30
2009,8.08,16.82,11.67,16.77,19.76,5.03,22.41,21.36,16.23,25.25,11.04,2.96,15.64,16.35,17.34,16.35,18.76,5.97,9.53,5.23,8.37,-1.55,12.00,14.72,17.27,10.70,9.49,14.48,6.91,-0.09,17.22,17.27
2010,8.34,17.02,11.87,17.25,19.81,5.43,22.44,21.60,16.54,25.36,11.21,3.16,15.96,16.72,17.61,16.43,18.89,6.13,9.51,5.56,8.94,-1.16,12.36,14.89,17.28,10.94,9.85,14.50,7.12,0.16,17.36,17.34
2011,8.24,17.22,11.67,17.06,19.87,5.28,22.58,21.49,16.36,25.37,11.07,2.97,15.90,16.77,17.72,16.57,19.02,6.08,9.61,5.45,8.65,-1.34,12.19,14.83,17.43,10.78,9.62,14.40,7.05,-0.04,17.29,17.39
2012,8.38,17.14,11.85,17.02,19.76,5.36,22.60,21.58,16.45,25.50,11.23,3.11,15.93,16.67,17.67,16.52,18.99,6.24,9.73,5.62,8.72,-1.20,12.18,14.83,17.44,10.92,9.83,14.56,7.26,0.26,17.46,17.40
2013,8.32,17.13,11.88,16.90,19.97,5.20,22.63,21.69,16.49,25.49,11.29,3.20,15.92,16.67,17.56,16.57,18.96,6.29,9.87,5.67,8.65,-1.35,12.26,14.93,17.39,10.87,9.79,14.72,6.93,0.21,17.52,17.43
2014,8.44,17.19,12.15,17.22,19.74,5.40,22.43,21.56,16.57,25.47,11.50,3.20,15.82,16.66,17.61,16.56,18.92,6.08,9.73,5.56,8.81,-0.98,12.37,15.00,17.41,11.21,10.06,14.94,7.14,0.56,17.56,17.28
