Variable:,tas
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
1995,26.43,26.45,26.81,26.76,26.75
1996,26.45,26.48,26.82,26.80,26.69
1997,26.58,26.60,26.90,26.79,26.73
1998,26.50,26.54,26.81,26.73,26.70
1999,26.63,26.69,26.96,26.90,26.83
2000,26.59,26.66,26.90,26.91,26.75
2001,26.78,26.80,27.10,27.03,26.94
2002,26.85,26.85,27.17,27.05,26.85
2003,26.76,26.79,27.10,27.05,26.91
2004,26.95,26.97,27.24,27.14,26.99
2005,26.78,26.79,27.12,27.04,26.99
2006,26.86,26.92,27.20,27.14,27.02
2007,26.74,26.75,27.14,27.09,27.20
2008,26.90,26.96,27.19,27.14,27.03
2009,26.83,26.82,27.14,27.00,26.90
2010,26.99,27.01,27.27,27.17,27.11
2011,27.05,27.06,27.30,27.17,27.03
2012,27.11,27.14,27.44,27.31,27.05
2013,27.11,27.17,27.46,27.39,27.25
2014,27.18,27.16,27.49,27.27,27.18
