Variable:,tas
,Senegal,Kaolack,Kedougou,Kolda,Sedhiou,Tambacounda,Kaffrine,Dakar,Thies,Ziguinchor,Diourbel,Fatick,Louga,Matam,"Saint louis"
1995,28.80,27.23,27.89,27.81,27.53,29.00,28.31,24.97,26.30,26.12,27.39,26.81,27.86,29.50,28.14
1996,28.71,27.18,27.74,27.72,27.49,28.86,28.21,24.89,26.28,26.09,27.36,26.78,27.74,29.40,28.10
1997,28.86,27.25,28.11,27.87,27.48,29.05,28.29,24.98,26.41,26.10,27.47,26.87,27.84,29.47,28.25
1998,28.75,27.21,27.95,27.79,27.44,28.91,28.21,24.98,26.36,26.15,27.43,26.87,27.77,29.40,28.11
1999,28.95,27.39,28.07,27.92,27.63,29.04,28.47,25.10,26.55,26.27,27.65,27.04,28.05,29.60,28.41
2000,28.83,27.28,27.91,27.88,27.57,28.94,28.29,25.03,26.47,26.18,27.50,26.91,27.86,29.49,28.33
2001,29.17,27.52,28.34,28.18,27.81,29.40,28.60,25.08,26.53,26.32,27.69,27.09,28.07,29.87,28.43
2002,29.02,27.33,28.25,28.11,27.61,29.31,28.45,25.04,26.37,26.13,27.50,26.90,27.88,29.72,28.29
2003,29.18,27.48,28.25,28.17,27.69,29.39,28.57,25.02,26.60,26.40,27.69,27.11,28.10,29.91,28.53
2004,29.33,27.55,28.55,28.35,27.81,29.61,28.77,25.07,26.54,26.29,27.73,27.08,28.21,30.02,28.52
2005,29.04,27.49,28.23,28.10,27.77,29.25,28.50,25.11,26.56,26.36,27.65,27.08,28.01,29.65,28.36
2006,29.12,27.47,28.20,28.18,27.74,29.32,28.62,25.07,26.49,26.36,27.65,27.05,28.07,29.83,28.47
2007,29.25,27.65,28.42,28.37,28.00,29.49,28.73,25.09,26.58,26.52,27.77,27.20,28.15,29.89,28.56
2008,29.20,27.45,28.48,28.27,27.76,29.44,28.62,25.08,26.44,26.27,27.59,26.99,28.09,29.90,28.47
2009,29.18,27.43,28.33,28.18,27.71,29.43,28.57,25.15,26.54,26.29,27.64,27.04,28.06,29.93,28.48
2010,29.41,27.69,28.67,28.50,27.96,29.68,28.89,25.22,26.62,26.57,27.83,27.22,28.28,30.11,28.70
2011,29.25,27.49,28.60,28.36,27.80,29.55,28.64,25.10,26.51,26.33,27.65,27.05,28.09,29.93,28.50
2012,29.35,27.59,28.51,28.42,27.87,29.60,28.73,25.28,26.63,26.52,27.74,27.15,28.21,30.07,28.66
2013,29.33,27.74,28.47,28.33,27.99,29.45,28.82,25.49,26.85,26.63,27.97,27.37,28.38,30.01,28.74
2014,29.42,27.72,28.61,28.44,27.98,29.62,28.87,25.36,26.73,26.51,27.89,27.28,28.32,30.14,28.75
