Variable:,tas
,"Sao Tome and Principe",Principe,"Sao Tome"
1995,25.33,26.23,25.81
1996,25.35,26.24,25.86
1997,25.48,26.38,26.00
1998,25.35,26.26,25.88
1999,25.38,26.26,25.88
2000,25.57,26.44,26.10
2001,25.57,26.43,26.10
2002,25.53,26.41,26.06
2003,25.64,26.51,26.20
2004,25.78,26.66,26.24
2005,25.59,26.48,26.11
2006,25.67,26.56,26.22
2007,25.66,26.52,26.19
2008,25.71,26.59,26.20
2009,25.75,26.61,26.28
2010,25.91,26.82,26.43
2011,25.82,26.72,26.34
2012,25.80,26.69,26.32
2013,26.00,26.93,26.51
2014,25.92,26.76,26.46
