Variable:,tas
,"British Virgin Islands",Anegada,"Jost van Dyke","Other Islands",Tortola,"Virgin Gorda"
1995,26.38,26.38,26.38,26.38,26.38,26.38
1996,26.42,26.42,26.42,26.42,26.42,26.42
1997,26.58,26.58,26.58,26.58,26.58,26.58
1998,26.43,26.43,26.43,26.43,26.43,26.43
1999,26.45,26.45,26.45,26.45,26.45,26.45
2000,26.50,26.50,26.50,26.50,26.50,26.50
2001,26.58,26.58,26.58,26.58,26.58,26.58
2002,26.51,26.51,26.51,26.51,26.51,26.51
2003,26.61,26.61,26.61,26.61,26.61,26.61
2004,26.65,26.65,26.65,26.65,26.65,26.65
2005,26.71,26.71,26.71,26.71,26.71,26.71
2006,26.64,26.64,26.64,26.64,26.64,26.64
2007,26.72,26.72,26.72,26.72,26.72,26.72
2008,26.70,26.70,26.70,26.70,26.70,26.70
2009,26.73,26.73,26.73,26.73,26.73,26.73
2010,26.81,26.81,26.81,26.81,26.81,26.81
2011,26.85,26.85,26.85,26.85,26.85,26.85
2012,26.82,26.82,26.82,26.82,26.82,26.82
2013,26.73,26.73,26.73,26.73,26.73,26.73
2014,26.86,26.86,26.86,26.86,26.86,26.86
