Variable:,tas
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
1995,20.21,18.66,18.65,17.90,17.04,21.42,21.14,15.75,18.06,17.99,22.21,16.18,19.14,17.20,19.04,21.30,18.71,20.18,19.70,17.23,18.90,22.69,21.96,18.65,17.85
1996,20.56,18.95,18.91,18.32,17.46,21.83,21.55,16.15,18.40,18.39,22.60,16.58,19.42,17.60,19.33,21.62,18.98,20.51,20.06,17.62,19.18,22.99,22.41,18.91,18.19
1997,20.73,19.08,19.10,18.33,17.53,22.01,21.76,16.32,18.65,18.66,22.79,16.80,19.66,17.69,19.58,21.83,19.16,20.68,20.28,17.78,19.42,23.21,22.63,19.10,18.32
1998,20.47,18.87,18.87,18.12,17.26,21.72,21.45,15.95,18.35,18.31,22.51,16.44,19.40,17.42,19.31,21.53,18.94,20.46,20.00,17.48,19.15,22.93,22.31,18.87,18.07
1999,20.52,18.88,18.89,18.11,17.32,21.77,21.55,16.11,18.42,18.41,22.54,16.57,19.46,17.48,19.37,21.57,18.95,20.54,20.07,17.55,19.21,22.97,22.34,18.89,18.11
2000,20.78,19.20,19.21,18.46,17.64,22.01,21.78,16.30,18.63,18.59,22.78,16.75,19.68,17.80,19.58,21.83,19.27,20.77,20.30,17.82,19.45,23.26,22.56,19.21,18.43
2001,20.74,19.01,19.01,18.32,17.50,22.09,21.74,16.25,18.54,18.57,22.93,16.72,19.57,17.64,19.48,21.86,19.08,20.68,20.25,17.70,19.32,23.36,22.67,19.01,18.26
2002,20.88,19.22,19.25,18.44,17.69,22.20,21.96,16.42,18.75,18.82,23.04,16.93,19.72,17.85,19.63,21.98,19.30,20.80,20.43,17.92,19.50,23.39,22.85,19.25,18.48
2003,20.74,19.06,19.03,18.36,17.48,22.01,21.71,16.22,18.57,18.61,22.77,16.74,19.62,17.63,19.53,21.89,19.10,20.69,20.23,17.70,19.36,23.25,22.60,19.03,18.26
2004,21.04,19.29,19.31,18.50,17.70,22.34,22.03,16.39,18.84,18.87,23.21,16.94,19.84,17.87,19.75,22.18,19.37,20.96,20.54,17.96,19.60,23.80,22.94,19.31,18.52
2005,20.82,19.22,19.21,18.52,17.64,22.08,21.81,16.30,18.72,18.67,22.83,16.79,19.77,17.79,19.68,21.90,19.28,20.80,20.36,17.86,19.52,23.24,22.63,19.21,18.43
2006,20.98,19.35,19.34,18.62,17.76,22.23,21.98,16.44,18.85,18.87,23.08,16.97,19.87,17.91,19.78,22.02,19.40,20.95,20.52,17.98,19.63,23.55,22.88,19.34,18.56
2007,21.17,19.47,19.50,18.67,17.91,22.49,22.27,16.62,19.02,19.07,23.32,17.15,20.03,18.07,19.94,22.26,19.55,21.14,20.74,18.15,19.79,23.73,23.11,19.50,18.72
2008,21.19,19.46,19.49,18.64,17.90,22.52,22.28,16.70,19.09,19.15,23.31,17.23,20.12,18.07,20.03,22.33,19.54,21.20,20.77,18.18,19.85,23.68,23.15,19.49,18.71
2009,21.21,19.65,19.67,18.88,18.10,22.48,22.32,16.86,19.19,19.19,23.20,17.34,20.21,18.26,20.15,22.24,19.72,21.26,20.84,18.33,19.99,23.51,23.05,19.67,18.89
2010,21.39,19.84,19.84,19.05,18.34,22.60,22.40,17.00,19.39,19.35,23.37,17.50,20.34,18.50,20.25,22.40,19.90,21.36,20.98,18.57,20.11,23.78,23.20,19.84,19.10
2011,21.23,19.56,19.59,18.76,18.05,22.45,22.24,16.83,19.26,19.16,23.23,17.31,20.29,18.22,20.22,22.26,19.64,21.30,20.85,18.33,20.01,23.73,23.07,19.59,18.83
2012,21.11,19.49,19.48,18.71,17.86,22.39,22.10,16.54,18.95,18.90,23.19,17.02,20.00,18.03,19.91,22.21,19.55,21.08,20.63,18.08,19.76,23.62,22.96,19.48,18.68
2013,21.22,19.65,19.63,18.93,18.06,22.46,22.25,16.79,19.12,19.09,23.22,17.25,20.15,18.21,20.06,22.27,19.70,21.19,20.80,18.27,19.91,23.66,23.06,19.63,18.85
2014,21.16,19.53,19.54,18.82,18.02,22.40,22.14,16.75,19.15,19.09,23.10,17.25,20.16,18.17,20.08,22.27,19.60,21.12,20.71,18.27,19.90,23.57,22.91,19.54,18.79
