Variable:,tas
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
1995,28.04,27.92,27.17,26.65,28.26,26.17,25.97
1996,27.95,27.84,27.11,26.59,28.15,26.11,25.91
1997,28.04,27.94,27.15,26.62,28.31,26.13,25.93
1998,27.96,27.86,27.11,26.63,28.21,26.19,26.01
1999,28.14,28.01,27.26,26.75,28.32,26.29,26.10
2000,28.03,27.93,27.19,26.67,28.24,26.20,26.00
2001,28.35,28.24,27.45,26.90,28.60,26.40,26.19
2002,28.24,28.18,27.27,26.71,28.61,26.21,26.00
2003,28.34,28.23,27.39,26.89,28.63,26.43,26.24
2004,28.50,28.40,27.48,26.89,28.83,26.36,26.13
2005,28.27,28.18,27.43,26.90,28.52,26.42,26.22
2006,28.34,28.25,27.39,26.87,28.65,26.39,26.19
2007,28.50,28.45,27.61,27.07,28.82,26.57,26.36
2008,28.38,28.26,27.40,26.83,28.65,26.32,26.10
2009,28.33,28.23,27.35,26.82,28.64,26.34,26.14
2010,28.62,28.58,27.64,27.08,29.00,26.58,26.37
2011,28.43,28.39,27.43,26.87,28.86,26.36,26.15
2012,28.51,28.45,27.55,26.99,28.87,26.49,26.28
2013,28.51,28.39,27.64,27.13,28.72,26.67,26.47
2014,28.60,28.54,27.66,27.10,28.91,26.60,26.39
