Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1995,27.16,27.99,27.67,23.46,28.34,28.31,25.68,24.88
1996,27.28,28.22,27.76,23.61,28.45,28.43,25.85,24.99
1997,27.14,27.92,27.72,23.50,28.38,28.26,25.68,24.83
1998,27.11,27.94,27.69,23.44,28.37,28.27,25.68,24.79
1999,27.23,28.01,27.85,23.52,28.44,28.40,25.72,24.97
2000,27.21,28.08,27.70,23.46,28.47,28.42,25.81,24.88
2001,27.44,28.30,27.94,23.78,28.61,28.71,26.12,25.12
2002,27.41,28.24,27.96,23.73,28.67,28.54,25.93,25.12
2003,27.42,28.25,27.95,23.78,28.67,28.64,26.02,25.10
2004,27.59,28.39,28.16,23.85,28.87,28.66,26.10,25.26
2005,27.64,28.47,28.06,23.91,28.71,28.87,26.36,25.41
2006,27.48,28.36,27.98,23.64,28.64,28.55,25.97,25.19
2007,27.45,28.26,28.02,23.71,28.69,28.58,25.90,25.15
2008,27.44,28.25,28.03,23.75,28.68,28.57,25.96,25.10
2009,27.64,28.60,28.08,23.92,28.72,28.90,26.30,25.38
2010,27.73,28.49,28.37,23.93,28.97,28.80,26.17,25.40
2011,27.74,28.58,28.28,24.05,28.95,28.95,26.29,25.42
2012,27.69,28.50,28.23,23.90,28.91,28.83,26.17,25.37
2013,27.66,28.48,28.24,23.90,28.84,28.78,26.20,25.38
2014,27.74,28.58,28.30,24.02,28.96,28.93,26.25,25.45
