Variable:,tas
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1995,14.17,17.12,12.83,10.93,18.20,19.87,11.30,12.81,14.96,14.95,17.78,15.41,16.65,13.64,14.85,17.77,16.03,12.20,11.61,11.10
1996,14.39,17.40,13.20,10.87,18.47,19.86,11.29,12.96,15.25,15.25,18.20,15.87,16.82,13.67,15.12,18.17,16.40,12.37,11.68,11.33
1997,14.44,17.37,13.13,11.01,18.61,19.85,11.47,13.09,15.27,15.29,18.00,15.77,16.86,13.71,15.09,18.29,16.44,12.51,11.86,11.44
1998,14.52,17.45,13.18,11.21,18.57,19.92,11.65,13.17,15.32,15.24,18.02,15.83,16.95,13.83,15.23,18.08,16.43,12.58,12.03,11.49
1999,14.52,17.51,13.15,11.28,18.53,20.02,11.72,13.13,15.22,15.36,18.29,15.85,17.13,13.81,15.04,18.16,16.47,12.56,11.98,11.46
2000,14.68,17.60,13.46,11.09,18.80,19.97,11.57,13.27,15.64,15.48,18.11,16.07,17.07,13.65,15.42,18.25,16.66,12.86,12.10,11.76
2001,14.64,17.64,13.34,11.15,18.64,20.14,11.54,13.31,15.49,15.36,18.35,15.97,17.16,13.87,15.32,18.26,16.68,12.64,11.97,11.56
2002,14.72,17.66,13.43,11.26,18.79,20.20,11.66,13.37,15.50,15.47,18.36,16.08,17.21,14.05,15.35,18.31,16.74,12.87,12.12,11.76
2003,14.87,17.69,13.56,11.45,18.77,20.25,11.96,13.63,15.70,15.51,18.32,16.02,17.43,14.18,15.66,18.33,16.61,13.06,12.36,11.98
2004,14.71,17.71,13.38,11.22,18.79,20.14,11.67,13.39,15.51,15.48,18.34,16.00,17.32,13.97,15.36,18.36,16.55,12.76,12.06,11.69
2005,14.96,17.87,13.61,11.51,18.94,20.10,12.01,13.67,15.78,15.62,18.56,16.05,17.51,14.20,15.79,18.47,16.76,13.19,12.54,12.14
2006,14.78,17.68,13.49,11.43,18.80,20.05,11.86,13.40,15.55,15.56,18.32,16.07,17.24,14.09,15.39,18.44,16.72,12.94,12.29,11.81
2007,14.69,17.66,13.38,11.36,18.90,20.17,11.72,13.37,15.45,15.48,18.45,16.09,17.19,13.98,15.23,18.52,16.75,12.68,12.03,11.58
2008,14.81,17.79,13.43,11.47,18.69,20.19,11.87,13.54,15.59,15.47,18.49,15.99,17.47,14.11,15.54,18.48,16.72,12.91,12.26,11.82
2009,15.08,18.03,13.83,11.71,19.05,20.24,12.17,13.73,15.89,15.91,18.64,16.37,17.50,14.15,15.69,18.77,17.05,13.21,12.56,12.15
2010,14.82,17.82,13.55,11.15,18.86,20.03,11.65,13.46,15.71,15.60,18.17,16.26,17.42,13.87,15.50,18.66,16.90,12.80,12.10,11.69
2011,14.99,17.90,13.75,11.54,18.89,20.18,11.99,13.62,15.85,15.83,18.39,16.37,17.37,14.12,15.66,18.84,17.01,13.10,12.39,12.00
2012,14.83,17.76,13.54,11.37,18.93,20.27,11.86,13.42,15.67,15.70,18.45,16.13,17.32,13.99,15.43,18.57,16.75,12.94,12.27,11.82
2013,14.97,18.02,13.67,11.45,18.99,20.39,11.96,13.53,15.87,15.72,18.57,16.34,17.49,14.03,15.61,18.80,17.07,12.98,12.37,11.85
2014,15.01,17.86,13.69,11.57,18.97,20.25,11.96,13.75,15.86,15.70,18.46,16.35,17.51,14.28,15.72,18.60,16.98,13.12,12.37,12.00
