Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1995,24.99,27.11,25.34,27.15,25.34,23.80,26.39,26.02
1996,25.09,27.22,25.51,27.23,25.46,23.95,26.49,26.16
1997,25.18,27.29,25.58,27.31,25.51,24.01,26.58,26.24
1998,25.14,27.32,25.51,27.29,25.52,23.94,26.55,26.19
1999,24.96,27.08,25.36,27.11,25.30,23.79,26.40,26.04
2000,25.12,27.28,25.55,27.33,25.48,23.96,26.61,26.26
2001,25.37,27.50,25.79,27.50,25.73,24.21,26.82,26.47
2002,25.26,27.42,25.65,27.45,25.62,24.08,26.70,26.34
2003,25.43,27.59,25.78,27.60,25.80,24.24,26.77,26.41
2004,25.31,27.50,25.71,27.59,25.67,24.11,26.81,26.42
2005,25.43,27.66,25.93,27.68,25.82,24.28,26.97,26.63
2006,25.29,27.42,25.73,27.45,25.63,24.13,26.75,26.38
2007,25.35,27.52,25.79,27.54,25.71,24.18,26.78,26.43
2008,25.57,27.68,25.93,27.70,25.90,24.38,26.94,26.60
2009,25.34,27.47,25.65,27.49,25.69,24.11,26.73,26.35
2010,25.45,27.59,25.86,27.60,25.79,24.26,26.95,26.56
2011,25.46,27.63,25.84,27.65,25.84,24.28,26.89,26.51
2012,25.56,27.72,25.98,27.74,25.91,24.38,27.06,26.69
2013,25.59,27.75,25.99,27.77,25.95,24.40,27.05,26.70
2014,25.47,27.60,25.88,27.63,25.83,24.31,26.91,26.56
