Variable:,tas
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
1995,22.53,22.70,23.76,22.09,21.26,21.33,21.59,23.69,22.08,20.56,20.89
1996,22.44,22.53,23.71,22.10,21.30,21.28,21.65,23.38,22.01,20.71,21.02
1997,22.82,22.85,23.86,22.54,21.77,21.95,22.15,23.75,22.28,21.26,21.43
1998,22.80,22.93,24.03,22.51,21.60,21.62,21.96,23.75,22.28,20.92,21.19
1999,22.55,22.62,23.95,22.19,21.43,21.34,21.65,23.59,21.95,20.69,21.01
2000,22.91,23.16,24.34,22.45,21.57,21.97,22.08,23.86,22.49,21.20,21.41
2001,22.81,22.92,24.06,22.43,21.72,21.75,21.94,23.77,22.41,21.15,21.33
2002,22.88,22.97,24.23,22.55,21.70,21.54,21.90,23.98,22.33,20.88,21.24
2003,23.03,23.20,24.08,22.73,21.80,22.14,22.31,23.93,22.63,21.36,21.61
2004,23.04,23.16,24.38,22.60,21.89,21.72,22.09,24.11,22.61,21.06,21.47
2005,23.19,23.33,24.34,22.93,21.86,21.95,22.19,24.38,22.61,21.20,21.53
2006,22.89,22.88,24.02,22.57,21.93,21.87,22.22,23.85,22.20,21.29,21.60
2007,22.91,23.06,24.09,22.54,21.84,21.74,22.04,23.86,22.42,21.14,21.46
2008,23.04,23.25,24.38,22.59,21.83,21.91,22.14,23.99,22.69,21.27,21.49
2009,23.16,23.42,24.55,22.68,21.76,22.13,22.36,24.20,22.69,21.31,21.50
2010,23.13,23.17,24.36,22.83,22.15,21.96,22.29,24.12,22.49,21.37,21.74
2011,23.26,23.36,24.32,22.99,22.14,22.05,22.57,24.23,22.68,21.48,21.80
2012,23.17,23.39,24.50,22.69,22.17,21.97,22.20,24.01,22.87,21.28,21.58
2013,23.27,23.30,24.34,23.01,22.43,22.12,22.51,24.09,22.75,21.56,21.96
2014,23.17,23.31,24.56,22.75,21.93,22.06,22.32,24.17,22.73,21.32,21.67
