Variable:,tas
,Iraq,Anbar,Basrah,Muthanna,Qadissiya,Najaf,Erbil,Kirkuk,Babil,Baghdad,Thi-Qar,Dahuk,Diyala,Kerbala,Missan,Ninewa,"Salah al-Din",Sulaymaniyah,Wassit
1995,22.53,21.50,25.59,24.87,24.43,23.85,20.87,23.18,24.05,23.60,25.20,19.17,24.00,23.39,25.34,20.87,22.92,21.60,24.69
1996,22.82,21.79,25.89,25.24,24.84,24.19,21.10,23.45,24.51,23.91,25.55,19.43,24.27,23.78,25.59,21.18,23.23,21.81,25.03
1997,22.86,21.76,25.98,25.14,24.76,24.12,21.17,23.55,24.45,24.01,25.56,19.54,24.38,23.74,25.73,21.21,23.30,22.00,25.06
1998,22.63,21.63,25.73,25.05,24.57,24.00,20.91,23.34,24.20,23.77,25.28,19.18,24.11,23.52,25.40,20.99,23.08,21.70,24.78
1999,22.78,21.74,25.84,25.18,24.77,24.19,21.17,23.49,24.43,23.89,25.49,19.55,24.19,23.71,25.49,21.17,23.20,21.87,24.88
2000,22.92,21.80,25.94,25.24,24.84,24.14,21.40,23.72,24.51,24.10,25.64,19.66,24.44,23.78,25.69,21.38,23.40,22.06,25.09
2001,23.27,22.20,26.39,25.71,25.32,24.67,21.52,23.92,24.96,24.44,26.03,19.71,24.82,24.26,26.06,21.49,23.69,22.37,25.53
2002,22.97,21.84,26.19,25.39,24.96,24.28,21.27,23.63,24.56,24.08,25.75,19.45,24.49,23.82,25.88,21.22,23.39,22.07,25.23
2003,23.20,22.17,26.29,25.57,25.21,24.58,21.50,23.85,24.85,24.35,25.94,19.78,24.69,24.14,25.98,21.55,23.64,22.23,25.39
2004,23.21,22.23,26.10,25.52,25.15,24.48,21.57,23.89,24.84,24.35,25.88,19.96,24.68,24.17,25.94,21.65,23.63,22.23,25.40
2005,23.13,22.20,26.25,25.51,25.10,24.49,21.34,23.74,24.81,24.34,25.85,19.65,24.60,24.17,25.92,21.42,23.58,22.05,25.32
2006,23.08,21.98,26.21,25.54,25.13,24.51,21.34,23.80,24.75,24.24,25.84,19.62,24.63,24.01,25.89,21.40,23.53,22.11,25.30
2007,23.16,22.06,26.39,25.60,25.12,24.48,21.50,23.87,24.80,24.26,25.94,19.77,24.65,24.09,26.03,21.49,23.58,22.22,25.38
2008,23.18,22.12,26.26,25.57,25.06,24.52,21.55,23.80,24.66,24.22,25.84,20.02,24.62,23.98,25.99,21.61,23.54,22.28,25.31
2009,23.16,22.10,26.24,25.51,25.17,24.53,21.54,23.95,24.87,24.37,25.85,19.75,24.73,24.09,25.94,21.55,23.63,22.22,25.38
2010,23.44,22.41,26.49,25.72,25.38,24.73,21.74,24.13,25.12,24.63,26.11,20.06,24.95,24.42,26.24,21.78,23.90,22.51,25.66
2011,23.31,22.21,26.33,25.66,25.21,24.64,21.74,24.12,24.89,24.48,25.92,19.97,24.85,24.16,26.04,21.77,23.82,22.46,25.48
2012,23.39,22.34,26.46,25.83,25.37,24.80,21.77,24.06,24.99,24.52,26.09,20.08,24.81,24.32,26.06,21.79,23.84,22.45,25.52
2013,23.26,22.19,26.32,25.59,25.24,24.63,21.61,23.96,24.95,24.47,25.94,20.03,24.76,24.27,26.01,21.73,23.71,22.27,25.47
2014,23.67,22.49,26.73,26.08,25.64,25.00,22.18,24.44,25.36,24.83,26.39,20.41,25.16,24.60,26.46,22.10,24.09,22.80,25.87
