Variable:,tas
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
1995,27.31,27.21,27.89,27.14,26.88,28.43
1996,27.39,27.32,27.84,27.26,26.99,28.53
1997,27.52,27.45,27.98,27.30,27.11,28.61
1998,27.56,27.49,28.07,27.22,27.08,28.71
1999,27.56,27.49,28.00,27.32,27.13,28.62
2000,27.60,27.49,28.14,27.37,27.16,28.82
2001,27.87,27.75,28.45,27.45,27.34,29.17
2002,27.81,27.72,28.23,27.47,27.31,28.85
2003,27.74,27.68,28.18,27.48,27.32,28.92
2004,28.12,28.11,28.66,27.66,27.60,29.31
2005,27.80,27.66,28.23,27.52,27.29,28.98
2006,27.78,27.71,28.26,27.47,27.36,28.87
2007,27.66,27.51,28.09,27.48,27.25,28.82
2008,27.89,27.82,28.47,27.63,27.46,29.06
2009,27.82,27.71,28.33,27.58,27.33,28.95
2010,28.08,27.91,28.62,27.74,27.61,29.35
2011,28.01,28.03,28.40,27.75,27.56,29.30
2012,28.11,28.06,28.58,27.77,27.63,29.19
2013,27.99,27.99,28.45,27.81,27.62,29.04
2014,28.13,28.05,28.61,27.84,27.71,29.28
