Variable:,tas
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
1995,26.17,27.00,26.66,25.84,25.90,26.82,25.81,26.14,25.10
1996,26.17,26.93,26.57,25.86,25.95,26.77,25.72,26.12,25.06
1997,26.43,27.07,26.71,26.10,26.21,26.87,26.01,26.27,25.31
1998,26.38,27.01,26.62,26.02,26.18,26.79,25.91,26.21,25.32
1999,26.43,27.15,26.74,26.06,26.21,26.94,25.99,26.29,25.32
2000,26.36,27.12,26.68,26.02,26.14,26.87,25.94,26.26,25.33
2001,26.66,27.28,26.86,26.31,26.46,27.04,26.24,26.51,25.51
2002,26.68,27.29,26.76,26.36,26.47,27.07,26.25,26.58,25.53
2003,26.63,27.30,26.83,26.26,26.42,27.07,26.19,26.47,25.53
2004,26.89,27.43,26.84,26.54,26.74,27.14,26.45,26.64,25.71
2005,26.60,27.30,26.92,26.27,26.37,27.09,26.20,26.49,25.45
2006,26.58,27.31,26.96,26.24,26.35,27.14,26.14,26.52,25.51
2007,26.63,27.49,27.14,26.21,26.36,27.20,26.26,26.49,25.38
2008,26.80,27.40,26.91,26.43,26.63,27.09,26.28,26.49,25.71
2009,26.73,27.34,26.80,26.39,26.54,27.10,26.29,26.58,25.59
2010,26.99,27.60,27.04,26.62,26.78,27.23,26.61,26.74,25.82
2011,26.97,27.53,26.97,26.65,26.80,27.25,26.52,26.83,25.85
2012,26.93,27.51,26.96,26.61,26.74,27.27,26.49,26.79,25.77
2013,26.88,27.58,27.20,26.52,26.63,27.40,26.47,26.80,25.85
2014,27.02,27.56,27.05,26.74,26.87,27.31,26.56,26.83,25.87
