Variable:,tas
,"Timor Leste",Aileu,Ainaro,Baucau,Bobonaro,Covalima,Dili,Ermera,Lautem,Liquica,Manatuto,Manufahi,Oecussi,Viqueque
1995,25.60,25.58,25.98,25.19,25.89,26.35,25.58,25.58,25.74,25.58,25.46,26.01,25.72,25.19
1996,25.51,25.55,25.94,25.10,25.85,26.30,25.55,25.55,25.62,25.55,25.41,25.97,25.73,25.10
1997,25.64,25.68,26.03,25.25,25.95,26.35,25.68,25.68,25.74,25.68,25.54,26.06,25.77,25.25
1998,25.61,25.68,26.00,25.22,25.93,26.30,25.68,25.68,25.71,25.68,25.53,26.04,25.72,25.22
1999,25.70,25.77,26.12,25.30,26.04,26.45,25.77,25.77,25.79,25.77,25.62,26.16,25.89,25.30
2000,25.62,25.66,26.03,25.21,25.95,26.37,25.66,25.66,25.72,25.66,25.52,26.06,25.83,25.21
2001,25.74,25.77,26.13,25.35,26.06,26.47,25.77,25.77,25.85,25.77,25.64,26.17,25.98,25.35
2002,25.79,25.80,26.16,25.40,26.08,26.49,25.80,25.80,25.92,25.80,25.68,26.20,25.98,25.40
2003,25.88,25.99,26.33,25.52,26.25,26.65,25.99,25.99,25.96,25.99,25.84,26.36,25.97,25.52
2004,25.86,25.94,26.28,25.45,26.21,26.59,25.94,25.94,25.94,25.94,25.78,26.31,26.09,25.45
2005,25.85,25.90,26.26,25.46,26.18,26.60,25.90,25.90,25.94,25.90,25.76,26.30,26.06,25.46
2006,25.88,25.92,26.25,25.49,26.18,26.56,25.92,25.92,26.00,25.92,25.78,26.29,25.98,25.49
2007,25.84,25.89,26.26,25.45,26.18,26.60,25.89,25.89,25.94,25.89,25.75,26.29,26.02,25.45
2008,25.95,26.00,26.38,25.56,26.29,26.72,26.00,26.00,26.05,26.00,25.86,26.41,26.15,25.56
2009,25.82,25.88,26.21,25.42,26.14,26.52,25.88,25.88,25.91,25.88,25.73,26.25,25.93,25.42
2010,25.92,26.07,26.40,25.50,26.33,26.71,26.07,26.07,25.98,26.07,25.87,26.43,26.14,25.50
2011,25.91,26.00,26.35,25.52,26.28,26.68,26.00,26.00,25.98,26.00,25.84,26.39,26.16,25.52
2012,26.09,26.17,26.48,25.70,26.41,26.77,26.17,26.17,26.17,26.17,26.02,26.52,26.17,25.70
2013,26.09,26.14,26.51,25.70,26.43,26.85,26.14,26.14,26.20,26.14,26.00,26.54,26.27,25.70
2014,26.03,26.09,26.47,25.62,26.38,26.82,26.09,26.09,26.12,26.09,25.94,26.50,26.20,25.62
