Variable:,tas
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
2015,27.28,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.65,27.63,27.65,27.05,27.65
2016,27.16,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.56,27.54,27.56,26.87,27.56
2017,27.13,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.44,27.46,26.91,27.46
2018,27.34,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.76,27.73,27.76,27.09,27.76
2019,27.31,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.79,27.80,27.80,27.77,27.80,27.06,27.80
2020,27.14,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.44,27.46,26.94,27.46
2021,27.28,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.74,27.75,27.75,27.72,27.75,27.06,27.75
2022,27.36,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.70,27.72,27.14,27.72
2023,27.36,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.73,27.75,27.10,27.75
2024,27.65,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.09,28.06,28.09,27.37,28.09
2025,27.60,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.11,28.12,28.12,28.09,28.12,27.30,28.12
2026,27.45,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.83,27.86,27.19,27.86
2027,27.72,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.13,28.16,27.45,28.16
2028,27.69,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.08,28.11,27.46,28.11
2029,27.60,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.00,28.03,27.35,28.03
2030,27.70,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.11,28.14,27.40,28.14
2031,27.65,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.04,28.06,27.38,28.06
2032,27.60,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.13,28.14,28.14,28.10,28.14,27.33,28.14
2033,27.59,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.91,27.93,27.37,27.93
2034,27.74,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.21,28.20,28.21,28.21,28.18,28.21,27.46,28.21
2035,27.70,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.10,28.07,28.10,27.48,28.10
2036,27.65,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.16,28.15,28.16,28.16,28.13,28.16,27.38,28.16
2037,27.75,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.37,28.38,28.38,28.33,28.38,27.50,28.38
2038,27.89,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.40,28.39,28.40,28.40,28.37,28.40,27.61,28.40
2039,27.77,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.24,28.25,28.25,28.22,28.25,27.51,28.25
2040,27.72,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.15,28.12,28.15,27.46,28.15
2041,27.63,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.98,27.96,27.98,27.37,27.98
2042,27.87,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.34,28.35,28.35,28.32,28.35,27.57,28.35
2043,27.89,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.34,28.35,28.35,28.32,28.35,27.64,28.35
2044,27.91,28.46,28.46,28.46,28.46,28.46,28.46,28.46,28.46,28.45,28.46,28.46,28.43,28.46,27.59,28.46
2045,28.07,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.46,28.49,27.82,28.49
2046,28.16,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.66,28.65,28.66,28.66,28.63,28.66,27.86,28.66
2047,27.93,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.41,28.42,28.42,28.39,28.42,27.65,28.42
2048,27.91,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.41,28.40,28.41,28.41,28.38,28.41,27.62,28.41
2049,28.06,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.54,28.55,28.55,28.52,28.55,27.82,28.55
2050,28.06,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.54,28.55,28.55,28.52,28.55,27.77,28.55
2051,28.04,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.47,28.48,28.48,28.45,28.48,27.79,28.48
2052,28.12,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.62,28.63,28.63,28.60,28.63,27.84,28.63
2053,27.91,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.33,28.30,28.33,27.66,28.33
2054,28.03,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.43,28.40,28.43,27.79,28.43
2055,27.96,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.47,28.48,28.48,28.44,28.48,27.70,28.48
2056,28.01,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.52,28.53,28.53,28.50,28.53,27.73,28.53
2057,27.90,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.31,28.29,28.31,27.61,28.31
2058,27.98,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.48,28.47,28.48,28.48,28.45,28.48,27.71,28.48
2059,28.20,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.73,28.72,28.73,28.73,28.69,28.73,27.95,28.73
2060,28.11,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.52,28.53,28.53,28.50,28.53,27.89,28.53
2061,28.02,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.49,28.50,28.50,28.47,28.50,27.74,28.50
2062,28.29,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.70,28.71,28.71,28.68,28.71,28.07,28.71
2063,28.27,28.69,28.69,28.69,28.69,28.69,28.69,28.69,28.69,28.69,28.69,28.69,28.66,28.69,28.02,28.69
2064,28.12,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.64,28.65,28.65,28.61,28.65,27.84,28.65
2065,27.93,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.37,28.38,28.38,28.35,28.38,27.71,28.38
2066,28.10,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.43,28.45,27.88,28.45
2067,28.00,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.53,28.54,28.54,28.50,28.54,27.75,28.54
2068,28.06,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.54,28.55,28.55,28.52,28.55,27.82,28.55
2069,28.09,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.60,28.61,28.61,28.57,28.61,27.81,28.61
2070,28.13,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.60,28.61,28.61,28.58,28.61,27.87,28.61
2071,27.93,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.39,28.38,28.39,28.39,28.36,28.39,27.68,28.39
2072,27.94,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.48,28.49,28.49,28.45,28.49,27.66,28.49
2073,28.34,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.84,28.83,28.84,28.84,28.81,28.84,28.09,28.84
2074,28.09,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.56,28.55,28.56,28.56,28.53,28.56,27.83,28.56
2075,28.01,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.42,28.39,28.42,27.77,28.42
2076,28.03,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.62,28.63,28.63,28.58,28.63,27.76,28.63
2077,28.19,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.70,28.71,28.71,28.68,28.71,27.90,28.71
2078,28.13,28.62,28.62,28.62,28.62,28.62,28.62,28.62,28.62,28.61,28.62,28.62,28.59,28.62,27.87,28.62
2079,28.25,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.74,28.75,28.75,28.71,28.75,28.00,28.75
2080,28.27,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.71,28.68,28.71,27.99,28.71
2081,28.17,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.61,28.60,28.61,28.61,28.58,28.61,27.92,28.61
2082,28.29,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.63,28.61,28.63,28.04,28.63
2083,27.91,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.37,28.38,28.38,28.35,28.38,27.64,28.38
2084,28.18,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.53,28.51,28.53,27.94,28.53
2085,28.11,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.67,28.68,28.68,28.64,28.68,27.80,28.68
2086,28.29,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.94,28.95,28.95,28.91,28.95,27.91,28.95
2087,28.34,28.83,28.83,28.83,28.83,28.83,28.83,28.83,28.83,28.82,28.83,28.83,28.80,28.83,28.09,28.83
2088,28.20,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.68,28.67,28.68,28.68,28.65,28.68,27.97,28.68
2089,27.99,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.38,28.35,28.38,27.78,28.38
2090,28.16,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.45,28.44,28.45,27.95,28.45
