Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,20.46,18.88,17.82,8.22,16.23,13.07,19.60,11.01,11.62,12.33,13.98,19.19,12.93,18.24,22.27,17.83,26.82,21.71,16.79,14.91,23.07,8.33,18.86,17.99,23.80,25.11
2016,20.42,18.98,17.80,8.22,16.18,13.06,19.58,10.89,11.57,12.30,13.92,19.13,12.81,18.12,22.05,17.78,26.80,21.58,16.72,14.81,22.94,8.21,18.89,17.93,23.71,25.08
2017,20.45,18.91,17.77,8.26,16.31,13.09,19.57,10.90,11.62,12.31,14.00,19.20,12.89,18.12,22.06,17.72,26.81,21.68,16.84,14.94,22.95,8.24,18.89,18.02,23.64,25.21
2018,20.57,19.07,17.80,8.35,16.32,13.16,19.64,11.07,11.76,12.39,14.03,19.20,12.96,18.17,22.20,17.76,26.95,21.86,16.84,14.93,23.10,8.43,19.03,18.01,23.87,25.30
2019,20.76,19.16,18.14,8.59,16.65,13.48,19.78,11.33,11.89,12.69,14.21,19.61,13.11,18.43,22.39,18.16,27.20,21.91,17.20,15.09,23.32,8.57,19.12,18.39,23.98,25.37
2020,20.61,19.05,17.93,8.48,16.44,13.27,19.73,11.21,11.78,12.46,14.02,19.36,12.96,18.32,22.34,17.89,27.01,21.76,17.00,14.90,23.25,8.50,19.01,18.17,23.92,25.21
2021,20.67,19.19,17.96,8.54,16.54,13.35,19.80,11.14,11.88,12.56,14.18,19.28,13.10,18.33,22.26,17.95,27.02,21.90,17.15,15.08,23.14,8.53,19.12,18.36,23.87,25.33
2022,20.94,19.31,17.99,8.59,16.62,13.38,19.86,11.32,12.02,12.65,14.34,19.47,13.23,18.43,22.33,18.00,27.38,22.29,17.23,15.25,23.25,8.68,19.35,18.52,24.05,25.73
2023,20.72,19.16,17.97,8.51,16.36,13.29,19.77,11.11,11.88,12.58,14.16,19.27,13.13,18.33,22.25,17.93,27.11,22.02,16.88,15.08,23.18,8.49,19.12,18.11,23.89,25.44
2024,21.02,19.39,18.28,8.82,16.75,13.55,20.04,11.55,12.13,12.80,14.38,19.76,13.28,18.65,22.56,18.33,27.47,22.23,17.25,15.30,23.41,8.79,19.43,18.47,24.16,25.84
2025,20.85,19.18,17.94,8.67,16.55,13.41,19.79,11.28,12.06,12.66,14.28,19.22,13.25,18.31,22.31,17.94,27.27,22.08,17.13,15.20,23.23,8.71,19.20,18.32,23.97,25.60
2026,21.06,19.61,18.41,8.80,16.80,13.63,20.30,11.47,12.08,12.89,14.52,19.69,13.40,18.86,22.82,18.39,27.48,22.26,17.37,15.38,23.60,8.81,19.55,18.56,24.23,25.74
2027,21.23,19.67,18.36,9.03,16.93,13.79,20.14,11.74,12.34,13.04,14.65,19.88,13.56,18.69,22.54,18.39,27.68,22.44,17.48,15.53,23.55,9.01,19.63,18.68,24.29,25.97
2028,21.13,19.51,18.45,8.96,16.88,13.77,20.19,11.58,12.27,13.02,14.60,19.77,13.53,18.73,22.82,18.37,27.53,22.38,17.35,15.50,23.69,8.94,19.53,18.51,24.67,25.84
2029,21.03,19.40,18.13,8.90,16.70,13.56,19.91,11.46,12.19,12.75,14.42,19.50,13.31,18.48,22.41,18.11,27.50,22.31,17.23,15.36,23.28,8.83,19.37,18.44,24.01,25.75
2030,21.11,19.50,18.40,8.82,16.82,13.58,20.15,11.58,12.20,12.85,14.56,19.73,13.38,18.78,22.67,18.39,27.55,22.33,17.38,15.47,23.53,8.84,19.49,18.68,24.31,25.89
2031,21.17,19.61,18.32,8.91,16.86,13.70,20.20,11.63,12.29,12.89,14.57,19.71,13.46,18.74,22.83,18.28,27.61,22.44,17.42,15.42,23.66,8.97,19.54,18.67,24.34,25.89
2032,21.13,19.62,18.28,8.89,16.75,13.64,20.15,11.54,12.28,12.87,14.59,19.63,13.48,18.72,22.61,18.26,27.60,22.35,17.28,15.48,23.51,8.89,19.70,18.51,24.28,25.80
2033,21.04,19.48,18.31,8.88,16.75,13.69,20.18,11.46,12.21,12.93,14.49,19.62,13.41,18.73,22.80,18.26,27.41,22.30,17.29,15.39,23.70,8.82,19.42,18.50,24.43,25.77
2034,21.32,19.73,18.56,9.23,17.05,13.94,20.32,11.88,12.58,13.19,14.79,19.93,13.75,18.90,22.88,18.55,27.65,22.59,17.65,15.71,23.73,9.26,19.73,18.96,24.43,26.05
2035,21.16,19.62,18.41,8.89,16.91,13.73,20.22,11.70,12.28,12.94,14.61,19.78,13.44,18.81,22.88,18.39,27.58,22.40,17.47,15.52,23.76,8.99,19.57,18.66,24.48,25.87
2036,21.27,19.66,18.53,9.13,17.08,13.95,20.32,11.83,12.45,13.21,14.72,20.08,13.68,18.93,22.90,18.60,27.63,22.52,17.60,15.65,23.75,9.15,19.63,18.83,24.53,25.99
2037,21.54,19.84,18.72,9.27,17.12,14.01,20.43,11.89,12.63,13.32,14.94,20.00,13.85,19.05,22.92,18.73,27.98,22.88,17.67,15.86,23.88,9.31,19.84,18.92,24.59,26.34
2038,21.32,19.67,18.61,9.19,17.07,13.96,20.35,11.87,12.57,13.23,14.77,20.03,13.71,18.98,22.94,18.64,27.65,22.70,17.62,15.67,23.78,9.25,19.65,18.84,24.42,26.06
2039,21.39,19.77,18.45,9.13,17.15,13.92,20.29,11.84,12.46,13.09,14.70,19.88,13.60,18.86,22.80,18.45,27.88,22.67,17.75,15.58,23.66,9.19,19.72,19.01,24.43,26.11
2040,21.27,19.62,18.30,8.92,16.67,13.61,20.22,11.58,12.36,12.91,14.68,19.53,13.58,18.75,22.73,18.22,27.78,22.56,17.29,15.60,23.62,9.02,19.61,18.40,24.38,26.02
