Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
2015,19.23,19.25,26.69,19.15,12.05,17.34,21.94,12.69,13.19,19.50,26.78,25.11,20.46,26.40,24.27,14.39,17.04,19.68,13.90,14.55,20.68,24.97,18.10,12.70,18.28,11.94,11.88,17.68,12.95,15.55
2016,19.31,19.33,26.74,19.06,12.51,17.34,21.95,13.07,13.17,19.64,26.66,25.16,20.50,26.37,24.28,14.41,17.30,19.67,13.85,14.72,20.86,24.80,18.27,13.04,18.39,12.13,12.34,17.83,13.13,15.56
2017,19.29,19.31,26.69,18.85,12.35,17.21,21.90,13.11,13.21,19.56,26.81,25.14,20.52,26.34,24.14,14.44,17.53,19.58,13.83,14.75,20.72,24.88,18.17,12.99,18.41,12.15,12.33,17.82,13.13,15.50
2018,19.10,19.17,26.66,18.94,12.14,17.08,21.83,12.74,13.06,19.29,26.70,25.00,20.32,26.39,24.22,14.26,17.08,19.58,13.76,14.46,20.51,24.80,18.01,12.76,18.12,11.92,11.92,17.60,13.02,15.32
2019,19.14,19.15,26.89,19.07,12.14,17.17,22.03,12.73,12.92,19.26,26.90,25.02,20.47,26.44,24.41,14.27,17.09,19.44,13.66,14.34,20.42,24.94,17.90,12.67,18.25,11.83,11.95,17.33,12.82,15.31
2020,19.49,19.72,27.17,19.18,12.57,17.39,22.16,13.29,13.51,19.69,27.09,25.72,20.71,26.82,24.57,14.86,17.53,19.97,14.07,14.85,20.94,25.21,18.32,13.28,18.43,12.46,12.44,18.01,13.38,15.58
2021,19.54,19.37,26.97,19.34,12.53,17.54,22.09,13.30,13.41,19.84,26.94,25.30,20.66,26.65,24.52,14.54,17.73,19.84,14.18,15.10,21.15,25.11,18.54,13.09,18.48,12.36,12.52,18.34,13.42,15.78
2022,19.76,19.78,27.20,19.43,13.21,17.71,22.37,13.70,13.70,20.01,27.25,25.61,20.90,26.97,24.75,15.14,17.74,20.12,14.30,15.21,21.35,25.32,18.73,13.60,18.74,13.03,13.01,18.12,13.78,15.97
2023,19.60,19.67,27.21,19.32,12.86,17.69,22.36,13.59,13.77,19.68,27.13,25.48,20.85,26.80,24.63,15.05,17.39,20.06,14.36,15.12,21.03,25.23,18.69,13.41,18.73,12.86,12.71,18.00,13.81,15.98
2024,19.77,19.87,27.30,19.42,12.82,17.69,22.47,13.49,13.70,20.04,27.38,25.68,21.04,26.86,24.70,14.95,17.68,20.18,14.41,15.33,21.23,25.39,18.76,13.50,18.78,12.54,12.67,18.44,13.67,16.06
2025,19.80,19.87,27.42,19.63,12.95,17.79,22.50,13.71,13.82,19.97,27.35,25.75,21.03,27.09,24.91,14.96,17.88,20.22,14.52,15.36,21.26,25.34,18.86,13.44,18.83,12.77,12.83,18.32,13.86,16.06
2026,19.84,20.13,27.36,19.68,13.26,17.83,22.43,13.94,13.86,20.07,27.22,25.95,20.85,27.16,24.92,15.31,18.09,20.41,14.56,15.34,21.32,25.32,18.90,13.95,18.75,12.86,13.11,18.45,13.90,16.15
2027,20.09,20.36,27.55,19.88,13.34,18.13,22.76,13.85,14.19,20.33,27.39,26.04,21.19,27.25,25.13,15.54,18.13,20.66,14.78,15.72,21.62,25.55,19.23,13.94,19.10,13.08,12.96,18.60,14.15,16.43
2028,19.77,19.80,27.25,19.32,12.90,17.74,22.39,13.60,13.67,20.03,27.26,25.67,21.04,26.84,24.68,14.95,17.89,20.03,14.32,15.33,21.26,25.30,18.73,13.39,18.82,12.63,12.79,18.35,13.64,15.96
2029,19.84,19.79,27.51,19.57,12.79,17.87,22.59,13.42,13.79,20.05,27.46,25.62,21.21,27.04,24.93,14.98,17.75,20.13,14.42,15.17,21.26,25.54,18.64,13.45,18.97,12.56,12.61,18.25,13.66,16.02
2030,19.98,20.13,27.65,19.76,13.11,17.98,22.80,13.80,14.03,20.17,27.55,26.05,21.13,27.25,25.15,15.21,17.98,20.41,14.62,15.43,21.48,25.56,18.95,13.76,18.97,12.84,13.07,18.52,13.96,16.26
2031,19.90,19.99,27.40,19.62,12.99,17.87,22.52,13.46,13.77,20.23,27.42,25.71,21.10,27.02,24.89,15.10,17.77,20.27,14.43,15.29,21.51,25.52,18.89,13.62,18.91,12.61,12.73,18.34,13.66,16.09
2032,19.96,20.37,27.58,19.98,13.20,18.02,22.58,13.72,14.24,20.12,27.36,26.28,21.02,27.45,25.23,15.52,17.93,20.71,14.78,15.35,21.44,25.53,18.95,14.05,18.87,13.06,12.89,18.53,13.97,16.37
2033,19.92,20.05,27.50,19.77,12.73,17.86,22.66,13.50,13.89,20.16,27.53,25.96,21.26,27.28,25.01,15.09,17.78,20.35,14.56,15.26,21.35,25.61,18.87,13.42,18.96,12.77,12.64,18.33,13.81,16.12
2034,19.94,19.93,27.59,19.80,13.10,18.01,22.66,13.72,14.03,20.08,27.48,25.83,21.12,27.21,25.05,15.09,18.02,20.37,14.73,15.45,21.42,25.51,19.00,13.52,19.03,12.97,12.83,18.49,13.95,16.32
2035,20.37,20.55,27.91,20.32,13.77,18.59,23.14,14.21,14.56,20.50,27.72,26.46,21.50,27.75,25.60,15.74,18.35,20.96,15.25,15.78,21.89,25.72,19.48,14.35,19.55,13.40,13.54,18.76,14.43,16.83
2036,20.11,20.16,27.59,19.75,13.17,18.03,22.74,13.92,14.11,20.32,27.65,26.02,21.37,27.27,25.09,15.32,18.16,20.40,14.72,15.60,21.55,25.84,19.12,13.68,19.14,13.11,13.05,18.59,14.13,16.33
2037,20.16,20.13,27.78,19.86,13.13,18.13,22.84,13.78,14.07,20.41,27.81,26.03,21.46,27.32,25.14,15.32,18.02,20.48,14.77,15.53,21.59,25.92,19.06,13.69,19.20,12.95,12.91,18.56,13.98,16.43
2038,20.29,20.42,27.68,20.24,14.03,18.44,22.87,14.26,14.75,20.35,27.64,26.29,21.40,27.46,25.29,15.81,18.27,20.74,15.32,15.83,21.85,25.77,19.29,14.30,19.27,13.76,13.55,18.86,14.57,16.76
2039,20.27,20.02,27.61,19.87,13.01,18.35,22.87,13.68,14.18,20.68,27.68,25.85,21.58,27.28,25.16,15.28,17.95,20.41,14.82,15.61,21.89,25.97,19.22,13.70,19.46,12.96,12.83,18.56,13.98,16.60
2040,20.19,20.20,27.58,19.87,13.14,18.22,22.93,13.92,14.07,20.44,27.67,26.05,21.50,27.28,25.09,15.31,18.12,20.54,14.75,15.53,21.64,25.86,19.11,13.74,19.30,13.02,13.14,18.39,14.03,16.43
2041,20.06,20.27,27.62,19.90,12.99,18.09,22.87,13.76,13.96,20.22,27.55,26.21,21.34,27.39,25.10,15.19,18.01,20.54,14.61,15.47,21.58,25.77,18.89,13.69,19.06,12.91,12.79,18.67,13.86,16.29
2042,20.40,20.06,27.94,20.01,13.02,18.42,23.12,14.06,14.19,20.77,27.89,25.98,21.82,27.37,25.40,15.22,18.27,20.51,14.89,15.76,21.82,26.06,19.24,13.75,19.68,13.17,13.02,18.75,14.30,16.55
2043,20.05,20.15,27.77,19.88,13.17,18.09,22.91,13.70,14.19,20.13,27.74,25.95,21.31,27.35,25.30,15.41,17.92,20.48,14.71,15.39,21.57,25.72,18.96,13.84,19.10,13.08,12.81,18.36,13.99,16.27
2044,20.38,20.22,27.81,20.10,13.21,18.40,22.99,13.93,14.13,20.71,27.87,26.17,21.68,27.49,25.34,15.34,18.20,20.66,14.91,15.69,21.91,26.13,19.22,13.85,19.44,13.10,13.06,18.87,14.09,16.58
2045,20.36,20.61,27.97,20.19,13.41,18.36,23.07,14.00,14.39,20.60,27.90,26.42,21.67,27.69,25.54,15.65,18.17,20.86,15.00,15.58,21.76,26.04,19.20,14.11,19.44,13.22,13.15,18.65,14.22,16.52
2046,20.56,20.71,28.04,20.17,13.65,18.56,23.21,14.35,14.50,20.90,27.97,26.76,21.69,27.82,25.44,15.67,18.56,21.05,15.05,15.98,22.10,26.15,19.49,14.17,19.55,13.41,13.43,19.03,14.41,16.74
2047,20.55,20.52,28.03,20.29,13.65,18.53,23.25,14.38,14.69,20.86,28.05,26.48,21.78,27.79,25.57,15.67,18.33,20.81,15.26,15.94,22.01,26.11,19.60,13.99,19.67,13.68,13.55,18.97,14.68,16.87
2048,20.37,20.41,27.80,20.00,13.32,18.38,22.97,14.21,14.42,20.59,27.86,26.33,21.47,27.44,25.24,15.57,18.70,20.75,15.01,16.12,21.98,25.90,19.47,14.01,19.38,13.20,13.25,19.23,14.42,16.67
2049,20.54,20.45,27.88,20.06,13.53,18.39,23.07,14.15,14.46,20.77,28.10,26.33,21.98,27.57,25.33,15.66,18.42,20.84,15.09,15.81,21.92,26.40,19.41,14.16,19.61,13.45,13.29,18.95,14.41,16.72
2050,20.62,20.76,28.19,20.33,13.64,18.64,23.43,14.19,14.64,20.85,28.19,26.73,22.01,27.87,25.70,15.70,18.37,21.03,15.20,15.89,22.10,26.29,19.48,14.15,19.78,13.41,13.35,18.88,14.38,16.78
2051,20.37,20.39,27.95,20.08,13.48,18.36,23.09,14.10,14.27,20.51,28.11,26.40,21.68,27.66,25.41,15.47,18.33,20.74,14.89,15.74,21.85,26.14,19.25,14.07,19.41,13.31,13.25,18.58,14.28,16.52
2052,20.62,20.76,28.17,20.51,13.91,18.69,23.28,14.45,14.64,20.78,28.13,26.56,21.76,27.80,25.67,15.93,18.57,21.06,15.33,16.11,22.18,26.20,19.66,14.46,19.64,13.61,13.62,19.17,14.59,16.98
2053,20.64,20.62,28.21,20.48,13.69,18.82,23.44,14.37,14.52,20.80,28.09,26.49,21.99,27.81,25.74,15.76,18.47,20.92,15.36,16.02,22.11,26.21,19.71,14.28,19.91,13.43,13.59,18.76,14.63,17.08
2054,20.49,20.43,27.95,20.07,13.35,18.43,23.14,14.26,14.19,20.75,28.03,26.29,21.71,27.61,25.42,15.42,18.62,20.74,14.91,15.97,22.09,26.13,19.47,13.87,19.54,13.22,13.48,19.23,14.35,16.62
2055,20.53,20.53,27.80,20.05,13.48,18.36,23.12,14.21,14.42,20.80,28.06,26.53,21.84,27.64,25.29,15.66,18.64,20.83,15.03,16.06,22.02,26.23,19.51,14.04,19.56,13.31,13.37,19.15,14.33,16.64
2056,20.49,20.46,28.07,20.38,13.29,18.62,23.28,14.06,14.38,20.80,28.02,26.33,21.77,27.72,25.58,15.55,18.25,20.86,15.14,15.86,21.87,26.12,19.41,13.88,19.65,13.21,13.13,18.83,14.35,16.83
2057,20.71,20.74,28.21,20.51,13.77,18.67,23.37,14.38,14.64,20.95,28.10,26.69,21.97,28.07,25.79,15.94,18.66,21.15,15.28,16.09,22.20,26.29,19.58,14.57,19.73,13.51,13.61,19.17,14.51,16.90
2058,20.47,20.50,28.13,19.99,13.59,18.43,23.12,14.40,14.34,20.68,28.01,26.43,21.52,27.61,25.42,15.56,18.89,20.77,14.98,16.16,22.17,25.96,19.44,14.13,19.53,13.33,13.54,19.24,14.36,16.60
2059,20.77,20.73,28.29,20.32,13.90,18.67,23.31,14.51,14.56,21.11,28.21,26.56,21.94,27.88,25.76,15.90,18.84,21.00,15.20,16.19,22.17,26.48,19.54,14.48,19.74,13.62,13.82,19.25,14.50,16.84
2060,20.64,20.45,28.16,20.63,13.53,18.76,23.53,14.35,14.57,20.78,28.07,26.41,22.02,27.81,25.75,15.70,18.69,21.02,15.31,16.05,22.08,26.21,19.58,14.23,19.82,13.44,13.53,18.88,14.46,17.04
