Variable:,tas
,Israel,"Central District",Haifa,Jerusalem,Northern,"Southern District","Tel Aviv"
1995,20.58,21.18,20.56,20.97,20.07,20.80,21.43
1996,20.68,21.29,20.71,21.03,20.23,20.86,21.57
1997,20.89,21.36,20.81,21.23,20.39,21.06,21.57
1998,20.85,21.39,20.82,21.19,20.39,21.01,21.63
1999,20.75,21.30,20.69,21.13,20.25,20.97,21.50
2000,20.85,21.35,20.79,21.18,20.37,21.02,21.57
2001,21.04,21.58,20.99,21.39,20.54,21.27,21.81
2002,20.89,21.42,20.84,21.23,20.40,21.10,21.66
2003,21.20,21.70,21.10,21.59,20.65,21.43,21.88
2004,21.17,21.72,21.12,21.53,20.68,21.40,21.94
2005,21.13,21.72,21.12,21.51,20.66,21.35,21.94
2006,21.00,21.46,20.87,21.34,20.42,21.27,21.67
2007,21.16,21.73,21.18,21.51,20.73,21.36,21.99
2008,21.26,21.68,21.16,21.55,20.78,21.38,21.88
2009,21.27,21.75,21.21,21.60,20.82,21.43,21.95
2010,21.32,21.81,21.25,21.63,20.80,21.49,22.07
2011,21.28,21.86,21.25,21.66,20.79,21.51,22.09
2012,21.35,21.92,21.34,21.67,20.88,21.60,22.19
2013,21.17,21.76,21.17,21.54,20.71,21.38,22.00
2014,21.53,22.10,21.53,21.89,21.08,21.72,22.33
