Variable:,tas
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1995,9.75,18.69,-2.56,17.92,17.83,14.88,7.67,11.68,14.22,14.47,22.60,18.62,22.99,7.79,12.65,12.64,10.35,14.16,14.55,20.73,5.91,13.66,10.29,7.91,6.62,19.01,14.43,6.48,10.48,11.07,7.76,12.76,13.61,8.42,16.31,6.05,11.48,17.47,9.07,10.74,11.67,18.19,8.70,15.70,20.12,9.79,7.09,14.03,9.51,12.09,7.57,5.57
1996,9.96,18.51,-1.65,18.04,17.65,15.08,7.65,11.69,14.47,14.68,22.77,18.64,23.11,8.27,12.61,12.62,10.54,13.88,14.49,20.63,5.87,13.92,10.32,7.94,6.82,18.87,14.33,6.75,10.70,11.54,7.66,12.72,13.63,8.33,16.39,6.15,11.55,17.17,9.32,10.83,11.71,18.18,8.88,15.49,19.83,10.22,6.90,14.20,9.81,12.28,7.76,5.96
1997,9.99,18.92,-1.98,17.89,17.97,14.76,7.55,12.16,14.83,15.08,22.92,18.94,23.05,8.16,12.96,12.95,10.58,14.12,14.71,20.95,6.40,14.29,10.73,8.65,6.96,19.13,14.76,6.79,10.57,11.14,8.10,13.29,13.48,8.91,16.51,6.31,11.92,17.42,9.18,11.32,12.08,18.29,8.91,15.84,20.11,9.72,7.43,14.49,9.82,12.57,8.02,5.64
1998,10.13,18.91,-1.44,17.96,17.61,14.89,7.64,12.35,14.99,15.24,23.03,19.12,23.31,8.35,12.79,12.80,10.67,14.09,14.69,20.85,6.60,14.37,10.91,8.74,6.93,19.07,14.32,6.85,10.73,11.33,8.38,13.41,13.65,8.95,16.85,6.34,11.87,17.25,9.44,11.24,12.17,18.69,9.00,15.77,20.00,9.97,7.62,14.63,10.11,12.62,8.07,5.75
1999,10.00,19.08,-1.96,17.70,17.96,14.73,7.54,12.19,14.96,15.20,22.94,19.15,23.23,7.94,12.99,12.90,10.85,14.48,14.75,20.97,6.29,14.44,10.78,8.56,6.75,19.27,14.82,6.63,10.78,11.08,8.20,13.36,13.60,9.13,16.69,6.04,12.04,17.71,9.20,11.49,11.99,18.62,8.85,15.81,20.05,9.70,7.59,14.60,9.98,12.61,8.02,5.55
2000,10.03,18.72,-2.12,18.05,17.72,15.05,7.73,11.90,14.63,14.91,22.96,18.83,23.17,8.10,13.20,13.04,11.00,14.37,14.59,20.76,6.30,14.14,10.55,8.81,7.22,18.94,14.76,6.64,10.85,11.25,8.07,13.11,13.83,8.83,16.42,6.41,11.93,17.37,9.37,11.23,11.80,18.29,9.20,15.69,20.05,9.94,7.42,14.28,9.96,12.33,8.54,5.63
2001,10.18,19.22,-1.91,18.05,18.25,15.00,7.76,12.09,14.70,14.78,23.02,19.12,23.24,8.14,13.45,13.29,11.08,14.59,14.93,21.03,6.61,14.10,10.88,8.79,7.13,19.53,15.07,6.90,10.78,11.33,8.35,13.17,13.87,8.99,16.66,6.43,12.06,17.79,9.40,11.24,11.99,18.55,8.96,16.13,20.32,9.88,7.67,14.33,9.99,12.45,8.48,5.80
2002,10.24,19.20,-1.79,18.14,18.25,15.18,8.06,11.94,14.76,14.95,23.17,19.23,23.30,8.42,13.14,13.10,10.95,14.69,14.92,21.04,6.31,14.21,10.55,8.66,7.15,19.54,15.02,6.78,10.93,11.64,8.09,13.20,14.01,8.88,16.74,6.34,11.93,17.93,9.54,11.21,11.78,18.67,9.05,16.04,20.37,10.24,7.45,14.46,10.01,12.50,8.33,5.95
2003,10.22,18.91,-1.50,18.15,17.87,15.28,7.95,12.23,14.79,14.97,22.94,18.99,23.39,8.69,13.07,13.11,10.70,14.19,14.69,20.76,6.62,14.25,10.89,8.85,6.98,19.09,14.61,6.94,10.84,11.66,8.45,13.32,13.79,9.12,16.43,6.29,12.07,17.39,9.73,11.44,12.19,18.36,9.08,15.76,20.00,10.33,7.71,14.32,10.34,12.47,8.23,6.15
2004,10.33,18.74,-1.26,18.31,17.69,15.34,8.17,12.10,14.66,14.86,22.86,18.74,23.33,8.68,12.99,12.93,10.87,14.68,14.50,21.08,6.56,14.09,10.83,8.60,7.18,18.98,14.69,7.13,11.00,11.83,8.33,13.16,14.21,8.85,16.40,6.61,11.81,17.63,9.82,11.13,11.93,18.21,9.20,15.40,20.38,10.45,7.57,14.33,10.30,12.37,8.26,6.10
