Variable:,tas
,Sudan,"Al Jazeera","Blue Nile",Khartoum,Northern,"Northern Darfur",Nile,Sennar,"Southern Darfur","Western Darfur","White Nile","Southern Kordofan","Red Sea",Kassala,"Northern Kordofan",Gadaref
1995,27.99,29.86,28.34,29.96,27.50,26.51,29.73,29.14,27.67,27.23,29.26,28.94,28.23,29.68,28.08,29.53
1996,28.15,30.07,28.32,30.16,27.71,26.81,29.81,29.16,27.60,27.15,29.39,28.95,28.29,29.85,28.36,29.62
1997,27.99,29.61,28.46,29.75,27.54,26.56,29.63,29.09,27.74,27.30,29.15,28.96,28.20,29.53,28.05,29.39
1998,28.07,29.87,28.29,30.00,27.66,26.64,29.79,29.06,27.65,27.15,29.28,28.92,28.26,29.64,28.27,29.49
1999,28.03,29.88,28.35,29.92,27.45,26.60,29.69,29.16,27.73,27.18,29.34,28.99,28.22,29.74,28.22,29.61
2000,28.10,30.03,28.45,30.01,27.59,26.64,29.79,29.20,27.81,27.27,29.34,29.08,28.27,29.78,28.22,29.65
2001,28.43,30.19,28.68,30.35,27.92,27.08,30.14,29.43,28.02,27.62,29.59,29.29,28.63,30.02,28.63,29.87
2002,28.27,30.08,28.56,30.19,27.70,26.80,30.02,29.38,27.94,27.50,29.55,29.20,28.58,29.88,28.48,29.74
2003,28.34,30.05,28.59,30.14,27.99,26.97,30.03,29.33,27.93,27.49,29.49,29.18,28.56,29.87,28.41,29.69
2004,28.44,30.22,28.80,30.29,27.97,27.12,30.07,29.52,27.97,27.51,29.69,29.49,28.58,30.06,28.56,29.87
2005,28.39,30.15,28.79,30.27,27.96,26.94,30.14,29.48,27.94,27.46,29.55,29.23,28.62,30.13,28.47,29.90
2006,28.42,30.02,28.54,30.27,28.10,27.02,30.19,29.25,28.02,27.56,29.44,29.20,28.69,29.91,28.50,29.64
2007,28.32,30.13,28.55,30.23,27.90,26.94,30.07,29.29,27.81,27.41,29.45,29.09,28.61,29.95,28.39,29.73
2008,28.35,30.09,28.69,30.24,27.93,26.89,30.09,29.38,27.92,27.42,29.50,29.21,28.67,29.85,28.42,29.76
2009,28.59,30.42,28.84,30.68,28.02,27.17,30.36,29.59,28.17,27.70,29.84,29.56,28.80,30.32,28.86,29.99
2010,28.62,30.31,28.91,30.45,28.17,27.21,30.39,29.59,28.17,27.74,29.75,29.51,28.93,30.17,28.72,29.96
2011,28.69,30.47,29.04,30.62,28.21,27.35,30.39,29.79,28.28,27.88,29.89,29.62,28.78,30.31,28.88,30.10
2012,28.64,30.20,28.94,30.31,28.30,27.31,30.24,29.64,28.22,27.74,29.70,29.56,28.81,30.14,28.67,29.97
2013,28.51,30.45,28.82,30.54,28.00,27.04,30.31,29.60,28.13,27.69,29.78,29.36,28.81,30.16,28.62,30.04
2014,28.75,30.51,29.14,30.62,28.32,27.35,30.46,29.89,28.19,27.81,29.96,29.63,28.96,30.33,28.87,30.19
