Variable:,tas
,Belize,Belize,Cayo,Corozal,"Orange Walk","Stann Creek",Toledo
1995,25.86,25.20,25.70,25.86,25.51,25.92,25.76
1996,25.72,25.04,25.48,25.87,25.41,25.66,25.47
1997,26.04,25.34,25.84,26.25,25.73,26.05,25.87
1998,25.79,25.08,25.55,26.04,25.48,25.74,25.54
1999,25.98,25.29,25.83,26.10,25.69,26.05,25.87
2000,26.00,25.33,25.77,26.13,25.67,25.95,25.77
2001,26.18,25.54,26.00,26.43,25.94,26.14,25.96
2002,25.93,25.21,25.70,26.19,25.63,25.85,25.71
2003,26.38,25.77,26.27,26.59,26.16,26.47,26.28
2004,26.08,25.41,25.86,26.32,25.81,26.01,25.84
2005,26.27,25.62,26.06,26.58,26.05,26.23,25.99
2006,26.14,25.48,25.96,26.35,25.88,26.11,25.94
2007,26.19,25.54,25.95,26.44,25.89,26.13,25.92
2008,26.19,25.52,26.03,26.35,25.90,26.24,26.06
2009,26.16,25.46,25.92,26.36,25.84,26.12,25.92
2010,26.25,25.51,26.03,26.49,25.91,26.24,26.08
2011,26.40,25.70,26.17,26.59,26.10,26.37,26.17
2012,26.40,25.70,26.25,26.55,26.11,26.50,26.31
2013,26.29,25.60,26.07,26.52,25.98,26.26,26.08
2014,26.28,25.57,26.03,26.49,25.94,26.21,26.05
