Variable:,tas
,Fiji,Central,Eastern,Northern,Western
1995,24.96,24.78,25.35,25.43,25.30
1996,24.89,24.66,25.22,25.36,25.21
1997,24.93,24.70,25.30,25.42,25.26
1998,24.97,24.76,25.27,25.41,25.28
1999,25.03,24.84,25.40,25.48,25.37
2000,25.08,24.86,25.41,25.55,25.37
2001,25.07,24.89,25.44,25.50,25.41
2002,25.05,24.83,25.39,25.51,25.38
2003,25.00,24.75,25.30,25.49,25.31
2004,25.24,25.02,25.61,25.71,25.53
2005,25.21,25.02,25.57,25.64,25.50
2006,25.30,25.15,25.70,25.73,25.64
2007,25.03,24.82,25.36,25.49,25.36
2008,24.99,24.78,25.39,25.48,25.28
2009,25.22,25.04,25.58,25.67,25.56
2010,25.03,24.83,25.35,25.46,25.36
2011,25.12,24.99,25.56,25.56,25.51
2012,25.22,25.01,25.53,25.68,25.55
2013,25.35,25.14,25.67,25.80,25.65
2014,25.23,25.02,25.57,25.71,25.53
