Variable:,tas
,Bangladesh,Barisal,Chittagong,Dhaka,Khulna,Sylhet,Rajshahi,Rangpur
1995,26.12,26.83,26.33,26.74,27.43,25.63,27.25,26.41
1996,25.95,26.75,26.25,26.59,27.20,25.40,26.89,26.14
1997,25.98,26.75,26.28,26.63,27.36,25.38,27.04,26.21
1998,26.03,26.64,26.23,26.57,27.20,25.43,27.07,26.41
1999,26.01,26.80,26.25,26.64,27.23,25.40,27.14,26.29
2000,26.16,26.99,26.49,26.81,27.36,25.58,27.20,26.45
2001,26.21,26.97,26.49,26.87,27.62,25.58,27.45,26.49
2002,26.09,26.82,26.45,26.69,27.40,25.54,27.19,26.24
2003,26.07,26.82,26.35,26.71,27.40,25.51,27.15,26.31
2004,26.10,26.88,26.39,26.72,27.39,25.54,27.18,26.34
2005,26.04,26.78,26.34,26.64,27.30,25.53,27.05,26.32
2006,25.96,26.74,26.32,26.51,27.18,25.39,26.87,26.15
2007,25.88,26.65,26.26,26.48,27.18,25.29,26.88,26.08
2008,25.92,26.75,26.30,26.43,27.17,25.42,26.81,26.07
2009,26.16,26.90,26.47,26.68,27.31,25.51,27.15,26.53
2010,26.18,26.93,26.44,26.81,27.46,25.63,27.28,26.45
2011,26.23,26.98,26.47,26.94,27.58,25.63,27.36,26.56
2012,26.31,27.05,26.56,26.95,27.74,25.65,27.46,26.59
2013,26.10,27.04,26.45,26.70,27.48,25.64,27.08,26.28
2014,26.23,26.95,26.51,26.82,27.48,25.71,27.34,26.44
