Variable:,tas
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
1995,27.54,27.40,26.98,26.37,26.70,27.33,27.47,27.06,26.97,27.22
1996,27.47,27.34,26.92,26.30,26.66,27.27,27.43,26.99,26.91,27.15
1997,27.61,27.48,26.89,26.27,26.65,27.43,27.42,26.99,26.88,27.21
1998,27.55,27.42,26.95,26.34,26.67,27.36,27.40,27.03,26.94,27.20
1999,27.69,27.56,27.06,26.45,26.82,27.50,27.58,27.15,27.05,27.33
2000,27.67,27.59,26.99,26.36,26.74,27.51,27.52,27.10,26.98,27.33
2001,27.91,27.76,27.14,26.49,26.91,27.69,27.75,27.23,27.13,27.41
2002,27.82,27.67,26.98,26.37,26.73,27.65,27.55,27.10,26.97,27.35
2003,27.89,27.75,27.07,26.47,26.89,27.70,27.64,27.17,27.06,27.39
2004,28.05,27.88,27.13,26.49,26.89,27.85,27.74,27.24,27.12,27.46
2005,27.85,27.71,27.16,26.53,26.91,27.66,27.70,27.26,27.15,27.45
2006,27.90,27.77,27.22,26.60,26.92,27.71,27.70,27.31,27.21,27.48
2007,28.10,27.93,27.39,26.73,27.12,27.88,27.95,27.47,27.38,27.64
2008,28.03,27.87,27.17,26.52,26.87,27.84,27.71,27.27,27.16,27.48
2009,27.91,27.77,27.08,26.50,26.88,27.73,27.67,27.19,27.07,27.42
2010,28.20,28.03,27.31,26.71,27.12,28.01,27.89,27.43,27.30,27.68
2011,28.08,27.91,27.16,26.52,26.92,27.90,27.75,27.29,27.15,27.56
2012,28.15,28.00,27.25,26.67,27.06,27.96,27.82,27.36,27.24,27.58
2013,28.10,27.98,27.39,26.81,27.18,27.94,27.94,27.49,27.38,27.71
2014,28.15,28.01,27.32,26.69,27.09,27.96,27.91,27.43,27.31,27.65
