Variable:,tas
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1995,28.37,28.10,28.00,28.15,28.43,28.08
1996,28.42,28.23,28.16,28.25,28.43,28.20
1997,28.49,28.32,28.21,28.36,28.51,28.23
1998,28.50,28.30,28.22,28.31,28.54,28.24
1999,28.48,28.28,28.19,28.31,28.51,28.24
2000,28.56,28.41,28.30,28.44,28.57,28.32
2001,28.69,28.56,28.48,28.58,28.69,28.48
2002,28.88,28.70,28.58,28.75,28.89,28.62
2003,28.73,28.47,28.37,28.52,28.78,28.45
2004,28.98,28.74,28.58,28.81,29.02,28.66
2005,28.72,28.49,28.42,28.52,28.77,28.45
2006,28.74,28.57,28.48,28.60,28.76,28.48
2007,28.81,28.63,28.54,28.68,28.82,28.58
2008,28.82,28.57,28.42,28.63,28.87,28.53
2009,28.81,28.59,28.49,28.62,28.85,28.55
2010,29.02,28.83,28.69,28.84,29.04,28.79
2011,28.98,28.83,28.75,28.84,28.99,28.75
2012,28.99,28.85,28.74,28.89,28.97,28.77
2013,28.93,28.72,28.61,28.77,28.96,28.65
2014,28.97,28.73,28.63,28.77,29.02,28.70
