Variable:,tas
,"Puerto Rico",Aguadilla,Arecibo,Bayamon,Guayama,Humacao,Mayaguez,Ponce,"San Juan"
1995,25.65,26.02,25.73,25.68,25.83,25.57,26.16,25.81,25.73
1996,25.79,26.17,25.88,25.82,25.97,25.70,26.31,25.96,25.88
1997,25.93,26.30,26.00,25.96,26.10,25.85,26.43,26.08,26.00
1998,25.79,26.15,25.87,25.82,25.97,25.70,26.30,25.95,25.87
1999,25.80,26.16,25.88,25.83,25.97,25.72,26.30,25.96,25.88
2000,25.87,26.28,25.97,25.91,26.06,25.77,26.42,26.05,25.97
2001,25.96,26.34,26.05,25.99,26.14,25.87,26.48,26.13,26.05
2002,25.89,26.26,25.98,25.92,26.07,25.80,26.40,26.06,25.98
2003,25.99,26.37,26.08,26.02,26.17,25.90,26.51,26.16,26.08
2004,26.06,26.45,26.15,26.09,26.25,25.97,26.59,26.23,26.15
2005,26.08,26.44,26.16,26.11,26.25,25.99,26.57,26.24,26.16
2006,26.03,26.42,26.12,26.06,26.21,25.94,26.56,26.20,26.12
2007,26.12,26.51,26.21,26.15,26.30,26.02,26.65,26.29,26.21
2008,26.01,26.39,26.09,26.04,26.20,25.93,26.55,26.18,26.09
2009,26.11,26.47,26.19,26.14,26.28,26.02,26.61,26.27,26.19
2010,26.20,26.58,26.29,26.23,26.38,26.10,26.71,26.37,26.29
2011,26.20,26.58,26.29,26.23,26.38,26.10,26.72,26.37,26.29
2012,26.15,26.55,26.25,26.19,26.34,26.05,26.69,26.33,26.25
2013,26.16,26.55,26.26,26.20,26.35,26.06,26.68,26.34,26.26
2014,26.24,26.60,26.33,26.27,26.42,26.15,26.74,26.41,26.33
