Variable:,tas
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1995,9.48,15.04,15.28,14.04,9.64,17.01,16.80,15.28,17.01,15.04,17.01,12.41,16.30,14.05,8.10,12.79,15.07,10.36,12.38,17.01,16.28,8.07
1996,9.74,15.43,15.66,14.40,9.94,17.35,17.15,15.66,17.35,15.43,17.35,12.75,16.66,14.41,8.38,13.23,15.46,10.57,12.74,17.35,16.63,8.34
1997,9.99,15.62,15.84,14.60,10.20,17.50,17.30,15.85,17.50,15.62,17.50,12.98,16.81,14.61,8.65,13.36,15.65,10.82,12.95,17.50,16.81,8.62
1998,9.78,15.46,15.69,14.43,9.98,17.42,17.21,15.70,17.42,15.46,17.42,12.79,16.72,14.44,8.42,13.27,15.49,10.63,12.77,17.42,16.62,8.39
1999,9.87,15.41,15.63,14.42,10.06,17.26,17.06,15.63,17.26,15.41,17.26,12.80,16.59,14.43,8.53,13.23,15.44,10.75,12.78,17.26,16.54,8.50
2000,10.17,15.87,16.08,14.86,10.35,17.66,17.47,16.09,17.66,15.87,17.66,13.18,16.99,14.87,8.77,13.56,15.89,11.14,13.15,17.66,16.94,8.74
2001,10.29,15.85,16.07,14.87,10.45,17.72,17.52,16.07,17.72,15.85,17.72,13.22,17.04,14.88,8.90,13.63,15.88,11.22,13.19,17.72,16.92,8.87
2002,9.69,15.34,15.57,14.35,9.88,17.23,17.03,15.57,17.23,15.34,17.23,12.68,16.54,14.36,8.32,13.01,15.37,10.69,12.65,17.23,16.55,8.29
2003,10.17,15.84,16.07,14.82,10.36,17.79,17.58,16.07,17.79,15.84,17.79,13.17,17.09,14.83,8.79,13.59,15.87,11.02,13.14,17.79,17.05,8.76
2004,10.20,15.76,15.98,14.76,10.41,17.60,17.40,15.98,17.60,15.76,17.60,13.16,16.93,14.77,8.89,13.52,15.79,11.05,13.13,17.60,16.96,8.86
2005,10.44,15.83,16.04,14.86,10.58,17.61,17.42,16.04,17.61,15.83,17.61,13.27,16.95,14.87,9.07,13.61,15.85,11.29,13.24,17.61,16.98,9.04
2006,10.18,15.94,16.16,14.92,10.36,17.72,17.53,16.15,17.72,15.94,17.72,13.22,17.05,14.93,8.76,13.59,15.96,11.15,13.19,17.72,17.16,8.73
2007,10.38,16.05,16.27,15.04,10.55,17.90,17.70,16.27,17.90,16.05,17.90,13.37,17.22,15.05,8.98,13.78,16.08,11.28,13.35,17.90,17.19,8.95
2008,10.38,16.04,16.26,15.05,10.56,17.82,17.63,16.25,17.82,16.04,17.82,13.37,17.16,15.06,8.99,13.72,16.06,11.38,13.34,17.82,17.32,8.96
2009,10.33,15.86,16.09,14.86,10.49,17.74,17.54,16.09,17.74,15.86,17.74,13.24,17.06,14.87,8.96,13.64,15.89,11.16,13.22,17.74,17.08,8.93
2010,10.51,16.12,16.35,15.09,10.71,18.10,17.89,16.36,18.10,16.12,18.10,13.49,17.40,15.10,9.18,14.04,16.15,11.27,13.47,18.10,17.27,9.14
2011,10.67,16.26,16.47,15.27,10.86,18.02,17.83,16.47,18.02,16.26,18.02,13.63,17.37,15.28,9.31,14.06,16.28,11.60,13.60,18.02,17.31,9.28
2012,10.59,16.13,16.35,15.12,10.75,17.97,17.77,16.35,17.97,16.13,17.97,13.51,17.30,15.13,9.21,13.91,16.16,11.40,13.48,17.97,17.22,9.18
2013,10.45,16.04,16.27,15.04,10.64,17.96,17.76,16.27,17.96,16.04,17.96,13.41,17.28,15.05,9.11,13.98,16.07,11.33,13.40,17.96,17.17,9.07
2014,10.31,15.94,16.16,14.94,10.49,17.79,17.59,16.16,17.79,15.94,17.79,13.28,17.11,14.95,8.93,13.69,15.97,11.25,13.26,17.79,17.14,8.90
