Variable:,tas
,Oman,"A Dakhliya","A Sharqiya","Al Batnah","Al Dhahira","Al Wusta",Dhofar,Musandam,Muscat,"Name Unknown"
1995,26.11,26.23,26.41,25.41,27.17,26.67,25.40,26.79,25.12,26.56
1996,26.20,26.41,26.51,25.56,27.35,26.76,25.41,26.77,25.32,26.52
1997,26.27,26.40,26.60,25.52,27.31,26.84,25.51,27.00,25.35,26.77
1998,26.16,26.30,26.50,25.46,27.23,26.68,25.41,26.94,25.28,26.71
1999,26.23,26.35,26.52,25.51,27.31,26.82,25.48,26.98,25.26,26.75
2000,26.31,26.50,26.58,25.66,27.45,26.84,25.55,27.10,25.42,26.85
2001,26.40,26.54,26.67,25.78,27.59,26.94,25.61,27.17,25.51,26.92
2002,26.44,26.57,26.67,25.73,27.56,27.02,25.71,27.19,25.47,26.95
2003,26.44,26.56,26.74,25.72,27.46,27.04,25.69,27.11,25.54,26.90
2004,26.47,26.62,26.83,25.66,27.53,27.04,25.70,27.17,25.58,26.95
2005,26.48,26.60,26.74,25.77,27.57,27.01,25.77,27.12,25.54,26.92
2006,26.57,26.71,26.83,25.86,27.71,27.13,25.85,27.24,25.58,27.01
2007,26.69,26.95,26.93,26.14,27.95,27.22,25.88,27.39,25.84,27.16
2008,26.56,26.72,26.84,25.84,27.64,27.16,25.82,27.20,25.64,26.95
2009,26.60,26.72,26.84,26.04,27.66,27.12,25.88,27.34,25.69,27.15
2010,26.75,26.90,27.03,26.03,27.85,27.31,26.03,27.46,25.78,27.20
2011,26.81,27.00,27.08,26.21,28.02,27.38,26.00,27.46,25.90,27.27
2012,26.81,27.02,27.11,26.21,28.06,27.39,26.00,27.43,25.89,27.18
2013,26.71,26.81,26.95,25.98,27.76,27.25,26.04,27.49,25.68,27.24
2014,26.68,26.83,26.93,26.08,27.85,27.21,25.91,27.64,25.80,27.42
