Variable:,tas
,Vanuatu,Malampa,Penama,Sanma,Shefa,Tafea,Torba
1995,25.07,25.94,25.14,26.06,25.42,24.44,25.55
1996,24.94,25.79,24.95,25.90,25.31,24.37,25.48
1997,25.12,25.95,25.15,26.07,25.47,24.49,25.68
1998,25.07,25.89,25.12,26.01,25.36,24.39,25.65
1999,25.12,25.96,25.18,26.07,25.47,24.48,25.64
2000,25.16,25.99,25.19,26.12,25.51,24.58,25.71
2001,25.16,26.01,25.21,26.16,25.49,24.51,25.74
2002,25.18,26.00,25.21,26.12,25.53,24.58,25.71
2003,25.09,25.91,25.14,26.06,25.41,24.47,25.63
2004,25.22,26.08,25.26,26.17,25.58,24.63,25.75
2005,25.24,26.14,25.27,26.22,25.63,24.65,25.76
2006,25.29,26.15,25.35,26.28,25.64,24.63,25.83
2007,25.18,26.04,25.19,26.12,25.55,24.64,25.70
2008,25.19,26.05,25.22,26.16,25.55,24.58,25.73
2009,25.35,26.16,25.37,26.27,25.67,24.73,25.93
2010,25.18,25.99,25.20,26.15,25.50,24.54,25.76
2011,25.22,26.03,25.24,26.18,25.55,24.65,25.78
2012,25.31,26.18,25.36,26.30,25.67,24.74,25.82
2013,25.43,26.25,25.46,26.36,25.74,24.83,25.97
2014,25.52,26.36,25.59,26.52,25.86,24.84,26.01
