Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
1995,20.63,18.38,19.17,17.86,18.39
1996,20.62,18.41,19.23,17.87,18.44
1997,20.88,18.64,19.48,18.12,18.69
1998,20.77,18.51,19.33,17.98,18.48
1999,20.94,18.69,19.52,18.14,18.65
2000,21.03,18.83,19.61,18.27,18.64
2001,21.22,18.97,19.76,18.40,18.88
2002,20.86,18.61,19.47,18.09,18.65
2003,21.18,19.00,19.75,18.43,18.86
2004,21.08,18.84,19.65,18.30,18.76
2005,21.06,18.82,19.62,18.30,18.74
2006,21.00,18.81,19.54,18.24,18.74
2007,20.96,18.80,19.57,18.27,18.74
2008,20.93,18.70,19.53,18.18,18.71
2009,21.06,18.83,19.64,18.29,18.77
2010,21.15,18.91,19.74,18.41,18.88
2011,21.12,18.94,19.75,18.50,18.88
2012,21.30,19.07,19.90,18.54,19.03
2013,21.35,19.14,19.96,18.62,19.09
2014,21.36,19.11,19.92,18.55,19.04
