Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
1995,25.07,18.55,25.69,24.41,22.46,27.69,22.63,22.18,23.10
1996,25.19,18.74,25.72,24.54,22.72,27.76,22.77,22.42,23.19
1997,25.37,18.92,25.88,24.73,22.81,27.92,22.89,22.56,23.43
1998,25.29,18.83,25.85,24.61,22.83,27.91,22.78,22.43,23.32
1999,25.39,18.86,25.88,24.75,22.81,28.06,22.81,22.44,23.31
2000,25.30,18.80,25.81,24.68,22.75,27.86,22.75,22.49,23.28
2001,25.54,19.12,25.98,24.90,22.95,28.05,23.09,22.81,23.73
2002,25.52,19.05,25.99,24.90,23.02,28.13,23.07,22.68,23.58
2003,25.43,19.07,25.94,24.75,23.01,27.98,22.89,22.65,23.48
2004,25.61,19.19,26.14,24.95,23.02,28.24,23.12,22.76,23.65
2005,25.63,19.27,26.11,25.02,23.10,28.23,23.18,22.80,23.65
2006,25.41,18.95,25.95,24.74,22.82,27.98,22.86,22.61,23.37
2007,25.44,19.00,26.02,24.83,22.85,27.94,22.89,22.66,23.41
2008,25.45,18.89,26.10,24.76,22.79,28.08,23.03,22.57,23.53
2009,25.58,19.22,26.06,24.97,23.20,28.14,23.12,22.78,23.60
2010,25.64,19.17,26.15,24.97,23.05,28.20,23.20,22.85,23.73
2011,25.70,19.24,26.16,25.02,23.15,28.24,23.35,22.98,23.91
2012,25.72,19.28,26.22,25.07,23.27,28.32,23.27,22.94,23.73
2013,25.73,19.33,26.30,25.07,23.26,28.27,23.26,22.93,23.67
2014,25.70,19.28,26.12,25.04,23.16,28.22,23.26,22.98,23.69
