Variable:,tas
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
1995,23.63,26.52,23.48,27.30,21.07,26.90,25.37,24.98,26.43,27.45,23.05,27.20,27.54,27.27,26.73,22.85,22.51,23.41
1996,23.62,26.48,23.38,27.18,21.18,26.84,25.39,24.87,26.42,27.36,23.00,26.99,27.51,27.43,26.69,22.81,22.58,23.44
1997,23.84,26.63,23.49,27.41,21.33,27.02,25.64,25.16,26.65,27.51,23.14,27.18,27.70,27.54,26.94,23.24,22.87,23.74
1998,23.77,26.53,23.48,27.31,21.30,26.96,25.53,25.02,26.52,27.46,23.06,27.28,27.61,27.46,26.80,23.16,22.72,23.59
1999,23.85,26.62,23.47,27.47,21.40,27.10,25.56,25.14,26.63,27.62,23.22,27.24,27.77,27.51,26.95,23.09,22.80,23.71
2000,23.80,26.79,23.57,27.50,21.33,27.05,25.50,25.21,26.59,27.61,23.15,27.23,27.78,27.60,26.98,23.02,22.68,23.57
2001,23.90,26.86,23.63,27.54,21.41,27.21,25.70,25.33,26.67,27.72,23.19,27.49,27.82,27.75,27.16,23.06,22.72,23.66
2002,23.90,26.73,23.67,27.40,21.47,27.03,25.61,25.15,26.65,27.50,23.24,27.23,27.65,27.50,26.90,23.24,22.90,23.77
2003,23.81,26.73,23.54,27.52,21.25,27.06,25.58,25.20,26.67,27.58,23.18,27.30,27.77,27.64,27.03,23.01,22.72,23.68
2004,24.04,26.76,23.63,27.71,21.53,27.48,26.03,25.31,26.80,27.92,23.29,27.57,28.06,27.94,27.18,23.28,22.90,23.93
2005,23.90,26.75,23.53,27.57,21.48,27.15,25.78,25.18,26.64,27.67,23.22,27.50,27.85,27.70,27.04,23.15,22.75,23.78
2006,23.82,26.77,23.60,27.51,21.28,27.10,25.65,25.21,26.62,27.59,23.12,27.36,27.73,27.60,26.98,23.07,22.67,23.66
2007,23.81,26.70,23.53,27.54,21.28,27.09,25.70,25.17,26.58,27.59,23.08,27.36,27.79,27.68,26.98,23.06,22.65,23.68
2008,23.98,26.72,23.55,27.59,21.41,27.30,25.82,25.24,26.75,27.74,23.19,27.57,27.94,27.79,27.09,23.34,22.90,23.94
2009,23.89,26.85,23.62,27.63,21.36,27.21,25.73,25.22,26.63,27.75,23.16,27.47,27.88,27.68,27.11,23.20,22.73,23.76
2010,23.87,26.75,23.57,27.57,21.38,27.17,25.64,25.16,26.58,27.71,23.14,27.47,27.85,27.64,26.98,23.15,22.73,23.68
2011,23.85,26.71,23.53,27.54,21.29,27.19,25.78,25.15,26.63,27.68,23.09,27.44,27.80,27.65,27.00,23.17,22.70,23.75
2012,24.01,26.91,23.75,27.68,21.46,27.27,25.86,25.34,26.75,27.79,23.25,27.61,27.93,27.75,27.17,23.26,22.90,23.86
2013,24.04,26.88,23.67,27.68,21.55,27.27,25.85,25.29,26.82,27.77,23.36,27.60,27.92,27.76,27.14,23.36,22.93,23.93
2014,24.14,26.91,23.76,27.72,21.71,27.34,25.92,25.44,26.90,27.82,23.49,27.63,27.98,27.84,27.26,23.42,23.04,23.98
