Variable:,tas
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1995,27.97,28.24,28.19,27.14,27.49,27.36,26.84,27.21,27.14,27.10,27.14,27.52,27.22
1996,28.13,28.41,28.29,27.22,27.62,27.49,26.97,27.21,27.22,27.23,27.22,27.64,27.37
1997,28.18,28.40,28.37,27.28,27.71,27.62,27.04,27.39,27.28,27.26,27.28,27.68,27.43
1998,28.18,28.39,28.44,27.22,27.72,27.66,26.99,27.45,27.22,27.18,27.22,27.72,27.46
1999,28.19,28.38,28.42,27.32,27.72,27.68,27.07,27.41,27.32,27.28,27.32,27.79,27.53
2000,28.28,28.55,28.52,27.41,27.79,27.67,27.11,27.45,27.41,27.34,27.41,27.80,27.52
2001,28.55,28.86,28.86,27.44,28.06,27.84,27.24,27.73,27.44,27.41,27.44,27.91,27.68
2002,28.49,28.73,28.68,27.44,28.02,27.95,27.23,27.73,27.44,27.43,27.44,27.95,27.70
2003,28.43,28.67,28.61,27.46,27.97,27.84,27.23,27.60,27.46,27.44,27.46,27.92,27.67
2004,28.71,28.94,29.01,27.61,28.29,28.17,27.47,28.02,27.61,27.62,27.61,28.15,27.94
2005,28.59,28.90,28.82,27.41,28.13,27.85,27.25,27.66,27.41,27.50,27.41,27.94,27.68
2006,28.40,28.58,28.61,27.48,27.95,27.87,27.24,27.67,27.48,27.42,27.48,27.95,27.70
2007,28.35,28.61,28.63,27.44,27.86,27.71,27.19,27.49,27.44,27.44,27.44,27.84,27.58
2008,28.51,28.70,28.72,27.58,28.04,28.02,27.40,27.76,27.58,27.60,27.58,28.10,27.86
2009,28.47,28.69,28.72,27.61,27.98,27.88,27.29,27.72,27.61,27.54,27.61,28.03,27.74
2010,28.78,29.06,29.06,27.74,28.28,28.08,27.53,27.92,27.74,27.72,27.74,28.23,27.98
2011,28.65,28.93,28.88,27.74,28.14,28.05,27.47,27.81,27.74,27.71,27.74,28.10,27.83
2012,28.76,29.01,28.99,27.70,28.30,28.17,27.51,28.04,27.70,27.72,27.70,28.19,27.95
2013,28.59,28.77,28.78,27.66,28.15,28.10,27.54,27.84,27.65,27.78,27.65,28.17,27.94
2014,28.76,28.97,28.98,27.82,28.28,28.25,27.62,27.99,27.82,27.80,27.82,28.35,28.11
