Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1995,18.23,18.27,25.85,18.13,11.13,16.23,21.01,11.92,12.23,18.40,25.89,24.10,19.44,25.42,23.36,13.38,16.33,18.72,12.90,13.65,19.63,24.02,17.09,11.73,17.20,11.00,11.05,16.74,12.06,14.44
1996,18.26,18.38,26.00,18.04,11.37,16.17,20.98,11.95,12.24,18.36,26.00,24.30,19.59,25.53,23.31,13.50,16.32,18.71,12.88,13.69,19.58,24.12,17.06,12.03,17.26,11.12,11.14,16.79,12.12,14.45
1997,18.41,18.62,26.12,18.15,11.32,16.37,21.19,12.01,12.47,18.50,26.20,24.49,19.67,25.80,23.52,13.67,16.43,18.96,13.07,13.86,19.90,24.19,17.36,11.97,17.37,11.28,11.13,17.01,12.30,14.71
1998,18.30,18.25,26.02,18.01,11.07,16.19,21.16,11.78,12.08,18.56,26.08,24.11,19.65,25.47,23.44,13.27,16.15,18.60,12.74,13.56,19.84,24.12,17.08,11.72,17.38,10.89,10.97,16.87,11.89,14.46
1999,18.38,18.40,26.01,18.02,11.23,16.33,21.14,11.95,12.31,18.58,26.11,24.25,19.74,25.48,23.38,13.50,16.27,18.77,12.97,13.67,19.76,24.19,17.26,11.95,17.45,11.10,11.08,16.74,12.17,14.66
2000,18.59,18.60,26.11,18.33,11.54,16.58,21.32,12.31,12.49,18.81,26.27,24.42,19.91,25.70,23.59,13.70,16.43,18.95,13.25,13.99,20.00,24.39,17.65,12.13,17.68,11.40,11.36,16.98,12.54,14.88
2001,18.79,19.02,26.44,18.70,11.71,16.87,21.55,12.51,12.93,18.92,26.37,24.82,19.99,26.08,23.97,14.08,16.82,19.30,13.58,14.37,20.31,24.40,17.85,12.35,17.78,11.71,11.59,17.34,12.79,15.19
2002,18.76,18.73,26.36,18.67,11.47,16.81,21.64,12.43,12.66,19.00,26.41,24.65,20.01,25.97,23.92,13.78,16.67,19.20,13.44,14.12,20.21,24.42,17.70,12.07,17.85,11.44,11.35,17.13,12.63,15.11
2003,18.60,18.81,26.32,18.39,11.74,16.55,21.39,12.32,12.67,18.68,26.29,24.64,19.85,25.93,23.75,13.88,16.54,19.12,13.29,13.96,19.95,24.39,17.60,12.27,17.64,11.51,11.52,16.88,12.58,14.86
2004,18.57,18.80,26.15,18.41,11.68,16.52,21.32,12.20,12.54,18.70,26.30,24.71,19.83,25.78,23.70,13.88,16.52,19.13,13.18,13.89,19.87,24.44,17.27,12.34,17.55,11.38,11.44,16.86,12.29,14.70
2005,18.63,18.65,26.32,18.41,11.52,16.60,21.50,12.22,12.60,18.81,26.38,24.53,19.93,25.86,23.69,13.77,16.47,18.94,13.18,13.92,19.96,24.55,17.41,12.13,17.71,11.50,11.38,16.90,12.43,14.80
2006,18.77,18.69,26.35,18.42,11.47,16.73,21.48,12.24,12.57,19.12,26.39,24.58,20.06,25.87,23.75,13.73,16.63,19.01,13.27,14.07,20.19,24.62,17.60,12.12,17.82,11.38,11.26,17.17,12.53,14.90
2007,19.00,18.84,26.49,18.74,11.52,17.04,21.73,12.40,12.87,19.35,26.59,24.72,20.36,26.08,24.03,13.83,16.82,19.35,13.62,14.33,20.50,24.77,17.84,12.19,18.15,11.49,11.40,17.37,12.65,15.31
2008,18.74,18.89,26.44,18.73,11.86,16.83,21.52,12.39,12.77,18.91,26.36,24.73,19.86,26.06,23.99,14.00,16.77,19.30,13.41,14.13,20.17,24.43,17.69,12.47,17.65,11.53,11.61,17.18,12.57,15.05
2009,18.89,18.73,26.41,18.62,11.69,16.93,21.62,12.54,12.70,19.13,26.48,24.61,20.20,25.98,23.94,13.75,16.86,19.17,13.43,14.27,20.41,24.65,17.80,12.26,18.03,11.50,11.62,17.33,12.63,15.14
2010,18.97,19.12,26.66,18.75,11.95,16.90,21.80,12.66,12.98,19.12,26.68,24.91,20.28,26.30,24.17,14.28,16.92,19.41,13.55,14.34,20.38,24.74,17.84,12.59,18.00,11.76,11.79,17.35,12.81,15.23
2011,18.95,18.97,26.61,18.66,11.78,16.90,21.70,12.52,12.82,19.23,26.64,24.83,20.29,26.08,23.98,14.06,16.66,19.29,13.47,14.21,20.38,24.85,17.79,12.38,17.99,11.68,11.55,17.22,12.71,15.11
2012,19.09,19.04,26.61,18.85,11.96,17.06,21.86,12.62,12.96,19.33,26.68,24.76,20.50,26.18,24.06,14.14,17.03,19.49,13.61,14.34,20.43,24.87,17.82,12.57,18.16,11.72,11.80,17.37,12.80,15.24
2013,18.99,18.85,26.50,18.66,11.75,17.00,21.70,12.61,12.76,19.25,26.59,24.70,20.27,26.02,23.93,13.93,16.96,19.21,13.54,14.43,20.53,24.77,17.98,12.39,18.10,11.60,11.69,17.64,12.81,15.21
2014,19.19,19.32,26.78,18.96,12.31,17.20,21.92,12.88,13.14,19.32,26.74,25.16,20.43,26.39,24.27,14.45,17.28,19.64,13.88,14.75,20.59,24.84,18.16,13.01,18.22,11.99,12.06,17.74,13.12,15.50
