Variable:,tas
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
1995,28.17,27.63,28.64,29.51,28.61,29.78,29.93,29.87,28.69
1996,28.11,27.53,28.52,29.70,28.74,29.89,29.97,29.97,28.66
1997,28.17,27.65,28.46,29.71,28.65,29.84,29.98,29.96,28.60
1998,28.07,27.56,28.47,29.46,28.39,29.61,29.76,29.78,28.56
1999,28.10,27.56,28.45,29.68,28.60,29.88,29.91,29.97,28.61
2000,28.20,27.66,28.52,29.84,28.76,30.10,30.06,30.08,28.69
2001,28.60,28.02,28.94,30.26,29.22,30.51,30.61,30.54,29.14
2002,28.47,27.93,28.82,30.00,28.96,30.23,30.34,30.27,28.98
2003,28.56,28.06,28.98,29.94,28.96,30.15,30.30,30.20,29.01
2004,28.65,28.11,29.00,30.15,29.07,30.41,30.52,30.46,29.09
2005,28.59,28.09,28.97,30.09,29.00,30.29,30.32,30.33,29.02
2006,28.62,28.13,28.99,29.92,28.89,30.16,30.27,30.21,29.02
2007,28.48,27.92,28.87,30.03,28.91,30.31,30.30,30.38,28.98
2008,28.63,28.12,28.97,30.03,28.98,30.26,30.47,30.34,29.10
2009,28.81,28.31,29.11,30.12,29.04,30.34,30.54,30.53,29.23
2010,28.82,28.26,29.24,30.43,29.32,30.57,30.71,30.63,29.37
2011,28.96,28.44,29.31,30.37,29.34,30.66,30.73,30.66,29.41
2012,28.99,28.43,29.46,30.29,29.40,30.53,30.77,30.67,29.52
2013,28.62,28.09,28.96,30.08,29.10,30.27,30.44,30.38,29.09
2014,29.03,28.54,29.31,30.30,29.41,30.56,30.89,30.67,29.47
