Variable:,tas
,"South Sudan","El Buheyrat",Unity,"Central Equatoria","Eastern Equatoria",Jonglei,"Northern Bahr El Ghazal",Warab,"Western Bahr El Ghazal","Western Equatoria","Upper Nile"
1995,27.93,28.10,29.13,25.94,26.38,28.85,27.85,28.51,26.36,26.04,28.66
1996,27.96,28.18,29.10,26.01,26.56,28.95,27.74,28.45,26.25,26.00,28.71
1997,28.15,28.44,29.33,26.15,26.65,29.13,27.95,28.75,26.52,26.26,28.86
1998,28.07,28.29,29.23,26.06,26.57,29.09,27.89,28.63,26.44,26.11,28.79
1999,28.03,28.21,29.15,26.04,26.60,29.00,27.86,28.60,26.42,26.06,28.74
2000,28.22,28.46,29.33,26.22,26.79,29.21,28.02,28.74,26.61,26.37,28.89
2001,28.46,28.66,29.51,26.51,27.12,29.51,28.22,28.99,26.79,26.46,29.13
2002,28.26,28.50,29.34,26.29,26.82,29.23,28.05,28.80,26.66,26.40,28.99
2003,28.27,28.52,29.44,26.23,26.74,29.23,28.11,28.89,26.67,26.36,29.03
2004,28.48,28.71,29.70,26.51,26.98,29.42,28.38,29.14,26.84,26.59,29.18
2005,28.39,28.59,29.54,26.39,27.01,29.40,28.13,28.91,26.68,26.45,29.12
2006,28.27,28.52,29.42,26.39,26.85,29.23,28.16,28.85,26.69,26.36,28.90
2007,28.26,28.44,29.37,26.39,27.05,29.26,27.93,28.77,26.55,26.38,28.92
2008,28.39,28.65,29.50,26.39,27.00,29.37,28.23,29.01,26.81,26.48,29.02
2009,28.51,28.78,29.68,26.51,26.83,29.47,28.29,29.15,26.91,26.68,29.23
2010,28.59,28.80,29.75,26.64,27.17,29.60,28.32,29.13,26.93,26.64,29.31
2011,28.69,28.84,29.80,26.76,27.31,29.74,28.38,29.15,26.93,26.67,29.48
2012,28.58,28.75,29.78,26.54,27.17,29.51,28.38,29.18,26.94,26.54,29.33
2013,28.53,28.77,29.61,26.70,27.17,29.47,28.35,29.09,26.90,26.65,29.18
2014,28.64,28.83,29.83,26.64,27.27,29.60,28.41,29.19,26.95,26.66,29.39
