Variable:,tas
,Singapore,"Ang Mo Kio-cheng San","Bukit Timah","Central Singapore",Hougang,"Marine Parade",Northeast,"Potong Pasir","Sembawang-hong Kah","Tanjong Pagar"
1995,27.78,27.96,27.96,27.96,27.96,27.93,27.96,27.96,27.96,27.96
1996,27.72,27.81,27.81,27.81,27.81,27.79,27.81,27.81,27.81,27.81
1997,27.92,28.03,28.03,28.03,28.03,28.01,28.03,28.03,28.03,28.03
1998,27.84,27.99,27.99,27.99,27.99,27.96,27.99,27.99,27.99,27.99
1999,27.84,27.94,27.94,27.94,27.94,27.92,27.94,27.94,27.94,27.94
2000,27.99,28.15,28.15,28.15,28.15,28.12,28.15,28.15,28.15,28.15
2001,28.04,28.22,28.22,28.22,28.22,28.19,28.22,28.22,28.22,28.22
2002,27.93,28.10,28.10,28.10,28.10,28.07,28.10,28.10,28.10,28.10
2003,28.03,28.38,28.38,28.38,28.38,28.31,28.38,28.38,28.38,28.38
2004,28.06,28.39,28.39,28.39,28.39,28.33,28.39,28.39,28.39,28.39
2005,28.10,28.24,28.24,28.24,28.24,28.21,28.24,28.24,28.24,28.24
2006,28.13,28.31,28.31,28.31,28.31,28.28,28.31,28.31,28.31,28.31
2007,28.00,28.18,28.18,28.18,28.18,28.15,28.18,28.18,28.18,28.18
2008,28.22,28.41,28.41,28.41,28.41,28.37,28.41,28.41,28.41,28.41
2009,28.14,28.34,28.34,28.34,28.34,28.30,28.34,28.34,28.34,28.34
2010,28.20,28.37,28.37,28.37,28.37,28.34,28.37,28.37,28.37,28.37
2011,28.12,28.39,28.39,28.39,28.39,28.34,28.39,28.39,28.39,28.39
2012,28.25,28.40,28.40,28.40,28.40,28.37,28.40,28.40,28.40,28.40
2013,28.26,28.39,28.39,28.39,28.39,28.37,28.39,28.39,28.39,28.39
2014,28.24,28.28,28.28,28.28,28.28,28.27,28.28,28.28,28.28,28.28
