Variable:,tas
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1995,24.85,23.32,24.68,24.29,28.21,25.90,25.27,23.50,24.07,24.78,25.65
1996,24.90,23.39,24.74,24.30,28.19,26.00,25.34,23.57,24.13,24.87,25.78
1997,25.04,23.56,24.90,24.41,28.32,26.13,25.48,23.71,24.30,25.01,25.90
1998,24.99,23.58,24.82,24.36,28.17,26.01,25.52,23.63,24.20,24.89,25.79
1999,25.02,23.56,24.83,24.39,28.40,26.02,25.47,23.69,24.25,24.90,25.82
2000,25.13,23.64,24.98,24.53,28.41,26.20,25.61,23.79,24.35,25.08,26.00
2001,25.26,23.77,25.05,24.61,28.71,26.23,25.77,23.91,24.46,25.14,26.00
2002,25.28,23.82,25.06,24.64,28.64,26.23,25.83,23.92,24.48,25.13,26.00
2003,25.24,23.75,25.07,24.61,28.67,26.25,25.73,23.94,24.48,25.14,26.04
2004,25.44,23.93,25.21,24.79,28.88,26.45,26.00,24.09,24.61,25.33,26.21
2005,25.28,23.82,25.13,24.69,28.63,26.26,25.71,23.96,24.51,25.19,26.04
2006,25.30,23.88,25.13,24.64,28.58,26.30,25.81,23.96,24.53,25.18,26.06
2007,25.22,23.71,25.04,24.59,28.56,26.26,25.77,23.89,24.43,25.14,26.02
2008,25.42,24.02,25.30,24.82,28.56,26.48,25.78,24.21,24.75,25.31,26.32
2009,25.33,23.80,25.14,24.71,28.70,26.35,25.81,23.97,24.54,25.25,26.12
2010,25.51,24.05,25.29,24.91,28.90,26.44,26.00,24.14,24.67,25.32,26.26
2011,25.56,24.03,25.39,24.97,28.91,26.54,26.05,24.18,24.75,25.42,26.32
2012,25.55,24.10,25.35,24.95,28.85,26.47,26.05,24.19,24.73,25.41,26.26
2013,25.55,24.13,25.40,24.93,28.80,26.53,26.02,24.22,24.77,25.45,26.30
2014,25.61,24.10,25.43,25.01,29.04,26.57,26.13,24.28,24.82,25.49,26.36
