Variable:,tas
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
1995,28.43,28.83,30.08,29.88,24.05,30.14,30.12,29.53,29.70,27.16,25.91,29.77,26.92,28.08
1996,28.52,28.91,30.15,29.95,24.10,30.13,30.09,29.58,29.83,27.17,25.84,29.85,27.06,28.06
1997,28.75,29.16,30.38,30.20,24.06,30.30,30.23,29.87,30.09,27.26,25.92,30.16,27.24,28.22
1998,28.62,29.04,30.18,29.99,24.00,30.18,30.15,29.72,29.87,27.19,25.82,29.97,27.15,28.06
1999,28.76,29.18,30.41,30.23,24.14,30.34,30.25,29.91,30.10,27.32,26.05,30.18,27.18,28.29
2000,28.80,29.24,30.38,30.14,24.30,30.34,30.27,29.83,29.99,27.44,26.11,30.14,27.36,28.27
2001,28.99,29.38,30.71,30.43,24.27,30.67,30.67,30.30,30.44,27.46,26.12,30.46,27.32,28.37
2002,28.86,29.25,30.44,30.21,24.07,30.43,30.44,30.12,30.19,27.21,25.94,30.26,27.33,28.22
2003,29.02,29.42,30.65,30.46,24.35,30.65,30.63,30.27,30.35,27.56,26.21,30.52,27.36,28.49
2004,29.09,29.46,30.86,30.66,24.23,30.82,30.86,30.48,30.61,27.40,26.01,30.63,27.41,28.40
2005,28.93,29.34,30.57,30.26,24.26,30.51,30.50,30.14,30.30,27.44,26.15,30.34,27.36,28.35
2006,29.03,29.45,30.65,30.44,24.33,30.61,30.57,30.12,30.31,27.69,26.25,30.40,27.49,28.52
2007,29.07,29.47,30.71,30.47,24.34,30.67,30.68,30.24,30.36,27.62,26.22,30.48,27.53,28.50
2008,29.17,29.64,30.86,30.60,24.33,30.75,30.63,30.32,30.52,27.56,26.08,30.75,27.58,28.43
2009,29.10,29.43,30.68,30.38,24.37,30.68,30.72,30.34,30.48,27.49,26.20,30.49,27.63,28.39
2010,29.13,29.52,30.82,30.67,24.34,30.80,30.82,30.40,30.58,27.60,26.36,30.56,27.46,28.71
2011,29.13,29.58,30.79,30.58,24.38,30.71,30.70,30.32,30.46,27.58,26.21,30.60,27.55,28.52
2012,29.32,29.73,30.90,30.65,24.58,30.86,30.87,30.53,30.66,27.73,26.36,30.73,27.80,28.63
2013,29.37,29.76,30.89,30.76,24.65,30.75,30.66,30.54,30.61,27.85,26.53,30.81,27.86,28.78
2014,29.25,29.65,30.88,30.70,24.53,30.89,30.86,30.41,30.51,27.80,26.38,30.58,27.75,28.69
