Variable:,tas
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1995,15.07,15.51,16.91,10.75,21.95,9.94,17.73,20.76,18.48,22.89,8.19,15.53,15.50,11.47,21.42,10.05,11.94,14.99,9.37,17.06,7.69,19.06,20.93,5.14,15.73
1996,15.36,15.80,17.29,10.78,22.54,10.10,18.03,21.53,18.99,23.41,8.34,15.88,15.61,11.58,22.01,10.24,12.09,15.28,9.38,17.37,7.79,19.60,21.37,5.11,15.84
1997,15.34,15.63,17.06,11.03,22.59,10.13,18.00,21.03,18.69,23.49,8.66,15.69,15.75,11.61,21.75,10.34,12.17,15.53,9.57,17.30,7.85,19.29,21.33,5.19,16.18
1998,15.39,15.68,17.18,11.05,22.68,10.11,17.98,21.51,18.79,23.58,8.51,15.75,15.81,11.70,22.06,10.41,12.17,15.37,9.65,17.36,7.73,19.49,21.39,5.20,16.06
1999,15.39,15.83,17.24,11.04,22.57,10.16,18.10,21.17,18.81,23.34,8.47,15.81,15.75,11.65,21.59,10.36,12.16,15.39,9.52,17.38,7.86,19.58,21.47,5.09,16.01
2000,15.36,15.66,17.13,10.97,22.41,10.16,18.19,21.18,18.94,23.25,8.50,15.70,15.84,11.75,21.85,10.29,12.04,15.31,9.87,17.46,7.82,19.47,21.34,5.17,15.99
2001,15.49,15.81,17.31,11.01,22.58,10.45,18.05,21.37,18.97,23.44,8.61,15.94,15.73,11.81,21.82,10.57,12.40,15.40,9.71,17.44,8.14,19.56,21.42,5.40,15.97
2002,15.48,15.74,17.27,11.10,22.65,10.27,18.11,21.52,18.97,23.53,8.66,15.97,15.87,11.91,21.90,10.47,12.35,15.42,9.88,17.54,7.84,19.59,21.45,5.40,16.01
2003,15.48,15.73,17.30,11.07,22.55,10.45,18.16,21.03,18.84,23.30,8.67,15.94,15.98,11.79,21.57,10.65,12.44,15.45,9.72,17.55,8.12,19.54,21.42,5.30,16.02
2004,15.48,15.86,17.26,11.22,22.64,10.20,18.19,21.37,18.75,23.53,8.93,15.88,15.97,11.74,22.12,10.42,12.28,15.57,9.72,17.49,7.77,19.42,21.44,5.20,16.20
2005,15.49,15.83,17.16,11.19,22.57,10.29,18.21,21.06,18.91,23.47,8.89,15.94,15.95,11.81,21.63,10.51,12.31,15.62,9.78,17.49,8.00,19.49,21.37,5.31,16.12
2006,15.51,16.07,17.37,10.99,22.27,10.39,18.32,21.09,18.91,23.14,8.67,16.13,15.91,11.99,21.56,10.54,12.40,15.34,9.83,17.76,8.11,19.52,21.26,5.47,15.88
2007,15.49,15.83,17.38,11.14,22.37,10.41,18.11,21.22,19.05,23.18,8.81,15.87,15.92,11.80,21.82,10.46,12.36,15.43,9.76,17.52,8.17,19.60,21.39,5.49,16.04
2008,15.53,15.87,17.22,11.22,22.71,10.40,18.20,21.16,18.72,23.58,8.96,15.91,16.15,11.80,21.87,10.53,12.36,15.52,9.85,17.56,8.04,19.49,21.56,5.24,16.11
2009,15.65,15.92,17.25,11.36,22.98,10.43,18.23,21.46,19.10,23.79,8.91,16.08,16.19,11.87,22.05,10.52,12.35,15.81,9.89,17.68,8.00,19.73,21.77,5.24,16.47
2010,15.57,15.82,17.07,11.39,22.95,10.26,18.03,21.41,18.92,23.88,9.05,15.97,16.12,11.91,22.09,10.44,12.24,15.84,9.91,17.55,7.99,19.53,21.60,5.39,16.37
2011,15.67,15.99,17.37,11.42,23.01,10.28,18.35,21.58,19.10,24.09,8.93,16.07,16.16,11.88,22.07,10.53,12.32,15.88,9.95,17.72,7.89,19.79,21.69,5.25,16.33
2012,15.78,15.96,17.43,11.62,23.27,10.35,18.52,21.65,19.29,24.11,9.18,15.97,16.35,11.89,22.32,10.49,12.33,16.04,9.95,17.70,8.04,20.00,22.24,5.41,16.70
2013,15.60,15.99,17.44,11.35,22.53,10.49,18.21,21.32,19.02,23.41,9.01,16.10,16.01,11.90,21.91,10.55,12.43,15.59,9.97,17.55,8.19,19.62,21.40,5.46,16.10
2014,15.72,16.03,17.49,11.37,23.06,10.46,18.42,21.69,19.21,23.73,9.02,16.10,16.01,11.90,22.27,10.65,12.45,15.72,9.87,17.66,8.21,19.98,21.77,5.53,16.26
