Variable:,tas
,Bhutan,Bumthang,Chhukha,Gasa,Lhuentse,Monggar,Paro,Punakha,Thimphu,Trashiyangtse,Trashigang,Trongsa,Tsirang,Wangduephodrang,Dagana,Haa,Pemagatshel,Samdrupjongkhar,Samtse,Sarpang,Zhemgang
1995,12.66,15.75,22.02,8.58,18.69,19.57,17.20,17.17,17.20,19.56,19.50,16.64,19.85,16.64,20.99,17.20,21.96,21.85,21.19,21.55,19.92
1996,12.61,15.75,21.86,8.50,18.69,19.57,17.13,17.10,17.13,19.56,19.50,16.65,19.87,16.64,20.87,17.13,21.95,21.85,21.02,21.57,19.94
1997,12.68,15.75,21.87,8.60,18.68,19.55,17.18,17.15,17.18,19.54,19.49,16.64,19.83,16.64,20.89,17.18,21.94,21.85,21.04,21.52,19.90
1998,12.86,16.01,22.13,8.75,18.95,19.83,17.32,17.30,17.32,19.82,19.76,16.91,20.16,16.88,21.13,17.32,22.27,22.15,21.23,21.87,20.23
1999,12.77,15.83,21.91,8.68,18.81,19.69,17.20,17.17,17.20,19.68,19.63,16.72,19.90,16.71,20.92,17.20,21.99,21.90,21.07,21.57,19.96
2000,12.85,15.89,22.09,8.79,18.85,19.72,17.33,17.30,17.33,19.71,19.66,16.78,19.99,16.78,21.09,17.33,22.12,22.03,21.25,21.69,20.06
2001,13.01,16.09,22.13,8.89,19.02,19.89,17.46,17.43,17.46,19.88,19.82,16.98,20.12,16.97,21.15,17.46,22.19,22.10,21.30,21.77,20.19
2002,12.89,15.99,22.02,8.82,18.90,19.77,17.42,17.39,17.42,19.76,19.70,16.88,20.05,16.88,21.06,17.42,22.12,22.01,21.20,21.72,20.12
2003,12.73,15.87,21.90,8.67,18.72,19.58,17.25,17.22,17.25,19.56,19.51,16.76,19.96,16.75,20.94,17.25,22.05,21.94,21.07,21.65,20.03
2004,12.90,16.02,22.01,8.83,18.93,19.80,17.38,17.35,17.38,19.79,19.73,16.92,20.07,16.90,21.05,17.38,22.21,22.11,21.21,21.74,20.15
2005,13.09,16.16,22.06,9.01,19.11,19.99,17.53,17.50,17.53,19.98,19.92,17.05,20.15,17.04,21.12,17.53,22.31,22.22,21.24,21.78,20.23
2006,12.82,15.94,22.00,8.72,18.88,19.75,17.35,17.32,17.35,19.74,19.68,16.84,20.03,16.83,21.03,17.35,22.20,22.10,21.16,21.72,20.11
2007,12.73,15.79,21.85,8.66,18.72,19.59,17.20,17.17,17.20,19.58,19.52,16.68,19.86,16.68,20.88,17.20,21.96,21.87,21.04,21.54,19.93
2008,12.97,16.05,22.04,8.92,19.01,19.89,17.46,17.43,17.46,19.88,19.82,16.94,20.04,16.94,21.07,17.46,22.13,22.03,21.24,21.68,20.12
2009,12.93,15.98,22.18,8.87,18.93,19.80,17.35,17.32,17.35,19.79,19.74,16.86,20.12,16.85,21.17,17.35,22.24,22.13,21.28,21.85,20.19
2010,13.02,16.06,22.11,8.95,18.98,19.85,17.46,17.43,17.46,19.84,19.79,16.95,20.14,16.95,21.14,17.46,22.29,22.19,21.29,21.83,20.22
2011,12.91,16.01,22.12,8.87,18.91,19.77,17.47,17.44,17.47,19.76,19.71,16.91,20.07,16.91,21.14,17.47,22.18,22.07,21.35,21.74,20.14
2012,13.17,16.25,22.34,9.10,19.20,20.07,17.65,17.62,17.65,20.06,20.00,17.14,20.35,17.14,21.36,17.65,22.28,22.19,21.52,22.05,20.40
2013,13.17,16.28,22.17,9.11,19.17,20.03,17.73,17.70,17.73,20.02,19.96,17.18,20.24,17.18,21.24,17.73,22.21,22.11,21.34,21.86,20.30
2014,13.30,16.32,22.24,9.30,19.19,20.04,17.66,17.63,17.66,20.03,19.97,17.19,20.31,17.18,21.29,17.66,22.35,22.25,21.44,21.96,20.38
