Variable:,tas
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
1995,20.73,23.70,19.46,19.95,18.64,23.39,20.70,17.83,23.10,21.26,18.92,20.49,22.70,21.76
1996,20.82,23.66,19.78,20.12,19.02,23.16,20.81,18.03,23.12,21.22,19.01,20.56,22.79,21.74
1997,21.11,23.89,19.75,20.35,19.13,23.68,21.27,18.04,23.50,21.65,19.16,20.83,23.22,22.14
1998,21.07,23.97,19.68,20.39,19.02,23.53,21.24,18.03,23.48,21.48,19.46,21.11,23.14,21.98
1999,20.95,23.92,19.77,20.21,19.13,23.60,20.99,18.08,23.25,21.34,19.06,20.60,22.80,21.81
2000,21.08,24.07,19.92,20.43,19.25,23.48,21.21,18.14,23.25,21.48,19.20,20.77,22.85,21.99
2001,21.18,24.03,19.86,20.44,19.21,23.69,21.20,18.26,23.62,21.56,19.51,21.12,23.19,22.08
2002,21.20,24.20,19.86,20.41,19.13,23.70,21.33,18.22,23.62,21.68,19.42,21.05,23.24,22.19
2003,21.25,23.98,19.98,20.43,19.23,23.76,21.30,18.28,23.49,21.83,19.40,20.98,23.24,22.31
2004,21.30,24.37,19.94,20.55,19.30,23.93,21.30,18.29,23.83,21.72,19.48,21.02,23.30,22.20
2005,21.42,24.30,20.17,20.63,19.34,24.13,21.40,18.41,23.80,21.92,19.59,21.27,23.44,22.49
2006,21.24,23.95,20.04,20.63,19.44,23.55,21.35,18.30,23.59,21.67,19.39,20.96,23.16,22.07
2007,21.26,24.00,20.08,20.64,19.37,23.62,21.42,18.39,23.39,21.65,19.44,20.97,23.10,22.16
2008,21.25,24.25,20.07,20.52,19.27,23.68,21.42,18.37,23.31,21.69,19.46,21.00,23.01,22.19
2009,21.25,24.42,19.92,20.46,19.23,23.85,21.35,18.32,23.54,21.71,19.38,20.93,23.19,22.25
2010,21.58,24.30,20.21,20.78,19.50,24.06,21.68,18.52,24.00,22.15,19.79,21.45,23.74,22.65
2011,21.51,24.37,20.41,20.84,19.65,23.99,21.55,18.68,23.73,21.98,19.68,21.17,23.36,22.31
2012,21.52,24.44,20.42,20.98,19.61,23.71,21.76,18.68,23.75,21.85,19.72,21.21,23.40,22.31
2013,21.65,24.28,20.35,21.13,19.60,23.75,22.09,18.60,23.73,22.30,19.70,21.30,23.48,22.62
2014,21.48,24.40,20.37,20.82,19.68,23.90,21.59,18.60,23.78,21.82,19.64,21.15,23.38,22.33
