Variable:,tasmin
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
2015,15.68,13.92,17.73,12.54,12.68,8.58,12.81,15.63,19.10,20.47,14.64,15.45,19.79,20.05,11.35,10.52,18.31,16.60,16.61,9.71,11.84,19.34,19.47,12.64,20.26,18.14
2016,15.66,13.94,17.70,12.57,12.62,8.62,12.80,15.63,19.06,20.47,14.58,15.47,19.76,20.06,11.36,10.51,18.24,16.57,16.55,9.73,11.83,19.33,19.47,12.62,20.28,18.13
2017,15.63,13.87,17.67,12.49,12.58,8.50,12.72,15.59,19.01,20.45,14.53,15.39,19.73,20.00,11.29,10.45,18.26,16.58,16.55,9.63,11.73,19.28,19.44,12.54,20.26,18.07
2018,15.72,13.89,17.72,12.53,12.71,8.56,12.81,15.60,19.13,20.57,14.63,15.44,19.80,20.17,11.36,10.57,18.36,16.67,16.66,9.70,11.80,19.39,19.53,12.64,20.41,18.19
2019,15.87,14.15,17.90,12.77,12.78,8.78,12.95,15.86,19.23,20.66,14.74,15.67,19.95,20.28,11.58,10.69,18.50,16.85,16.76,9.88,12.03,19.50,19.70,12.76,20.53,18.28
2020,15.85,14.13,17.85,12.79,12.79,8.76,12.89,15.83,19.19,20.75,14.72,15.64,19.90,20.20,11.56,10.68,18.48,16.82,16.77,9.83,11.99,19.46,19.67,12.72,20.50,18.21
2021,15.91,14.17,17.95,12.79,12.86,8.84,12.97,15.85,19.22,20.46,14.78,15.67,19.99,20.18,11.64,10.76,18.59,16.93,16.87,9.96,12.10,19.49,19.67,12.78,20.44,18.27
2022,15.88,14.13,17.96,12.78,12.81,8.83,12.97,15.84,19.23,20.69,14.74,15.59,20.00,20.27,11.57,10.69,18.51,16.84,16.83,9.96,11.96,19.51,19.70,12.77,20.51,18.29
2023,15.96,14.21,17.97,12.81,12.85,8.81,12.98,15.93,19.33,20.94,14.83,15.70,20.04,20.34,11.59,10.73,18.66,16.98,16.88,9.91,12.10,19.58,19.75,12.81,20.55,18.35
2024,16.08,14.36,18.11,12.97,13.03,8.96,13.17,16.08,19.49,20.90,14.99,15.89,20.18,20.51,11.73,10.88,18.75,17.02,17.01,10.07,12.23,19.75,19.93,13.00,20.78,18.53
