Variable:,tasmin
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
2015,8.00,6.00,9.48,6.49,8.56,7.31,10.08,8.05,7.80,12.64,7.01,8.17,8.30,8.85,8.18,6.97,7.79,8.44,9.57,8.73,9.81,11.10,6.95,22.03,21.99,24.39,23.76,21.39,22.23,24.75,24.61,24.14,24.98
2016,7.53,5.38,9.04,6.01,8.04,6.87,9.61,7.55,7.35,12.26,6.49,7.66,7.76,8.43,7.66,6.43,7.30,8.08,9.09,8.26,9.24,10.78,6.49,21.98,21.94,24.43,23.89,21.50,22.36,24.79,24.65,24.17,25.02
2017,7.76,5.54,9.25,6.19,8.42,7.06,9.86,7.84,7.63,12.50,6.63,7.97,8.18,8.65,7.86,6.68,7.54,8.34,9.35,8.59,9.50,10.91,6.62,22.00,21.93,24.36,23.74,21.50,22.35,24.78,24.64,24.15,25.01
2018,7.78,5.70,9.49,6.37,8.15,7.14,9.76,7.78,7.54,12.59,6.73,7.67,7.95,8.82,7.99,6.71,7.75,8.03,9.26,8.32,9.59,11.10,6.76,22.15,22.06,24.47,23.91,21.59,22.44,24.82,24.68,24.21,25.05
2019,7.58,5.40,9.19,6.03,8.15,6.77,9.69,7.54,7.27,12.54,6.44,7.73,7.79,8.67,7.66,6.43,7.52,8.09,9.17,8.26,9.35,10.95,6.50,22.19,22.22,24.54,23.95,21.56,22.40,24.92,24.78,24.29,25.15
2020,7.77,5.74,9.32,6.22,8.38,7.03,9.93,7.82,7.60,12.52,6.71,7.88,8.03,8.61,7.88,6.77,7.56,8.24,9.41,8.50,9.59,10.89,6.62,22.21,22.16,24.55,23.90,21.63,22.47,24.93,24.79,24.31,25.16
2021,7.80,5.84,9.33,6.31,8.22,7.16,9.78,7.76,7.62,12.56,6.87,7.84,8.07,8.72,7.90,6.84,7.64,8.25,9.25,8.52,9.50,11.01,6.82,22.32,22.30,24.57,23.93,21.61,22.45,24.95,24.81,24.32,25.18
2022,7.65,5.48,9.27,6.20,8.08,6.94,9.60,7.58,7.41,12.45,6.61,7.67,7.84,8.74,7.78,6.54,7.67,8.09,9.07,8.31,9.32,10.98,6.68,22.26,22.32,24.62,23.88,21.64,22.49,25.01,24.87,24.40,25.23
2023,7.84,5.98,9.30,6.32,8.35,7.17,9.87,7.79,7.66,12.79,6.91,7.87,8.00,8.80,7.90,6.98,7.69,8.19,9.37,8.44,9.53,11.12,6.81,22.22,22.21,24.55,24.01,21.64,22.48,24.91,24.77,24.30,25.14
2024,7.78,5.64,9.33,6.24,8.32,7.11,9.99,7.78,7.54,12.69,6.70,7.87,7.97,8.72,7.87,6.72,7.63,8.33,9.36,8.43,9.61,11.04,6.67,22.35,22.39,24.65,24.09,21.74,22.58,25.05,24.91,24.44,25.28
2025,7.98,6.02,9.48,6.45,8.38,7.33,10.00,7.98,7.78,12.88,7.02,7.98,8.19,8.96,8.11,6.94,7.83,8.32,9.50,8.59,9.73,11.33,7.02,22.43,22.39,24.66,24.14,21.85,22.69,25.02,24.88,24.39,25.25
2026,7.88,5.94,9.40,6.35,8.35,7.18,9.85,7.89,7.65,12.77,6.91,7.87,8.10,8.87,8.00,6.91,7.76,8.28,9.40,8.53,9.62,11.15,6.88,22.39,22.35,24.63,24.10,21.74,22.59,25.04,24.90,24.42,25.27
2027,7.77,5.78,9.37,6.23,8.23,7.05,9.87,7.71,7.57,12.69,6.78,7.84,7.97,8.79,7.82,6.73,7.71,8.19,9.31,8.45,9.56,11.10,6.75,22.23,22.19,24.77,24.03,21.55,22.38,25.20,25.06,24.58,25.43
2028,7.96,5.83,9.53,6.44,8.46,7.25,9.94,7.97,7.75,12.90,6.90,8.02,8.22,8.92,8.07,6.89,7.83,8.35,9.56,8.62,9.77,11.21,6.91,22.39,22.39,24.81,24.15,21.81,22.65,25.19,25.05,24.58,25.42
2029,8.03,5.91,9.65,6.57,8.55,7.36,10.15,8.05,7.79,12.72,6.95,8.09,8.26,9.02,8.17,6.93,7.95,8.41,9.62,8.69,9.87,11.24,7.00,22.42,22.36,24.80,24.15,21.75,22.61,25.21,25.07,24.59,25.44
2030,8.06,6.08,9.60,6.59,8.52,7.40,10.07,8.04,7.81,12.93,7.03,8.10,8.23,9.03,8.20,7.06,7.99,8.44,9.54,8.70,9.79,11.27,7.05,22.29,22.23,24.73,24.12,21.80,22.64,25.08,24.94,24.46,25.31
2031,7.84,5.80,9.53,6.39,8.30,7.13,9.91,7.79,7.60,12.70,6.80,7.86,8.00,8.84,8.00,6.83,7.78,8.20,9.39,8.46,9.65,11.08,6.80,22.40,22.35,24.71,24.18,21.79,22.64,25.08,24.94,24.47,25.31
2032,7.83,5.69,9.54,6.38,8.34,7.08,9.89,7.72,7.49,12.71,6.72,7.87,7.91,8.89,8.02,6.71,7.86,8.14,9.39,8.42,9.66,11.12,6.85,22.48,22.45,24.79,24.15,21.78,22.64,25.18,25.03,24.54,25.41
2033,8.03,6.03,9.53,6.59,8.45,7.39,10.04,7.95,7.86,12.85,7.09,7.99,8.16,9.00,8.15,7.08,7.90,8.32,9.48,8.60,9.72,11.36,7.09,22.46,22.41,24.79,24.15,21.77,22.60,25.17,25.03,24.57,25.39
2034,8.08,6.10,9.64,6.66,8.44,7.35,9.94,8.07,7.81,12.75,7.12,8.05,8.24,9.12,8.25,7.01,8.03,8.35,9.52,8.62,9.84,11.38,7.22,22.56,22.55,24.92,24.20,21.83,22.68,25.25,25.11,24.65,25.47
2035,8.06,5.98,9.62,6.53,8.48,7.37,9.98,8.09,7.91,12.97,6.99,8.08,8.33,9.00,8.22,7.01,7.96,8.47,9.56,8.77,9.83,11.32,7.02,22.48,22.42,24.69,24.14,21.88,22.73,25.07,24.93,24.46,25.30
2036,8.03,5.98,9.64,6.59,8.35,7.31,9.90,8.01,7.78,13.05,7.01,7.94,8.22,9.16,8.19,6.98,8.04,8.31,9.43,8.60,9.73,11.40,7.14,22.62,22.61,24.89,24.29,21.88,22.70,25.29,25.15,24.66,25.52
2037,8.18,6.12,9.73,6.65,8.65,7.42,10.09,8.22,7.95,13.05,7.14,8.21,8.41,9.12,8.33,7.21,8.08,8.55,9.73,8.89,10.00,11.47,7.11,22.68,22.69,24.95,24.32,21.99,22.83,25.30,25.16,24.68,25.53
2038,8.12,5.98,9.71,6.58,8.64,7.36,10.09,8.13,7.86,12.98,7.00,8.26,8.36,9.05,8.25,6.99,8.01,8.61,9.68,8.84,9.92,11.48,7.13,22.55,22.50,24.96,24.22,21.89,22.74,25.28,25.14,24.67,25.50
2039,8.18,6.09,9.74,6.64,8.69,7.48,10.25,8.17,7.92,13.00,7.17,8.27,8.40,9.13,8.29,7.16,8.06,8.60,9.75,8.80,9.97,11.44,7.18,22.62,22.58,24.90,24.29,21.89,22.75,25.30,25.16,24.68,25.53
2040,7.91,5.67,9.47,6.37,8.46,7.04,9.95,7.85,7.67,12.94,6.65,8.05,8.04,9.00,8.03,6.89,7.84,8.37,9.41,8.59,9.64,11.40,6.87,22.43,22.37,24.82,24.25,21.87,22.71,25.24,25.10,24.62,25.47
2041,7.96,5.81,9.53,6.48,8.45,7.14,9.96,7.89,7.66,12.84,6.81,8.02,8.13,9.04,8.08,6.86,7.89,8.36,9.47,8.56,9.72,11.41,7.07,22.46,22.41,24.80,24.22,21.80,22.64,25.17,25.03,24.56,25.39
2042,8.10,5.95,9.72,6.62,8.58,7.33,10.13,8.04,7.84,12.93,6.99,8.18,8.32,9.21,8.19,7.01,8.16,8.50,9.66,8.81,9.80,11.40,7.12,22.66,22.67,24.92,24.36,21.98,22.81,25.32,25.18,24.71,25.55
2043,8.35,6.32,9.87,6.92,8.76,7.67,10.18,8.35,8.11,13.31,7.34,8.32,8.56,9.46,8.52,7.33,8.31,8.65,9.79,8.92,10.04,11.70,7.39,22.83,22.81,24.95,24.38,21.96,22.79,25.38,25.24,24.77,25.61
2044,8.32,6.34,9.85,6.87,8.66,7.71,10.10,8.33,8.17,13.13,7.35,8.27,8.58,9.39,8.47,7.37,8.23,8.59,9.73,8.91,10.03,11.62,7.33,22.53,22.54,24.87,24.35,21.92,22.77,25.21,25.07,24.60,25.43
2045,8.13,6.06,9.76,6.68,8.57,7.39,10.11,8.11,7.88,13.00,7.10,8.12,8.36,9.20,8.34,7.05,8.09,8.37,9.64,8.68,9.92,11.51,7.20,22.57,22.54,24.90,24.37,21.97,22.82,25.29,25.15,24.66,25.52
2046,8.38,6.35,9.99,6.97,8.76,7.70,10.30,8.38,8.15,13.30,7.34,8.31,8.60,9.36,8.56,7.32,8.33,8.64,9.86,8.98,10.20,11.68,7.42,23.07,23.09,25.18,24.39,22.00,22.86,25.58,25.44,24.95,25.81
2047,8.28,6.16,9.94,6.89,8.66,7.56,10.24,8.18,7.98,13.29,7.16,8.19,8.43,9.34,8.43,7.15,8.34,8.51,9.75,8.85,10.01,11.77,7.42,22.59,22.52,24.98,24.22,21.94,22.78,25.37,25.23,24.76,25.60
2048,8.33,6.27,9.89,6.87,8.80,7.60,10.28,8.24,8.11,13.14,7.32,8.43,8.52,9.37,8.45,7.33,8.29,8.70,9.77,8.98,10.05,11.66,7.39,22.79,22.80,25.04,24.39,21.92,22.78,25.38,25.24,24.77,25.61
2049,8.38,6.31,10.08,6.94,8.70,7.67,10.30,8.33,8.09,13.24,7.41,8.23,8.53,9.45,8.56,7.32,8.37,8.55,9.86,8.87,10.17,11.72,7.54,22.96,22.94,25.07,24.39,22.04,22.87,25.49,25.35,24.86,25.72
2050,8.41,6.30,10.06,7.01,8.81,7.72,10.36,8.38,8.17,13.23,7.33,8.36,8.51,9.38,8.64,7.33,8.35,8.75,9.95,9.01,10.27,11.70,7.38,22.84,22.91,25.08,24.51,22.00,22.82,25.43,25.29,24.82,25.65
2051,8.37,6.32,10.01,6.89,8.71,7.64,10.29,8.26,8.11,13.29,7.40,8.30,8.53,9.46,8.49,7.33,8.38,8.67,9.83,8.96,10.12,11.79,7.47,22.83,22.81,25.02,24.46,22.07,22.93,25.42,25.28,24.81,25.65
2052,8.41,6.45,9.97,7.01,8.81,7.77,10.29,8.37,8.11,13.36,7.45,8.29,8.47,9.47,8.61,7.44,8.39,8.70,9.88,8.87,10.15,11.74,7.46,22.70,22.65,25.00,24.36,22.05,22.91,25.33,25.19,24.73,25.55
2053,8.40,6.38,9.92,6.89,8.84,7.64,10.32,8.48,8.12,13.39,7.33,8.45,8.67,9.49,8.53,7.31,8.37,8.59,9.91,8.99,10.16,11.73,7.42,22.66,22.68,25.00,24.36,21.90,22.74,25.32,25.18,24.71,25.54
2054,8.28,6.13,9.81,6.81,8.76,7.55,10.27,8.25,8.05,13.30,7.21,8.33,8.52,9.38,8.38,7.17,8.26,8.61,9.78,8.90,10.01,11.68,7.37,22.61,22.55,24.89,24.47,21.93,22.77,25.31,25.17,24.69,25.54
