Variable:,tasmin
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
2015,15.55,13.77,17.57,12.42,12.48,8.44,12.63,15.45,18.91,20.26,14.41,15.24,19.64,19.88,11.23,10.38,18.22,16.53,16.48,9.55,11.69,19.20,19.30,12.44,20.07,17.99
2016,15.75,14.01,17.83,12.63,12.68,8.65,12.85,15.71,19.14,20.61,14.62,15.50,19.89,20.20,11.45,10.56,18.36,16.71,16.65,9.76,11.89,19.42,19.59,12.66,20.42,18.21
2017,15.82,14.05,17.82,12.69,12.77,8.75,12.89,15.76,19.18,20.56,14.73,15.59,19.86,20.18,11.54,10.65,18.47,16.80,16.75,9.89,12.00,19.41,19.61,12.72,20.47,18.19
2018,15.75,13.98,17.72,12.60,12.70,8.59,12.79,15.71,19.16,20.66,14.63,15.53,19.78,20.12,11.42,10.55,18.43,16.74,16.72,9.70,11.86,19.39,19.54,12.63,20.38,18.15
2019,15.80,14.01,17.79,12.64,12.71,8.71,12.86,15.69,19.14,20.48,14.66,15.48,19.84,20.09,11.51,10.65,18.49,16.81,16.76,9.83,11.95,19.40,19.51,12.68,20.28,18.19
2020,15.76,13.99,17.78,12.60,12.71,8.64,12.86,15.70,19.18,20.49,14.67,15.56,19.84,20.14,11.47,10.59,18.38,16.76,16.67,9.77,11.96,19.41,19.53,12.69,20.33,18.20
2021,15.84,14.08,17.89,12.74,12.75,8.79,12.98,15.80,19.26,20.95,14.72,15.64,19.96,20.31,11.52,10.66,18.44,16.80,16.70,9.92,11.98,19.54,19.69,12.77,20.58,18.35
2022,15.98,14.11,17.93,12.77,12.90,8.80,13.02,15.78,19.26,20.78,14.79,15.60,19.99,20.27,11.65,10.84,18.73,17.02,17.01,9.90,12.06,19.53,19.68,12.83,20.51,18.34
2023,15.93,14.18,17.94,12.78,12.89,8.82,13.01,15.91,19.33,20.78,14.86,15.70,20.00,20.32,11.60,10.74,18.54,16.86,16.82,9.94,12.09,19.56,19.72,12.84,20.58,18.35
2024,16.07,14.34,18.09,12.95,13.02,8.96,13.14,16.07,19.42,20.89,14.95,15.86,20.14,20.43,11.73,10.91,18.73,17.03,17.03,10.06,12.22,19.69,19.88,12.96,20.70,18.46
2025,15.92,14.20,17.96,12.80,12.83,8.80,12.99,15.95,19.34,20.85,14.77,15.76,20.02,20.36,11.58,10.72,18.56,16.88,16.82,9.91,12.12,19.57,19.76,12.80,20.63,18.34
2026,16.02,14.28,18.04,12.91,12.95,8.95,13.12,15.97,19.37,20.78,14.90,15.81,20.08,20.37,11.75,10.89,18.64,17.00,16.93,10.06,12.21,19.63,19.80,12.94,20.59,18.42
2027,15.97,14.20,17.95,12.81,12.93,8.84,13.01,15.93,19.32,20.61,14.86,15.74,20.00,20.28,11.66,10.83,18.66,16.98,16.94,9.97,12.13,19.56,19.73,12.85,20.55,18.33
2028,16.08,14.39,18.14,12.99,13.00,8.98,13.16,16.11,19.42,20.94,14.96,15.93,20.20,20.48,11.78,10.87,18.70,17.05,16.97,10.08,12.33,19.72,19.95,12.97,20.80,18.49
2029,16.23,14.39,18.22,13.04,13.17,9.08,13.28,16.08,19.60,20.90,15.11,15.88,20.28,20.58,11.90,11.04,18.93,17.27,17.20,10.21,12.30,19.84,19.96,13.11,20.74,18.63
2030,15.96,14.18,17.98,12.80,12.89,8.81,13.01,15.89,19.32,20.75,14.85,15.67,20.04,20.34,11.64,10.73,18.62,16.94,16.91,9.94,12.07,19.58,19.77,12.84,20.62,18.36
2031,16.13,14.38,18.18,13.00,13.08,9.00,13.21,16.10,19.50,20.99,15.03,15.93,20.23,20.53,11.76,10.95,18.81,17.07,17.08,10.13,12.26,19.76,19.96,13.03,20.76,18.53
2032,16.22,14.47,18.28,13.12,13.16,9.12,13.31,16.19,19.64,21.30,15.13,15.98,20.35,20.68,11.88,11.02,18.83,17.16,17.10,10.23,12.32,19.90,20.09,13.13,20.94,18.67
2033,16.17,14.44,18.18,13.05,13.08,9.05,13.24,16.17,19.47,20.98,15.01,16.00,20.23,20.52,11.84,11.02,18.87,17.17,17.13,10.16,12.36,19.77,19.98,13.05,20.81,18.55
2034,16.13,14.36,18.16,13.01,13.04,9.04,13.22,16.05,19.47,20.95,15.01,15.86,20.21,20.49,11.84,10.95,18.79,17.11,17.05,10.16,12.26,19.76,19.92,13.03,20.72,18.54
2035,16.23,14.45,18.28,13.11,13.17,9.14,13.34,16.09,19.52,20.85,15.13,15.93,20.33,20.48,11.94,11.10,18.92,17.23,17.18,10.26,12.38,19.85,19.97,13.15,20.69,18.65
2036,16.21,14.42,18.25,13.08,13.15,9.13,13.33,16.09,19.56,21.06,15.08,15.91,20.30,20.54,11.90,11.07,18.89,17.18,17.16,10.26,12.33,19.84,19.97,13.14,20.76,18.65
2037,16.39,14.63,18.44,13.30,13.31,9.31,13.48,16.29,19.75,21.37,15.27,16.14,20.49,20.78,12.08,11.19,19.03,17.38,17.29,10.42,12.52,20.04,20.23,13.29,21.05,18.81
2038,16.48,14.71,18.50,13.35,13.41,9.41,13.58,16.40,19.81,21.15,15.34,16.19,20.53,20.81,12.19,11.33,19.14,17.47,17.42,10.55,12.59,20.06,20.26,13.39,21.08,18.84
2039,16.39,14.60,18.40,13.20,13.38,9.25,13.47,16.31,19.77,21.06,15.30,16.12,20.45,20.64,12.05,11.24,19.06,17.35,17.36,10.41,12.51,20.00,20.09,13.30,20.81,18.79
2040,16.32,14.59,18.36,13.20,13.25,9.22,13.39,16.34,19.69,21.35,15.18,16.15,20.41,20.73,11.99,11.14,18.94,17.25,17.24,10.34,12.49,19.95,20.17,13.20,21.04,18.73
2041,16.38,14.58,18.34,13.21,13.33,9.25,13.45,16.30,19.75,21.18,15.29,16.16,20.40,20.74,12.06,11.20,19.05,17.33,17.34,10.35,12.52,19.97,20.12,13.29,20.97,18.77
2042,16.49,14.65,18.52,13.31,13.42,9.38,13.59,16.33,19.85,21.39,15.34,16.13,20.58,20.90,12.16,11.35,19.17,17.44,17.45,10.52,12.56,20.11,20.27,13.39,21.10,18.92
2043,16.37,14.61,18.45,13.24,13.30,9.24,13.49,16.33,19.73,21.28,15.26,16.17,20.51,20.73,12.01,11.18,19.05,17.33,17.32,10.37,12.50,20.03,20.19,13.29,20.98,18.82
2044,16.44,14.65,18.44,13.29,13.40,9.30,13.50,16.37,19.80,21.32,15.37,16.15,20.50,20.81,12.13,11.29,19.11,17.42,17.39,10.40,12.52,20.04,20.23,13.35,21.08,18.82
2045,16.45,14.72,18.51,13.36,13.39,9.39,13.55,16.41,19.73,21.26,15.31,16.25,20.54,20.77,12.16,11.32,19.13,17.46,17.39,10.50,12.60,20.05,20.26,13.35,21.06,18.83
2046,16.54,14.72,18.46,13.33,13.44,9.37,13.53,16.47,19.80,21.55,15.36,16.28,20.51,20.82,12.22,11.40,19.32,17.61,17.55,10.46,12.66,20.07,20.26,13.36,21.15,18.86
2047,16.67,14.86,18.66,13.49,13.57,9.56,13.75,16.57,19.88,21.38,15.49,16.39,20.70,20.98,12.38,11.56,19.41,17.72,17.65,10.69,12.80,20.20,20.41,13.55,21.26,19.01
2048,16.81,15.11,18.86,13.69,13.73,9.68,13.91,16.89,20.22,21.87,15.69,16.69,20.92,21.25,12.43,11.64,19.43,17.76,17.69,10.82,12.99,20.50,20.69,13.73,21.55,19.27
2049,16.56,14.74,18.53,13.39,13.47,9.48,13.61,16.43,19.83,21.38,15.39,16.24,20.55,20.82,12.29,11.40,19.26,17.61,17.52,10.61,12.65,20.09,20.27,13.42,21.09,18.88
2050,16.56,14.82,18.59,13.47,13.49,9.52,13.64,16.51,19.91,21.41,15.45,16.34,20.63,20.91,12.28,11.40,19.19,17.53,17.47,10.62,12.70,20.18,20.35,13.45,21.18,18.95
2051,16.76,14.96,18.78,13.62,13.68,9.69,13.85,16.64,20.00,21.59,15.64,16.44,20.81,21.04,12.49,11.62,19.43,17.80,17.71,10.83,12.87,20.33,20.50,13.65,21.29,19.13
2052,16.81,15.07,18.83,13.70,13.69,9.70,13.85,16.78,20.12,21.64,15.67,16.61,20.88,21.15,12.51,11.59,19.51,17.85,17.73,10.80,13.03,20.41,20.62,13.67,21.46,19.18
2053,16.76,14.95,18.71,13.58,13.69,9.62,13.80,16.64,20.08,21.37,15.61,16.41,20.75,21.05,12.44,11.62,19.51,17.83,17.76,10.74,12.88,20.32,20.46,13.63,21.23,19.11
2054,16.68,14.92,18.69,13.53,13.59,9.55,13.75,16.66,20.03,21.64,15.55,16.48,20.73,21.03,12.35,11.46,19.36,17.69,17.61,10.68,12.80,20.28,20.48,13.57,21.34,19.06
2055,16.75,14.93,18.69,13.54,13.72,9.61,13.79,16.65,20.06,21.48,15.63,16.46,20.74,21.07,12.48,11.61,19.41,17.74,17.74,10.73,12.94,20.29,20.48,13.63,21.38,19.09
2056,16.90,15.16,18.89,13.77,13.80,9.80,13.93,16.87,20.15,21.88,15.72,16.67,20.93,21.23,12.64,11.73,19.61,17.94,17.84,10.90,13.07,20.44,20.67,13.73,21.49,19.22
2057,16.97,15.18,18.96,13.84,13.83,9.92,14.01,16.85,20.27,21.75,15.79,16.67,20.99,21.25,12.75,11.74,19.65,18.00,17.92,11.02,13.13,20.53,20.69,13.81,21.50,19.31
2058,16.90,15.13,18.90,13.75,13.84,9.78,13.95,16.83,20.20,21.62,15.78,16.67,20.95,21.19,12.60,11.73,19.58,17.91,17.87,10.90,13.07,20.48,20.66,13.77,21.47,19.26
2059,17.00,15.20,19.01,13.85,13.90,9.85,14.06,16.87,20.24,21.95,15.83,16.72,21.05,21.33,12.68,11.81,19.71,18.04,17.95,10.98,13.16,20.56,20.83,13.87,21.70,19.33
