Variable:,tasmin
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
2015,6.89,8.46,8.79,8.69,6.00,8.70,8.10,9.27,5.92,5.48,5.70,5.98,6.03,6.06,5.79,6.39,6.06,7.31,7.28,7.80,8.56,5.03,4.88,6.34,6.41,8.02,5.97,6.30,5.69
2016,6.85,8.39,8.72,8.74,5.93,8.62,8.00,9.18,5.98,5.45,5.70,5.89,6.11,6.05,5.70,6.32,6.01,7.26,7.25,7.69,8.38,5.00,4.84,6.25,6.34,7.99,5.91,6.18,5.71
2017,7.00,8.49,8.92,8.90,6.09,8.87,8.18,9.48,6.03,5.63,5.81,6.09,6.15,6.18,5.94,6.53,6.15,7.48,7.43,7.87,8.62,5.11,4.93,6.43,6.54,8.21,6.03,6.27,5.82
2018,6.74,8.31,8.73,8.66,5.82,8.67,7.99,9.27,5.79,5.26,5.59,5.79,5.91,5.84,5.61,6.25,5.91,7.21,7.15,7.67,8.43,4.83,4.65,6.17,6.27,7.96,5.81,6.15,5.57
2019,6.44,8.00,8.42,8.32,5.51,8.34,7.72,8.93,5.54,5.03,5.23,5.54,5.66,5.55,5.37,5.92,5.53,6.87,6.83,7.40,8.05,4.59,4.42,5.87,5.94,7.61,5.42,5.76,5.23
2020,7.00,8.45,9.05,8.98,6.00,8.77,8.26,9.31,6.04,5.53,5.85,5.99,6.16,6.10,5.81,6.54,6.15,7.53,7.48,7.93,8.46,5.07,4.87,6.33,6.56,8.30,6.00,6.34,5.84
2021,7.29,8.63,9.17,9.19,6.32,9.10,8.58,9.64,6.18,5.88,6.11,6.30,6.29,6.44,6.16,6.88,6.43,7.78,7.78,8.26,8.78,5.33,5.13,6.68,6.90,8.47,6.26,6.58,6.12
2022,7.08,8.53,8.96,9.03,6.21,8.94,8.34,9.49,6.06,5.61,5.86,6.15,6.18,6.12,6.01,6.60,6.23,7.61,7.56,8.04,8.67,5.18,5.01,6.58,6.62,8.36,6.13,6.34,5.85
2023,7.19,8.77,9.09,9.09,6.32,9.06,8.39,9.66,6.29,5.75,6.01,6.27,6.41,6.30,6.11,6.73,6.37,7.68,7.63,8.09,8.83,5.32,5.15,6.68,6.75,8.41,6.27,6.55,5.99
2024,7.18,8.74,9.10,9.01,6.32,9.07,8.41,9.66,6.24,5.75,5.98,6.28,6.37,6.28,6.13,6.65,6.28,7.60,7.60,8.11,8.82,5.29,5.10,6.70,6.67,8.33,6.20,6.55,5.97
2025,7.38,8.95,9.22,9.19,6.55,9.25,8.59,9.88,6.53,5.93,6.25,6.45,6.65,6.50,6.29,6.90,6.56,7.80,7.76,8.30,9.05,5.53,5.36,6.92,6.92,8.49,6.48,6.81,6.22
2026,7.32,8.86,9.46,9.30,6.48,9.29,8.73,9.84,6.31,5.83,5.92,6.42,6.43,6.30,6.29,6.89,6.50,7.89,7.79,8.41,8.93,5.39,5.22,6.88,6.91,8.65,6.40,6.45,5.92
2027,7.24,8.73,9.22,9.12,6.38,9.13,8.54,9.66,6.29,5.77,6.11,6.26,6.41,6.35,6.12,6.76,6.40,7.74,7.68,8.23,8.84,5.30,5.10,6.76,6.78,8.48,6.30,6.63,6.09
2028,7.30,8.93,9.26,9.17,6.44,9.30,8.56,9.91,6.39,5.90,6.16,6.47,6.50,6.38,6.32,6.78,6.40,7.73,7.65,8.25,9.00,5.48,5.30,6.83,6.80,8.46,6.31,6.68,6.14
2029,7.26,8.71,9.21,9.11,6.41,9.21,8.57,9.81,6.20,5.75,5.93,6.30,6.32,6.27,6.17,6.83,6.46,7.73,7.72,8.26,8.90,5.30,5.13,6.79,6.85,8.43,6.35,6.43,5.93
