Variable:,tas
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
2015,18.51,18.54,26.23,18.25,11.32,16.44,21.37,12.11,12.44,18.67,26.28,24.39,19.81,25.71,23.63,13.64,16.43,18.88,13.06,13.89,19.88,24.40,17.39,11.95,17.53,11.24,11.22,16.89,12.28,14.70
2016,18.46,18.61,26.25,18.38,11.44,16.48,21.37,12.06,12.30,18.59,26.28,24.49,19.75,25.82,23.71,13.58,16.44,19.04,13.01,13.76,19.79,24.24,17.25,12.03,17.49,11.13,11.23,16.83,12.11,14.58
2017,18.54,18.59,26.32,18.38,11.47,16.53,21.40,12.14,12.43,18.67,26.31,24.52,19.84,25.85,23.72,13.70,16.46,18.94,13.06,14.01,20.01,24.31,17.39,12.12,17.55,11.24,11.30,16.98,12.36,14.70
2018,18.45,18.45,26.15,18.15,11.25,16.42,21.23,11.97,12.30,18.65,26.24,24.34,19.84,25.64,23.52,13.49,16.26,18.83,12.98,13.78,19.86,24.33,17.32,11.93,17.54,11.10,11.06,16.71,12.22,14.68
2019,18.51,18.58,26.38,18.27,11.39,16.47,21.39,12.10,12.39,18.64,26.43,24.48,19.86,25.79,23.68,13.65,16.45,18.91,13.06,13.80,19.91,24.40,17.39,12.09,17.50,11.21,11.25,16.85,12.25,14.70
2020,18.72,18.74,26.47,18.51,11.73,16.73,21.58,12.32,12.75,18.88,26.37,24.61,20.07,26.00,23.87,13.87,16.60,19.14,13.38,14.05,20.13,24.42,17.58,12.31,17.83,11.51,11.54,16.99,12.57,15.00
2021,18.77,18.63,26.42,18.49,11.81,16.74,21.61,12.41,12.54,18.99,26.50,24.57,20.12,25.93,23.80,13.77,16.69,19.06,13.28,14.09,20.09,24.59,17.62,12.35,17.84,11.40,11.58,17.08,12.45,14.91
2022,18.81,18.85,26.55,18.58,11.63,16.85,21.66,12.38,12.79,19.02,26.56,24.72,20.08,26.05,23.94,13.92,16.71,19.23,13.50,14.29,20.31,24.52,17.80,12.32,17.81,11.54,11.45,17.12,12.65,15.13
2023,18.67,18.75,26.51,18.62,11.56,16.69,21.63,12.11,12.63,18.83,26.48,24.69,20.01,26.05,23.98,13.75,16.45,19.04,13.31,13.97,20.03,24.48,17.53,12.25,17.71,11.33,11.26,16.95,12.44,14.89
2024,18.96,18.97,26.64,18.79,11.68,16.99,21.81,12.34,12.85,19.16,26.64,24.86,20.38,26.22,24.07,14.03,16.73,19.36,13.60,14.21,20.35,24.76,17.72,12.41,18.19,11.57,11.45,17.28,12.64,15.16
2025,19.00,19.03,26.64,18.88,11.99,17.05,21.89,12.69,12.96,19.08,26.69,24.88,20.31,26.28,24.18,14.11,16.97,19.46,13.62,14.33,20.36,24.75,17.88,12.60,18.07,11.88,11.84,17.34,12.84,15.22
2026,18.95,19.03,26.73,18.85,11.91,16.99,21.81,12.52,12.89,19.10,26.64,24.94,20.23,26.28,24.18,14.09,16.78,19.44,13.57,14.27,20.40,24.70,17.81,12.61,18.03,11.67,11.62,17.28,12.72,15.22
2027,19.09,19.16,26.69,18.90,11.98,17.11,21.82,12.75,13.07,19.23,26.80,25.00,20.34,26.27,24.14,14.29,17.04,19.52,13.81,14.67,20.70,24.78,18.15,12.62,18.10,11.89,11.92,17.62,13.01,15.40
2028,19.20,19.20,26.78,19.00,11.98,17.28,22.00,12.74,13.12,19.40,26.85,25.08,20.54,26.43,24.31,14.30,17.05,19.61,13.87,14.59,20.73,24.93,18.10,12.66,18.35,11.89,11.87,17.57,13.02,15.52
2029,18.96,18.97,26.61,18.86,11.92,16.97,21.71,12.61,12.88,19.20,26.55,24.85,20.18,26.30,24.21,14.10,16.94,19.33,13.60,14.38,20.41,24.69,17.79,12.53,17.93,11.77,11.70,17.36,12.82,15.15
2030,19.07,19.18,26.71,18.70,11.93,16.93,21.90,12.61,13.00,19.30,26.77,24.93,20.50,26.18,24.06,14.31,16.92,19.41,13.56,14.36,20.45,24.85,17.81,12.71,18.11,11.83,11.69,17.53,12.84,15.10
2031,19.29,19.32,26.96,19.00,12.10,17.33,22.03,12.82,13.15,19.55,26.89,25.17,20.63,26.49,24.37,14.36,17.11,19.65,13.88,14.66,20.78,25.06,18.22,12.70,18.43,12.03,11.95,17.64,13.06,15.57
2032,19.06,19.15,26.71,18.88,11.92,17.14,21.85,12.55,12.91,19.28,26.66,24.94,20.32,26.27,24.18,14.22,16.96,19.44,13.64,14.56,20.58,24.75,17.96,12.62,18.21,11.77,11.70,17.39,12.77,15.30
2033,19.20,19.28,26.93,19.02,12.09,17.21,22.08,12.70,13.15,19.35,26.93,25.23,20.53,26.53,24.36,14.35,16.95,19.63,13.78,14.57,20.73,25.02,18.12,12.77,18.35,11.89,11.79,17.46,12.92,15.36
2034,19.07,18.99,26.85,18.80,11.88,17.16,21.95,12.69,12.91,19.24,26.82,24.93,20.36,26.28,24.21,14.05,17.02,19.35,13.64,14.47,20.60,24.84,18.02,12.51,18.17,11.74,11.79,17.41,12.88,15.39
2035,19.39,19.52,27.10,19.32,12.36,17.48,22.25,13.10,13.54,19.42,27.08,25.30,20.66,26.71,24.61,14.60,17.34,19.97,14.21,14.97,20.81,25.08,18.56,12.92,18.45,12.27,12.14,17.80,13.42,15.87
2036,19.31,19.34,26.87,18.97,12.25,17.29,22.02,13.09,13.28,19.51,26.89,25.18,20.55,26.41,24.31,14.40,17.34,19.65,13.99,14.87,20.93,24.99,18.35,12.80,18.38,12.19,12.16,17.80,13.29,15.60
2037,19.39,19.52,27.10,19.22,12.12,17.51,22.25,12.89,13.30,19.59,27.03,25.42,20.73,26.71,24.53,14.53,17.20,19.89,14.02,14.72,20.86,25.12,18.23,12.83,18.57,12.03,11.95,17.71,13.10,15.65
2038,19.30,19.32,26.98,19.02,12.18,17.28,22.16,12.83,13.13,19.50,27.06,25.29,20.69,26.58,24.41,14.35,17.13,19.70,13.78,14.55,20.69,25.09,18.00,12.80,18.42,11.90,12.07,17.59,12.94,15.40
2039,19.35,19.25,26.98,19.09,12.07,17.36,22.20,12.83,13.17,19.62,27.10,25.14,20.69,26.47,24.37,14.28,17.19,19.65,13.89,14.63,20.78,25.14,18.17,12.74,18.53,11.95,11.88,17.71,13.05,15.52
2040,19.20,19.49,27.26,19.24,12.30,17.28,22.28,12.76,13.33,19.18,27.03,25.41,20.56,26.75,24.63,14.54,16.92,19.89,13.95,14.37,20.41,24.99,17.96,12.95,18.30,12.10,12.00,17.39,13.05,15.46
2041,19.29,19.43,26.96,19.16,12.18,17.28,22.21,12.86,13.33,19.42,26.97,25.34,20.64,26.65,24.46,14.51,17.10,19.87,13.98,14.61,20.64,25.02,18.13,12.87,18.37,12.02,12.00,17.57,13.13,15.54
2042,19.50,19.43,27.13,19.28,12.26,17.54,22.42,12.89,13.30,19.71,27.26,25.28,20.91,26.67,24.64,14.50,17.07,19.79,14.06,14.89,20.96,25.40,18.43,12.93,18.63,12.07,11.99,17.88,13.18,15.77
2043,19.33,19.43,27.05,19.19,12.14,17.41,22.21,12.87,13.18,19.43,27.16,25.35,20.69,26.66,24.54,14.42,17.13,19.80,13.89,14.69,20.77,25.17,18.19,12.77,18.49,11.93,11.94,17.63,13.04,15.58
2044,19.44,19.46,27.05,19.18,12.37,17.38,22.27,13.12,13.28,19.60,27.16,25.42,20.79,26.66,24.48,14.51,17.43,19.77,13.99,14.83,20.80,25.23,18.34,12.94,18.54,12.21,12.26,17.85,13.31,15.62
2045,19.47,19.51,27.29,19.33,12.51,17.51,22.41,13.07,13.34,19.68,27.19,25.49,20.81,26.85,24.75,14.56,17.20,19.91,14.02,14.77,20.84,25.15,18.30,13.05,18.66,12.20,12.28,17.70,13.22,15.61
2046,19.66,19.79,27.30,19.43,12.72,17.65,22.42,13.31,13.67,19.75,27.28,25.65,21.06,26.92,24.74,14.91,17.56,20.11,14.37,15.05,21.06,25.40,18.70,13.34,18.82,12.57,12.51,17.92,13.54,16.01
2047,19.47,19.63,27.16,19.33,12.26,17.47,22.30,12.90,13.47,19.68,27.15,25.53,20.86,26.83,24.68,14.65,17.23,20.01,14.09,14.68,20.86,25.30,18.27,12.97,18.53,12.15,12.04,17.66,13.17,15.69
2048,19.55,19.57,27.20,19.37,12.39,17.60,22.43,13.09,13.50,19.76,27.25,25.50,20.85,26.74,24.66,14.68,17.43,19.92,14.16,14.95,21.05,25.25,18.49,12.99,18.64,12.33,12.21,17.90,13.30,15.78
