Variable:,tasmin
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
2015,5.91,6.75,5.82,5.55,8.43,6.65,5.91,6.70,8.23,6.09,7.56,6.61,6.34,6.50,5.55,4.72,6.69,8.50,5.55,6.62,6.70,7.17,5.20,6.67,8.43,6.70,5.90,5.89,6.70,5.57,6.70
2016,5.66,6.40,5.51,5.24,8.19,6.34,5.61,6.35,7.98,5.76,7.30,6.33,6.14,6.30,5.24,4.58,6.34,8.26,5.24,6.33,6.35,6.90,4.95,6.32,8.19,6.35,5.58,5.71,6.35,5.26,6.35
2017,5.78,6.48,5.68,5.39,8.38,6.44,5.77,6.43,8.17,5.88,7.48,6.44,6.29,6.46,5.39,4.64,6.42,8.45,5.39,6.44,6.43,7.08,5.07,6.40,8.38,6.43,5.70,5.82,6.43,5.41,6.43
2018,5.78,6.51,5.70,5.40,8.56,6.44,5.80,6.46,8.34,5.90,7.61,6.43,6.23,6.39,5.40,4.69,6.45,8.62,5.40,6.43,6.46,7.17,5.09,6.43,8.56,6.46,5.72,5.86,6.46,5.42,6.46
2019,5.94,6.70,5.82,5.56,8.59,6.62,5.94,6.65,8.37,6.07,7.68,6.60,6.37,6.53,5.56,4.81,6.64,8.64,5.56,6.60,6.65,7.21,5.24,6.62,8.59,6.65,5.89,5.99,6.65,5.58,6.65
2020,5.97,6.73,5.85,5.57,8.61,6.66,5.95,6.68,8.39,6.09,7.69,6.64,6.42,6.58,5.57,4.89,6.67,8.67,5.57,6.64,6.68,7.26,5.28,6.65,8.61,6.68,5.91,6.04,6.68,5.59,6.68
2021,6.11,6.93,5.97,5.69,8.68,6.84,6.07,6.88,8.47,6.25,7.78,6.81,6.56,6.72,5.69,4.99,6.87,8.74,5.69,6.82,6.88,7.37,5.39,6.85,8.68,6.88,6.05,6.13,6.88,5.71,6.88
2022,6.44,7.26,6.29,6.04,9.00,7.17,6.41,7.21,8.79,6.59,8.11,7.14,6.89,7.05,6.04,5.33,7.20,9.06,6.04,7.15,7.21,7.66,5.73,7.18,9.00,7.21,6.39,6.48,7.21,6.06,7.21
2023,5.90,6.72,5.84,5.51,8.61,6.63,5.90,6.67,8.39,6.06,7.68,6.61,6.35,6.52,5.51,4.72,6.66,8.67,5.51,6.61,6.67,7.30,5.17,6.64,8.61,6.67,5.86,5.94,6.67,5.53,6.67
2024,6.15,6.95,6.12,5.86,8.83,6.86,6.23,6.90,8.62,6.35,7.93,6.83,6.57,6.73,5.86,4.98,6.89,8.89,5.86,6.83,6.90,7.50,5.49,6.87,8.83,6.90,6.17,6.22,6.90,5.88,6.90
2025,6.34,7.12,6.18,5.91,8.82,7.05,6.28,7.07,8.61,6.46,7.94,7.04,6.82,6.99,5.91,5.20,7.06,8.88,5.91,7.04,7.07,7.54,5.60,7.04,8.82,7.07,6.26,6.33,7.07,5.93,7.07
2026,6.38,7.14,6.25,5.98,8.92,7.07,6.35,7.09,8.71,6.50,8.03,7.05,6.83,6.99,5.98,5.28,7.08,8.99,5.98,7.05,7.09,7.63,5.68,7.06,8.92,7.09,6.32,6.40,7.09,6.00,7.09
2027,6.21,7.07,6.18,5.93,8.87,6.95,6.30,7.02,8.66,6.44,7.98,6.90,6.59,6.75,5.93,5.04,7.01,8.93,5.93,6.91,7.02,7.54,5.56,6.99,8.87,7.02,6.25,6.28,7.02,5.95,7.02
2028,6.47,7.23,6.29,6.03,8.93,7.16,6.39,7.18,8.72,6.57,8.06,7.15,6.94,7.10,6.03,5.35,7.17,8.99,6.03,7.15,7.18,7.65,5.73,7.15,8.93,7.18,6.38,6.46,7.18,6.05,7.18
2029,6.41,7.07,6.26,6.03,8.92,7.03,6.39,7.02,8.71,6.50,8.05,7.04,6.91,7.07,6.03,5.34,7.01,8.98,6.03,7.04,7.02,7.60,5.73,6.99,8.92,7.02,6.33,6.47,7.02,6.05,7.02
2030,6.33,7.07,6.19,5.96,8.85,7.00,6.32,7.02,8.64,6.46,7.98,6.99,6.78,6.94,5.96,5.25,7.01,8.91,5.96,6.99,7.02,7.54,5.66,6.99,8.85,7.02,6.28,6.36,7.02,5.98,7.02
2031,6.38,7.09,6.20,5.95,8.77,7.05,6.30,7.04,8.57,6.46,7.92,7.06,6.91,7.08,5.95,5.28,7.03,8.83,5.95,7.06,7.04,7.51,5.66,7.01,8.77,7.04,6.28,6.35,7.04,5.97,7.04
2032,6.68,7.43,6.48,6.25,9.12,7.35,6.61,7.37,8.92,6.78,8.25,7.34,7.14,7.30,6.25,5.57,7.36,9.17,6.25,7.34,7.37,7.81,5.95,7.34,9.12,7.37,6.59,6.66,7.37,6.27,7.37
2033,6.31,7.12,6.17,5.92,8.93,7.04,6.30,7.07,8.72,6.46,8.02,7.02,6.79,6.96,5.92,5.09,7.06,8.98,5.92,7.03,7.07,7.55,5.56,7.04,8.93,7.07,6.27,6.31,7.07,5.94,7.07
2034,6.52,7.25,6.42,6.17,9.10,7.18,6.54,7.20,8.89,6.65,8.22,7.16,6.96,7.11,6.17,5.44,7.19,9.16,6.17,7.16,7.20,7.78,5.86,7.17,9.10,7.20,6.48,6.57,7.20,6.19,7.20
2035,6.52,7.23,6.31,6.04,9.14,7.18,6.43,7.18,8.92,6.58,8.21,7.17,7.01,7.16,6.04,5.48,7.17,9.20,6.04,7.17,7.18,7.75,5.79,7.15,9.14,7.18,6.39,6.58,7.18,6.06,7.18
2036,6.49,7.27,6.38,6.10,9.06,7.18,6.47,7.21,8.85,6.62,8.17,7.16,6.94,7.10,6.10,5.34,7.20,9.13,6.10,7.17,7.21,7.78,5.77,7.18,9.06,7.21,6.43,6.52,7.21,6.12,7.21
2037,6.61,7.40,6.47,6.17,9.16,7.32,6.55,7.35,8.95,6.73,8.26,7.29,7.06,7.22,6.17,5.46,7.34,9.22,6.17,7.30,7.35,7.88,5.86,7.32,9.16,7.35,6.53,6.61,7.35,6.19,7.35
2038,6.82,7.54,6.63,6.37,9.31,7.48,6.74,7.49,9.10,6.90,8.42,7.47,7.29,7.45,6.37,5.72,7.48,9.37,6.37,7.47,7.49,8.00,6.09,7.46,9.31,7.49,6.71,6.81,7.49,6.39,7.49
2039,6.71,7.48,6.56,6.27,9.17,7.41,6.63,7.43,8.96,6.82,8.30,7.40,7.20,7.36,6.27,5.63,7.42,9.24,6.27,7.40,7.43,7.93,5.99,7.40,9.17,7.43,6.62,6.73,7.43,6.29,7.43
2040,6.61,7.35,6.49,6.22,9.19,7.28,6.59,7.30,8.98,6.73,8.29,7.27,7.07,7.23,6.22,5.48,7.29,9.26,6.22,7.27,7.30,7.88,5.90,7.27,9.19,7.30,6.55,6.65,7.30,6.24,7.30
2041,6.51,7.27,6.35,6.08,9.07,7.21,6.46,7.22,8.86,6.62,8.17,7.21,7.02,7.19,6.08,5.36,7.21,9.13,6.08,7.21,7.22,7.75,5.77,7.19,9.07,7.22,6.43,6.51,7.22,6.10,7.22
2042,6.74,7.44,6.60,6.31,9.31,7.39,6.69,7.39,9.10,6.82,8.41,7.39,7.24,7.40,6.31,5.66,7.38,9.36,6.31,7.39,7.39,7.99,6.03,7.36,9.31,7.39,6.64,6.77,7.39,6.33,7.39
2043,6.68,7.40,6.57,6.28,9.27,7.35,6.66,7.35,9.06,6.78,8.37,7.34,7.17,7.33,6.28,5.57,7.34,9.34,6.28,7.34,7.35,7.98,5.97,7.32,9.27,7.35,6.60,6.72,7.35,6.30,7.35
2044,6.66,7.40,6.50,6.21,9.21,7.33,6.59,7.35,9.00,6.75,8.31,7.32,7.12,7.28,6.21,5.57,7.34,9.27,6.21,7.32,7.35,7.90,5.93,7.32,9.21,7.35,6.56,6.69,7.35,6.23,7.35
2045,6.91,7.73,6.80,6.51,9.49,7.64,6.88,7.68,9.28,7.06,8.59,7.61,7.35,7.51,6.51,5.77,7.67,9.55,6.51,7.61,7.68,8.19,6.19,7.65,9.49,7.68,6.86,6.93,7.68,6.53,7.68
2046,6.90,7.67,6.70,6.48,9.36,7.60,6.84,7.62,9.16,7.02,8.49,7.59,7.38,7.55,6.48,5.74,7.61,9.42,6.48,7.59,7.62,8.03,6.16,7.59,9.36,7.62,6.83,6.86,7.62,6.50,7.62
2047,6.94,7.68,6.81,6.52,9.45,7.62,6.89,7.63,9.24,7.04,8.57,7.62,7.43,7.60,6.52,5.81,7.62,9.51,6.52,7.62,7.63,8.19,6.21,7.60,9.45,7.63,6.86,6.94,7.63,6.54,7.63
2048,7.16,7.96,7.06,6.79,9.78,7.87,7.17,7.91,9.57,7.32,8.88,7.85,7.60,7.76,6.79,6.00,7.90,9.84,6.79,7.85,7.91,8.46,6.45,7.88,9.78,7.91,7.13,7.20,7.91,6.81,7.91
2049,6.87,7.66,6.71,6.42,9.54,7.58,6.81,7.61,9.32,6.98,8.60,7.56,7.34,7.50,6.42,5.76,7.60,9.60,6.42,7.57,7.61,8.15,6.13,7.58,9.54,7.61,6.78,6.91,7.61,6.44,7.61
2050,7.08,7.83,6.87,6.59,9.52,7.78,6.96,7.78,9.31,7.15,8.64,7.77,7.59,7.76,6.59,5.97,7.77,9.59,6.59,7.77,7.78,8.25,6.32,7.75,9.52,7.78,6.95,7.08,7.78,6.61,7.78
2051,6.90,7.72,6.74,6.47,9.57,7.64,6.86,7.67,9.35,7.03,8.64,7.62,7.39,7.56,6.47,5.70,7.66,9.63,6.47,7.63,7.67,8.18,6.14,7.64,9.57,7.67,6.83,6.91,7.67,6.49,7.67
2052,7.16,7.91,7.03,6.77,9.81,7.84,7.15,7.86,9.59,7.28,8.89,7.83,7.62,7.78,6.77,6.04,7.85,9.85,6.77,7.83,7.86,8.42,6.46,7.83,9.81,7.86,7.10,7.21,7.86,6.79,7.86
2053,7.31,8.00,7.05,6.82,9.73,7.96,7.19,7.95,9.52,7.35,8.85,7.96,7.82,7.98,6.82,6.22,7.94,9.78,6.82,7.96,7.95,8.39,6.55,7.92,9.73,7.95,7.17,7.27,7.95,6.84,7.95
2054,6.85,7.62,6.80,6.48,9.55,7.54,6.87,7.57,9.33,6.99,8.62,7.52,7.30,7.46,6.48,5.70,7.56,9.60,6.48,7.53,7.57,8.22,6.15,7.54,9.55,7.57,6.81,6.91,7.57,6.50,7.57
2055,7.17,7.79,7.07,6.76,9.79,7.77,7.14,7.73,9.57,7.22,8.88,7.79,7.71,7.88,6.76,6.02,7.72,9.85,6.76,7.79,7.73,8.49,6.44,7.70,9.79,7.73,7.05,7.19,7.73,6.78,7.73
2056,7.08,7.76,6.90,6.61,9.69,7.71,7.00,7.70,9.47,7.12,8.76,7.72,7.58,7.74,6.61,6.01,7.69,9.74,6.61,7.72,7.70,8.33,6.35,7.67,9.69,7.70,6.94,7.12,7.70,6.63,7.70
2057,7.02,7.82,6.98,6.70,9.52,7.72,7.05,7.77,9.32,7.20,8.67,7.69,7.42,7.58,6.70,5.89,7.76,9.60,6.70,7.69,7.77,8.34,6.36,7.74,9.52,7.77,7.02,7.07,7.77,6.72,7.77
2058,7.22,8.14,7.21,6.88,9.80,8.01,7.25,8.09,9.59,7.45,8.92,7.94,7.58,7.74,6.88,6.03,8.08,9.87,6.88,7.95,8.09,8.60,6.52,8.06,9.80,8.09,7.24,7.23,8.09,6.90,8.09
2059,7.30,8.05,7.15,6.87,9.87,7.98,7.25,8.00,9.66,7.40,8.97,7.96,7.75,7.90,6.87,6.24,7.99,9.93,6.87,7.96,8.00,8.54,6.60,7.97,9.87,8.00,7.21,7.34,8.00,6.89,8.00
2060,7.25,8.05,7.16,6.92,9.91,7.95,7.30,8.00,9.70,7.43,9.01,7.91,7.64,7.80,6.92,6.10,7.99,9.96,6.92,7.92,8.00,8.54,6.57,7.97,9.91,8.00,7.24,7.29,8.00,6.94,8.00
2061,7.27,8.11,7.13,6.85,9.95,8.03,7.24,8.06,9.73,7.42,9.02,8.00,7.76,7.93,6.85,6.07,8.05,10.00,6.85,8.01,8.06,8.55,6.51,8.03,9.95,8.06,7.22,7.33,8.06,6.87,8.06
2062,7.36,8.14,7.26,6.99,9.94,8.06,7.36,8.09,9.73,7.51,9.05,8.04,7.81,7.98,6.99,6.19,8.08,9.98,6.99,8.05,8.09,8.61,6.65,8.06,9.94,8.09,7.32,7.39,8.09,7.01,8.09
2063,7.41,8.18,7.24,6.98,9.98,8.10,7.36,8.13,9.77,7.52,9.08,8.08,7.86,8.02,6.98,6.32,8.12,10.04,6.98,8.09,8.13,8.64,6.70,8.10,9.98,8.13,7.33,7.46,8.13,7.00,8.13
2064,7.41,8.20,7.21,6.96,9.94,8.13,7.33,8.15,9.73,7.52,9.04,8.12,7.91,8.07,6.96,6.29,8.14,9.99,6.96,8.12,8.15,8.59,6.67,8.12,9.94,8.15,7.32,7.42,8.15,6.98,8.15
2065,7.54,8.27,7.33,7.09,10.14,8.21,7.47,8.21,9.92,7.62,9.22,8.20,8.03,8.19,7.09,6.44,8.20,10.20,7.09,8.20,8.21,8.73,6.81,8.18,10.14,8.21,7.43,7.55,8.21,7.11,8.21
2066,7.51,8.28,7.43,7.19,10.19,8.20,7.57,8.23,9.98,7.68,9.29,8.18,7.95,8.11,7.19,6.39,8.22,10.23,7.19,8.18,8.23,8.79,6.85,8.20,10.19,8.23,7.50,7.59,8.23,7.21,8.23
2067,7.50,8.23,7.38,7.11,10.07,8.17,7.48,8.18,9.86,7.61,9.18,8.16,7.98,8.14,7.11,6.39,8.17,10.13,7.11,8.16,8.18,8.77,6.80,8.15,10.07,8.18,7.43,7.53,8.18,7.13,8.18
2068,7.54,8.30,7.37,7.14,10.00,8.22,7.50,8.25,9.80,7.66,9.14,8.20,7.98,8.13,7.14,6.49,8.24,10.07,7.14,8.20,8.25,8.72,6.86,8.22,10.00,8.25,7.48,7.56,8.25,7.16,8.25
2069,7.54,8.25,7.36,7.13,10.15,8.19,7.51,8.20,9.94,7.63,9.24,8.18,8.00,8.15,7.13,6.47,8.19,10.22,7.13,8.18,8.20,8.77,6.85,8.17,10.15,8.20,7.45,7.59,8.20,7.15,8.20
2070,7.32,8.11,7.19,6.94,9.91,8.03,7.31,8.06,9.70,7.47,9.01,8.01,7.77,7.94,6.94,6.14,8.05,9.98,6.94,8.01,8.06,8.58,6.60,8.03,9.91,8.06,7.28,7.32,8.06,6.96,8.06
2071,7.61,8.41,7.53,7.27,10.24,8.32,7.64,8.36,10.03,7.78,9.34,8.29,8.04,8.20,7.27,6.48,8.35,10.30,7.27,8.30,8.36,8.91,6.93,8.33,10.24,8.36,7.60,7.67,8.36,7.29,8.36
2072,7.71,8.42,7.52,7.28,10.16,8.37,7.64,8.37,9.96,7.79,9.29,8.37,8.21,8.37,7.28,6.63,8.36,10.23,7.28,8.37,8.37,8.87,7.00,8.34,10.16,8.37,7.61,7.70,8.37,7.30,8.37
2073,7.53,8.26,7.39,7.16,10.16,8.20,7.54,8.21,9.95,7.65,9.26,8.19,8.00,8.16,7.16,6.42,8.20,10.21,7.16,8.19,8.21,8.76,6.84,8.18,10.16,8.21,7.48,7.62,8.21,7.18,8.21
2074,7.27,8.02,7.14,6.85,9.87,7.94,7.23,7.97,9.66,7.38,8.96,7.92,7.70,7.85,6.85,6.20,7.96,9.93,6.85,7.92,7.97,8.55,6.57,7.94,9.87,7.97,7.19,7.33,7.97,6.87,7.97
2075,7.47,8.32,7.35,7.03,10.00,8.22,7.40,8.26,9.79,7.61,9.10,8.20,7.94,8.11,7.03,6.24,8.25,10.06,7.03,8.20,8.26,8.74,6.69,8.23,10.00,8.26,7.40,7.42,8.26,7.05,8.26
2076,7.54,8.24,7.32,7.08,9.98,8.19,7.44,8.19,9.77,7.60,9.11,8.18,8.01,8.17,7.08,6.47,8.18,10.03,7.08,8.18,8.19,8.66,6.81,8.16,9.98,8.19,7.42,7.55,8.19,7.10,8.19
2077,7.57,8.32,7.34,7.10,10.01,8.26,7.47,8.27,9.80,7.65,9.13,8.26,8.07,8.24,7.10,6.44,8.26,10.07,7.10,8.26,8.27,8.69,6.81,8.24,10.01,8.27,7.46,7.53,8.27,7.12,8.27
2078,7.49,8.27,7.48,7.17,10.19,8.18,7.55,8.22,9.98,7.66,9.28,8.16,7.91,8.07,7.17,6.31,8.21,10.25,7.17,8.16,8.22,8.90,6.81,8.19,10.19,8.22,7.48,7.56,8.22,7.19,8.22
2079,7.71,8.47,7.61,7.33,10.43,8.39,7.72,8.42,10.21,7.84,9.50,8.36,8.13,8.28,7.33,6.64,8.41,10.48,7.33,8.36,8.42,9.04,7.03,8.39,10.43,8.42,7.66,7.81,8.42,7.35,8.42
