Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
2015,19.98,18.54,17.28,7.81,15.75,12.62,19.10,10.42,11.20,11.83,13.48,18.56,12.38,17.64,21.53,17.18,26.34,21.29,16.30,14.35,22.46,7.84,18.44,17.53,23.26,24.65
2016,19.95,18.47,17.23,7.82,15.71,12.59,19.07,10.43,11.13,11.86,13.46,18.54,12.39,17.61,21.55,17.21,26.29,21.23,16.25,14.36,22.47,7.80,18.40,17.40,23.22,24.64
2017,19.97,18.47,17.25,7.80,15.77,12.62,19.08,10.41,11.20,11.86,13.48,18.67,12.39,17.64,21.56,17.25,26.33,21.22,16.32,14.37,22.53,7.81,18.44,17.53,23.28,24.61
2018,20.08,18.65,17.38,7.95,15.84,12.73,19.30,10.58,11.32,11.96,13.61,18.66,12.54,17.77,21.73,17.31,26.42,21.31,16.40,14.52,22.63,7.97,18.55,17.62,23.32,24.70
2019,20.23,18.79,17.58,8.04,16.03,12.88,19.42,10.69,11.38,12.10,13.74,18.91,12.61,17.95,21.89,17.53,26.61,21.45,16.56,14.62,22.75,8.08,18.74,17.77,23.52,24.89
2020,20.22,18.72,17.55,8.11,15.99,12.87,19.35,10.69,11.48,12.07,13.77,18.79,12.68,17.90,21.80,17.46,26.54,21.48,16.51,14.67,22.72,8.11,18.74,17.73,23.50,24.94
2021,20.22,18.71,17.44,8.09,15.92,12.81,19.27,10.75,11.44,12.08,13.74,18.73,12.62,17.81,21.63,17.40,26.59,21.49,16.47,14.64,22.60,8.14,18.65,17.62,23.39,24.90
2022,20.20,18.75,17.47,8.00,15.94,12.81,19.33,10.67,11.36,12.07,13.70,18.77,12.60,17.86,21.70,17.42,26.56,21.43,16.49,14.59,22.69,8.06,18.64,17.72,23.46,24.89
2023,20.26,18.79,17.56,8.12,16.00,12.91,19.39,10.69,11.46,12.18,13.73,18.84,12.64,17.92,21.88,17.50,26.62,21.50,16.56,14.61,22.78,8.11,18.73,17.75,23.58,24.88
2024,20.46,18.90,17.77,8.25,16.25,13.09,19.54,10.86,11.62,12.31,13.96,19.06,12.86,18.14,22.06,17.77,26.85,21.72,16.81,14.83,22.94,8.27,18.90,18.00,23.70,25.14
