Variable:,tasmin
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2015,14.00,10.27,11.90,16.82,21.07,18.97,10.09,12.01,21.42,11.27,12.06,10.34,21.45,8.63,15.93,13.51,18.51,16.56,18.73,12.67,17.27,12.42,9.60,20.84,10.29,20.18,16.02,19.23,16.06,10.14,15.39,20.88,9.76
2016,14.00,10.25,12.05,16.84,21.14,18.99,10.02,12.06,21.46,11.26,12.04,10.31,21.45,8.67,15.94,13.52,18.52,16.61,18.79,12.66,17.27,12.47,9.64,20.85,10.34,20.16,16.00,19.29,15.98,10.18,15.40,20.88,9.83
2017,14.01,10.25,12.09,16.90,21.17,18.99,9.99,12.13,21.44,11.33,12.04,10.26,21.42,8.73,15.92,13.55,18.47,16.58,18.76,12.74,17.30,12.50,9.62,20.90,10.34,20.17,15.94,19.30,16.08,10.27,15.46,20.92,9.84
2018,14.02,10.32,12.04,16.81,21.31,19.07,9.95,12.09,21.52,11.41,11.99,10.44,21.51,8.84,16.00,13.64,18.58,16.68,18.80,12.74,17.30,12.55,9.79,21.05,10.41,20.04,15.88,19.40,16.11,10.31,15.49,21.06,9.81
2019,14.13,10.44,12.08,16.90,21.28,19.21,10.14,12.17,21.56,11.51,12.22,10.46,21.60,8.89,16.06,13.73,18.65,16.81,18.94,12.80,17.49,12.67,9.82,20.99,10.51,20.34,16.04,19.44,16.15,10.34,15.60,20.98,9.98
2020,14.13,10.45,12.23,17.01,21.42,19.23,10.14,12.07,21.58,11.47,12.15,10.51,21.58,8.86,16.05,13.71,18.63,16.77,18.82,12.74,17.46,12.66,9.82,21.10,10.52,20.23,16.05,19.53,16.12,10.42,15.61,21.15,9.96
2021,14.13,10.34,12.18,17.02,21.37,19.17,10.11,12.19,21.44,11.48,12.14,10.47,21.55,8.97,15.94,13.68,18.56,16.69,18.77,12.86,17.41,12.63,9.88,21.14,10.56,20.17,16.00,19.47,16.21,10.42,15.59,21.14,9.93
2022,14.18,10.33,12.40,17.10,21.29,19.18,10.18,12.28,21.58,11.56,12.23,10.44,21.58,8.95,16.07,13.75,18.65,16.80,18.98,12.90,17.45,12.72,9.85,21.10,10.51,20.33,16.14,19.46,16.19,10.47,15.63,21.08,9.97
2023,14.30,10.65,12.22,17.08,21.42,19.26,10.30,12.47,21.69,11.51,12.36,10.64,21.65,9.01,16.21,13.74,18.71,16.82,19.01,13.04,17.54,12.76,9.93,21.13,10.69,20.35,16.22,19.58,16.34,10.48,15.74,21.20,10.17
2024,14.24,10.46,12.30,17.03,21.57,19.37,10.24,12.23,21.61,11.56,12.23,10.49,21.68,8.98,16.08,13.77,18.69,16.87,18.94,12.89,17.64,12.83,9.88,21.24,10.55,20.30,16.18,19.70,16.27,10.55,15.76,21.26,10.00
