Variable:,tas
,Yemen,Abyan,"Al Dhale'e","Al Bayda","Al Hudaydah","Al Jawf","Al Maharah","Al Mahwit",Amran,Dhamar,Hajjah,Ibb,Lahj,Marib,Sa'ada,Shabwah,Taizz,"Amanat Al Asimah",Hadramaut,Raymah,Sana'a,Aden
2015,23.97,27.32,25.14,20.07,29.45,21.46,25.06,29.11,24.24,23.69,28.05,24.76,27.89,19.69,21.90,23.31,29.36,18.80,24.88,30.02,21.13,28.51
2016,24.08,27.36,25.28,20.38,29.46,21.62,25.14,29.17,24.35,23.85,28.07,24.89,27.94,19.90,22.04,23.46,29.35,19.08,24.93,30.08,21.35,28.38
2017,24.25,27.56,25.34,20.29,29.62,21.67,25.33,29.38,24.46,23.89,28.30,24.94,28.06,19.91,22.12,23.68,29.44,18.94,25.17,30.20,21.30,28.60
2018,24.12,27.57,25.36,20.30,29.53,21.42,25.29,29.11,24.23,23.86,28.07,24.93,28.10,19.72,21.92,23.58,29.47,18.83,25.05,30.16,21.16,28.64
2019,24.12,27.35,25.18,20.21,29.46,21.69,25.11,29.14,24.35,23.85,28.07,24.86,27.84,19.83,22.03,23.52,29.36,19.01,25.05,30.08,21.30,28.32
2020,24.49,27.78,25.57,20.59,29.84,22.01,25.47,29.49,24.63,24.15,28.44,25.20,28.27,20.22,22.39,23.85,29.76,19.18,25.42,30.46,21.52,28.76
2021,24.25,27.66,25.53,20.47,29.79,21.74,25.30,29.43,24.53,24.11,28.35,25.15,28.23,20.01,22.16,23.68,29.66,19.08,25.11,30.42,21.43,28.77
2022,24.10,27.60,25.32,20.26,29.60,21.62,25.20,29.23,24.40,23.86,28.18,24.94,28.10,19.82,22.04,23.58,29.57,18.99,24.96,30.19,21.30,28.71
2023,24.21,27.57,25.44,20.30,29.69,21.63,25.36,29.31,24.46,23.97,28.26,25.04,28.18,19.90,22.11,23.62,29.60,19.12,25.10,30.32,21.42,28.73
2024,24.32,27.67,25.43,20.45,29.70,21.72,25.42,29.39,24.47,24.04,28.28,25.08,28.15,20.05,22.16,23.77,29.64,19.16,25.22,30.28,21.47,28.73
2025,24.56,27.75,25.62,20.65,29.90,22.02,25.59,29.53,24.73,24.25,28.47,25.27,28.29,20.25,22.45,23.89,29.77,19.41,25.50,30.55,21.70,28.82
2026,24.76,27.96,25.67,20.76,30.02,22.21,25.82,29.64,24.83,24.30,28.60,25.32,28.40,20.38,22.54,24.15,29.83,19.51,25.73,30.63,21.80,28.95
2027,24.42,27.72,25.55,20.55,29.78,21.94,25.47,29.47,24.60,24.07,28.42,25.13,28.30,20.18,22.24,23.82,29.68,19.17,25.33,30.38,21.50,28.87
2028,24.42,27.82,25.58,20.58,29.80,21.83,25.48,29.45,24.61,24.16,28.36,25.20,28.34,20.14,22.27,23.86,29.75,19.34,25.34,30.43,21.62,28.98
2029,24.53,27.85,25.63,20.62,29.86,22.01,25.54,29.56,24.74,24.21,28.44,25.25,28.37,20.12,22.50,23.91,29.78,19.35,25.45,30.48,21.65,28.97
2030,24.61,27.93,25.84,20.70,30.05,22.10,25.61,29.69,24.80,24.37,28.58,25.44,28.58,20.33,22.39,23.94,30.00,19.52,25.51,30.64,21.82,29.11
2031,24.66,27.97,25.76,20.79,30.03,22.08,25.78,29.76,24.85,24.30,28.65,25.36,28.49,20.30,22.52,24.03,29.91,19.42,25.58,30.65,21.75,29.00
2032,24.43,27.93,25.63,20.54,29.74,21.74,25.54,29.31,24.50,24.07,28.28,25.17,28.42,19.99,22.25,23.84,29.78,19.15,25.39,30.34,21.45,29.02
2033,24.52,27.78,25.56,20.47,29.67,22.04,25.53,29.26,24.50,24.14,28.19,25.19,28.31,20.09,22.21,23.89,29.71,19.41,25.49,30.31,21.63,28.93
2034,24.60,27.87,25.69,20.66,29.89,22.04,25.63,29.45,24.65,24.14,28.36,25.25,28.49,20.29,22.35,23.95,29.94,19.55,25.56,30.45,21.77,29.16
2035,24.79,27.94,25.77,20.78,30.07,22.35,25.80,29.75,24.99,24.36,28.68,25.39,28.47,20.53,22.66,24.14,29.89,19.70,25.76,30.71,21.96,28.98
2036,24.52,27.82,25.62,20.57,29.99,21.96,25.64,29.67,24.80,24.19,28.59,25.25,28.39,20.27,22.41,23.90,29.89,19.36,25.41,30.63,21.68,28.95
2037,24.74,27.98,25.83,20.78,30.05,22.31,25.75,29.90,25.04,24.40,28.77,25.45,28.52,20.49,22.67,24.12,29.97,19.70,25.62,30.63,21.98,28.98
2038,24.89,28.09,25.82,20.86,30.17,22.48,25.89,29.87,25.00,24.38,28.78,25.43,28.57,20.50,22.80,24.23,30.04,19.59,25.82,30.80,21.90,29.07
2039,24.68,27.87,25.71,20.75,30.02,22.23,25.69,29.63,24.87,24.31,28.62,25.35,28.45,20.42,22.55,24.00,29.89,19.50,25.60,30.62,21.79,29.09
2040,24.86,28.06,25.97,20.97,30.19,22.39,25.81,29.88,25.02,24.47,28.79,25.56,28.71,20.59,22.70,24.24,30.19,19.61,25.79,30.78,21.93,29.24
2041,25.02,28.25,26.11,21.16,30.36,22.56,26.00,30.05,25.32,24.70,29.00,25.75,28.81,20.74,22.99,24.43,30.30,20.04,25.92,30.96,22.29,29.33
2042,24.59,27.90,25.67,20.58,29.89,22.09,25.70,29.44,24.66,24.15,28.45,25.24,28.44,20.24,22.41,24.00,29.84,19.27,25.50,30.48,21.57,29.00
2043,24.66,27.94,25.78,20.76,29.84,22.15,25.76,29.53,24.80,24.33,28.47,25.38,28.52,20.30,22.52,24.08,29.84,19.53,25.57,30.44,21.79,29.12
2044,24.56,27.96,25.75,20.75,30.10,22.01,25.67,29.80,24.90,24.34,28.69,25.39,28.49,20.23,22.58,23.99,29.98,19.51,25.42,30.70,21.82,29.04
2045,24.77,28.20,26.11,20.92,30.23,22.33,25.82,29.96,25.06,24.54,28.82,25.64,28.81,20.54,22.69,24.25,30.16,19.73,25.60,30.83,22.03,29.23
2046,24.86,28.15,25.95,20.92,30.02,22.31,25.90,29.62,24.89,24.45,28.58,25.53,28.63,20.51,22.56,24.32,30.08,19.73,25.82,30.64,21.96,29.13
2047,24.76,28.03,25.89,20.89,30.24,22.36,25.66,29.86,25.02,24.53,28.78,25.56,28.61,20.58,22.68,24.08,30.09,19.69,25.66,30.85,21.99,29.16
2048,24.68,27.91,25.79,20.77,29.89,22.10,25.81,29.59,24.75,24.24,28.49,25.32,28.50,20.40,22.46,24.03,29.83,19.41,25.59,30.51,21.71,28.90
