Variable:,tas
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
2015,13.76,7.32,16.82,8.49,13.03,16.75,15.31,9.56,15.69,16.60,12.96,12.15,12.81,15.10,15.82
2016,13.69,7.41,16.93,8.64,12.87,16.72,15.45,9.72,15.71,16.56,13.16,12.30,12.86,15.10,16.03
2017,13.94,7.54,17.05,8.79,13.22,16.86,15.47,9.84,15.83,16.68,13.36,12.41,13.04,15.27,16.12
2018,13.98,7.31,17.08,8.59,13.38,16.85,15.67,9.64,15.80,16.52,13.15,12.26,12.87,15.37,16.05
2019,13.69,7.39,16.79,8.56,12.97,16.68,15.27,9.55,15.64,16.56,13.08,12.17,12.81,15.04,15.92
2020,13.81,7.58,16.86,8.79,13.14,16.67,15.36,9.77,15.63,16.47,13.05,12.26,12.81,15.14,15.97
2021,13.83,7.49,16.98,8.69,13.06,16.96,15.39,9.77,15.89,16.77,13.37,12.39,13.05,15.14,16.17
2022,14.04,7.68,17.15,8.97,13.36,16.89,15.76,9.92,15.88,16.71,13.37,12.48,13.05,15.46,16.21
2023,14.03,7.53,17.14,8.76,13.31,16.97,15.64,9.82,15.96,16.76,13.39,12.47,13.10,15.42,16.28
2024,14.30,7.65,17.38,8.87,13.67,17.09,15.98,9.90,16.07,16.92,13.46,12.61,13.25,15.69,16.44
2025,14.28,7.84,17.37,9.02,13.56,17.22,15.90,10.03,16.18,17.13,13.64,12.68,13.41,15.64,16.43
2026,14.03,7.74,17.09,8.94,13.42,16.98,15.57,9.90,15.96,16.79,13.31,12.42,13.10,15.30,16.18
2027,14.41,7.95,17.38,9.09,13.79,17.17,15.97,10.11,16.17,16.94,13.79,12.81,13.42,15.75,16.57
2028,14.36,7.82,17.39,9.04,13.69,17.14,15.98,10.10,16.19,16.86,13.61,12.73,13.36,15.74,16.49
2029,14.20,7.95,17.16,9.21,13.46,17.15,15.74,10.29,16.13,17.17,13.75,12.91,13.42,15.44,16.65
2030,14.39,7.92,17.46,9.11,13.68,17.38,16.00,10.16,16.35,17.19,13.77,12.81,13.52,15.73,16.58
2031,14.52,7.83,17.52,9.10,13.90,17.45,16.04,10.19,16.41,17.13,13.88,12.92,13.57,15.83,16.69
2032,14.61,8.25,17.60,9.30,13.92,17.50,16.18,10.36,16.50,17.32,13.84,12.93,13.59,15.99,16.69
2033,14.50,7.97,17.54,9.13,13.84,17.34,16.03,10.15,16.32,17.11,13.69,12.79,13.46,15.86,16.55
2034,14.33,7.75,17.42,8.95,13.61,17.15,15.90,10.03,16.17,16.97,13.55,12.71,13.32,15.70,16.57
2035,14.51,7.99,17.71,9.23,13.77,17.50,16.14,10.31,16.45,17.31,13.70,12.85,13.52,15.89,16.62
2036,14.58,8.06,17.66,9.29,13.84,17.53,16.14,10.44,16.53,17.31,13.89,13.04,13.63,15.93,16.83
2037,14.71,8.23,17.80,9.47,14.06,17.72,16.28,10.49,16.63,17.56,14.13,13.14,13.81,15.98,16.87
2038,14.61,8.03,17.66,9.29,13.89,17.64,16.11,10.31,16.61,17.40,13.91,13.01,13.69,15.96,16.76
2039,14.24,7.81,17.36,9.00,13.57,17.24,15.90,10.05,16.16,17.05,13.58,12.65,13.28,15.58,16.34
2040,14.94,8.33,17.91,9.54,14.33,17.75,16.57,10.58,16.74,17.63,14.21,13.26,13.96,16.28,17.06
2041,14.69,8.27,17.80,9.53,13.97,17.51,16.42,10.60,16.48,17.34,14.03,13.18,13.73,16.08,16.94
2042,14.50,8.15,17.76,9.34,13.76,17.44,16.27,10.34,16.36,17.26,13.83,12.91,13.56,15.91,16.66
2043,14.61,8.21,17.66,9.45,13.95,17.54,16.16,10.46,16.47,17.41,13.97,13.02,13.68,15.91,16.68
2044,14.85,8.52,17.92,9.76,14.13,17.79,16.50,10.76,16.75,17.69,14.30,13.39,13.98,16.18,17.20
2045,14.67,8.24,17.74,9.60,13.95,17.67,16.26,10.64,16.61,17.54,14.05,13.16,13.78,15.98,16.87
2046,14.95,8.56,18.12,9.81,14.20,18.16,16.50,10.77,17.06,17.94,14.51,13.41,14.20,16.21,17.14
2047,15.02,8.36,18.20,9.65,14.33,18.04,16.59,10.65,16.96,17.85,14.27,13.36,14.05,16.39,17.15
2048,15.02,8.51,18.03,9.68,14.42,17.84,16.57,10.71,16.81,17.57,14.17,13.27,13.97,16.36,17.05
2049,15.27,8.67,18.32,9.82,14.60,18.18,16.82,10.86,17.17,17.89,14.52,13.58,14.29,16.63,17.39
2050,15.06,8.70,18.15,9.89,14.38,17.99,16.53,10.92,16.93,17.78,14.47,13.51,14.14,16.39,17.23
2051,15.08,8.66,18.09,9.87,14.38,17.96,16.64,10.95,16.92,17.81,14.44,13.58,14.13,16.41,17.31
2052,15.18,8.84,18.33,10.03,14.44,18.19,16.88,11.10,17.14,17.96,14.54,13.63,14.28,16.57,17.36
2053,15.23,8.73,18.22,9.95,14.69,18.01,16.80,10.93,17.01,17.80,14.42,13.52,14.15,16.52,17.24
2054,15.38,8.92,18.46,10.28,14.66,18.45,17.04,11.28,17.37,18.22,14.88,13.95,14.57,16.70,17.75
2055,15.24,8.83,18.36,10.16,14.51,18.16,16.83,11.16,17.11,17.98,14.63,13.71,14.32,16.61,17.38
2056,15.50,8.97,18.51,10.18,14.85,18.17,17.05,11.30,17.17,18.08,14.71,13.91,14.41,16.85,17.59
2057,15.49,8.96,18.52,10.17,14.81,18.37,16.99,11.19,17.33,18.25,14.80,13.86,14.54,16.83,17.67
2058,15.20,8.94,18.27,10.11,14.47,18.16,16.69,11.17,17.15,17.91,14.60,13.73,14.26,16.52,17.46
2059,15.63,9.22,18.68,10.46,14.88,18.49,17.19,11.51,17.49,18.29,14.88,14.07,14.57,17.01,17.82
2060,15.25,8.73,18.36,9.97,14.55,18.14,16.81,10.97,17.10,17.91,14.49,13.63,14.23,16.61,17.49
2061,15.11,8.77,18.11,9.99,14.40,18.03,16.69,10.98,16.97,17.96,14.43,13.56,14.14,16.42,17.30
2062,15.51,9.03,18.43,10.23,14.86,18.34,17.00,11.30,17.29,18.16,14.79,13.89,14.52,16.82,17.66
2063,15.53,9.08,18.54,10.27,14.94,18.30,17.13,11.31,17.28,18.17,14.60,13.87,14.38,16.83,17.65
2064,15.48,9.13,18.54,10.33,14.84,18.36,17.12,11.34,17.33,18.23,14.81,13.92,14.52,16.76,17.66
2065,15.63,9.05,18.71,10.30,15.00,18.35,17.19,11.36,17.31,18.29,14.93,13.99,14.62,16.96,17.72
2066,15.57,9.23,18.64,10.39,14.92,18.45,17.10,11.33,17.42,18.35,14.77,13.84,14.56,16.90,17.61
2067,15.66,9.36,18.67,10.61,14.90,18.61,17.18,11.63,17.56,18.56,14.99,14.15,14.73,17.00,17.92
2068,15.48,9.21,18.65,10.49,14.69,18.48,17.16,11.50,17.47,18.29,14.89,14.05,14.62,16.84,17.78
2069,15.76,9.50,18.69,10.63,15.09,18.55,17.20,11.71,17.56,18.45,15.12,14.30,14.79,17.03,18.08
2070,15.65,9.29,18.69,10.44,14.95,18.53,17.22,11.48,17.50,18.44,14.95,14.05,14.71,17.02,17.82
2071,15.57,9.39,18.66,10.51,14.79,18.71,17.04,11.56,17.64,18.53,15.05,14.16,14.75,16.88,17.87
2072,15.51,9.23,18.61,10.38,14.86,18.44,17.20,11.37,17.34,18.15,14.63,13.90,14.41,16.85,17.66
2073,15.72,9.24,18.76,10.43,15.05,18.50,17.30,11.48,17.49,18.46,15.04,14.11,14.75,17.05,17.85
2074,15.95,9.71,18.95,10.81,15.15,18.97,17.44,11.84,17.94,18.99,15.48,14.40,15.11,17.29,18.18
2075,15.69,9.36,18.75,10.51,15.03,18.60,17.34,11.56,17.51,18.53,15.06,14.16,14.74,16.96,17.84
