Variable:,tas
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
2015,7.80,16.56,11.35,16.49,19.50,4.86,22.17,21.05,15.94,24.93,10.69,2.46,15.30,16.10,17.09,16.02,18.51,5.79,9.27,5.00,8.18,-1.68,11.69,14.35,16.98,10.42,9.29,13.99,6.51,-0.31,16.97,16.95
2016,7.77,16.57,11.37,16.59,19.57,4.76,22.24,21.14,16.01,24.96,10.77,2.37,15.29,16.14,17.19,16.03,18.63,5.51,9.15,4.93,8.18,-1.81,11.73,14.39,16.95,10.43,9.26,14.02,6.52,-0.41,16.99,17.02
2017,7.91,16.79,11.43,16.85,19.60,4.96,22.38,21.40,16.33,25.12,10.79,2.38,15.52,16.41,17.43,16.19,18.76,5.67,9.33,5.03,8.40,-1.71,11.96,14.48,17.12,10.66,9.47,14.06,6.68,-0.34,17.14,17.11
2018,7.86,16.84,11.53,16.68,19.66,4.84,22.30,21.28,16.11,25.09,10.89,2.61,15.50,16.30,17.33,16.27,18.74,5.94,9.52,5.04,8.12,-1.83,11.74,14.63,17.21,10.44,9.34,14.21,6.54,-0.44,17.15,17.17
2019,7.91,16.85,11.47,16.83,19.80,4.89,22.39,21.42,16.27,25.13,10.80,2.64,15.48,16.42,17.43,16.27,18.83,5.79,9.38,5.02,8.18,-1.68,11.80,14.48,17.30,10.39,9.55,14.14,6.49,-0.26,17.22,17.28
2020,7.87,16.59,11.45,16.80,19.58,4.95,22.23,21.21,16.16,25.04,10.77,2.30,15.33,16.22,17.23,16.04,18.66,5.51,9.18,4.90,8.25,-1.61,11.81,14.26,17.13,10.39,9.56,14.20,6.65,-0.16,17.13,17.13
2021,7.90,16.64,11.35,16.70,19.55,4.95,22.33,21.32,16.23,25.25,10.79,2.41,15.48,16.28,17.30,16.05,18.57,5.66,9.20,4.99,8.43,-1.65,11.94,14.51,16.94,10.52,9.49,14.13,6.63,-0.24,17.28,17.02
2022,8.06,16.97,11.70,16.91,19.84,5.07,22.54,21.47,16.32,25.27,11.06,2.56,15.75,16.51,17.48,16.42,18.87,5.77,9.54,5.14,8.39,-1.47,11.98,14.86,17.27,10.65,9.68,14.46,6.74,-0.06,17.36,17.31
2023,8.06,16.94,11.47,16.97,19.92,5.06,22.63,21.51,16.46,25.38,10.90,2.63,15.66,16.53,17.59,16.33,18.94,5.91,9.56,5.10,8.30,-1.46,11.94,14.66,17.38,10.55,9.71,14.22,6.67,-0.08,17.43,17.37
2024,8.15,16.95,11.52,16.95,19.83,5.20,22.50,21.48,16.40,25.33,10.93,2.68,15.70,16.55,17.53,16.43,18.83,5.84,9.44,5.12,8.60,-1.36,12.14,14.75,17.36,10.70,9.73,14.32,6.93,0.18,17.39,17.33
2025,8.15,17.03,11.78,17.10,19.70,5.13,22.43,21.48,16.49,25.31,11.11,2.80,15.82,16.64,17.61,16.39,18.89,5.91,9.53,5.29,8.47,-1.47,12.07,14.84,17.23,10.66,9.74,14.54,6.93,-0.11,17.35,17.23
2026,8.15,17.08,11.70,17.05,19.97,5.09,22.57,21.54,16.53,25.29,11.03,2.71,15.67,16.56,17.59,16.52,18.99,5.91,9.50,5.18,8.38,-1.28,11.98,14.83,17.46,10.63,9.76,14.47,6.75,0.19,17.42,17.45
2027,8.26,16.96,11.90,17.06,19.75,5.27,22.49,21.44,16.39,25.24,11.23,3.10,15.84,16.57,17.55,16.41,18.86,6.22,9.83,5.43,8.53,-1.34,12.09,14.88,17.33,10.81,9.77,14.66,7.03,0.12,17.39,17.31
2028,8.31,17.22,11.90,17.24,20.01,5.38,22.67,21.65,16.56,25.43,11.25,2.84,16.08,16.80,17.73,16.67,19.09,6.02,9.71,5.42,8.68,-1.28,12.35,15.01,17.55,10.99,9.84,14.60,7.01,0.18,17.46,17.49
2029,8.29,17.13,11.92,17.14,19.90,5.32,22.53,21.62,16.56,25.49,11.28,2.91,15.89,16.73,17.63,16.57,18.94,6.19,9.83,5.42,8.61,-1.28,12.27,14.92,17.42,10.89,9.89,14.68,7.00,0.11,17.55,17.45
2030,8.32,17.10,11.79,17.13,19.99,5.31,22.68,21.68,16.66,25.43,11.16,2.98,15.84,16.61,17.66,16.56,19.04,6.19,9.60,5.43,8.61,-1.17,12.19,14.89,17.49,10.83,9.97,14.53,7.03,0.18,17.59,17.50
2031,8.38,17.21,12.01,16.96,19.99,5.34,22.67,21.64,16.52,25.45,11.38,3.23,15.93,16.68,17.62,16.72,19.06,6.38,9.92,5.60,8.62,-1.29,12.15,15.14,17.56,10.86,9.81,14.86,7.19,0.13,17.52,17.51
2032,8.45,17.28,12.05,17.26,20.15,5.47,22.81,21.74,16.69,25.54,11.43,3.00,15.99,16.89,17.79,16.69,19.17,6.28,9.91,5.61,8.87,-1.12,12.39,15.08,17.70,11.03,9.99,14.80,7.20,0.34,17.60,17.67
2033,8.56,17.57,12.32,17.43,20.16,5.62,22.84,21.89,16.88,25.54,11.61,3.33,16.22,17.04,18.00,16.94,19.37,6.57,9.98,5.84,8.82,-1.03,12.41,15.30,17.77,11.09,10.07,14.95,7.19,0.22,17.61,17.67
2034,8.50,17.37,11.93,17.39,20.20,5.61,22.81,21.78,16.80,25.53,11.38,3.09,16.09,16.94,17.90,16.80,19.30,6.23,9.88,5.65,8.82,-1.07,12.36,15.12,17.83,11.03,10.14,14.75,7.18,0.32,17.72,17.85
2035,8.56,17.44,12.09,17.44,20.24,5.61,22.85,21.90,16.79,25.53,11.51,3.06,16.20,16.99,17.92,16.84,19.28,6.37,9.98,5.67,8.94,-0.95,12.48,15.29,17.69,11.14,10.09,14.93,7.35,0.37,17.64,17.79
2036,8.53,17.37,12.19,17.32,20.15,5.43,22.80,21.66,16.66,25.53,11.49,3.39,16.11,16.92,17.82,16.78,19.29,6.65,10.19,5.74,8.68,-0.96,12.33,15.17,17.73,10.94,10.08,14.83,7.17,0.42,17.59,17.74
2037,8.61,17.61,12.21,17.52,20.24,5.56,22.92,21.91,16.89,25.63,11.59,3.29,16.30,17.13,18.09,17.02,19.38,6.56,10.14,5.81,8.84,-0.98,12.50,15.35,17.93,11.17,10.07,14.98,7.33,0.35,17.75,17.81
2038,8.65,17.65,12.17,17.65,20.38,5.63,23.08,22.03,17.04,25.88,11.59,3.33,16.38,17.10,18.02,17.12,19.39,6.66,10.25,5.81,8.96,-0.92,12.68,15.42,18.08,11.26,10.29,15.06,7.22,0.46,17.91,17.92
2039,8.65,17.42,12.26,17.38,20.39,5.60,23.00,22.00,16.94,25.82,11.55,3.60,16.12,16.89,17.95,16.85,19.43,6.53,10.13,5.80,8.83,-0.81,12.36,15.21,17.95,11.05,10.25,15.05,7.29,0.50,17.91,17.86
2040,8.77,17.64,12.43,17.52,20.31,5.79,23.07,21.99,16.85,25.73,11.85,3.66,16.33,17.17,18.16,17.09,19.48,6.87,10.47,6.09,9.02,-0.97,12.65,15.57,17.90,11.33,10.16,15.24,7.55,0.38,17.68,17.90
2041,8.77,17.55,12.57,17.52,20.33,5.71,23.06,22.06,16.93,25.65,11.93,3.47,16.35,17.07,18.05,17.00,19.37,6.63,10.37,5.92,9.11,-0.77,12.67,15.64,17.86,11.40,10.33,15.29,7.46,0.75,17.80,17.75
