Variable:,tasmin
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
2015,15.59,13.87,17.70,12.48,12.55,8.46,12.73,15.58,19.02,20.43,14.51,15.36,19.78,20.06,11.21,10.43,18.20,16.52,16.48,9.60,11.74,19.32,19.47,12.54,20.25,18.10
2016,15.64,13.91,17.70,12.54,12.59,8.55,12.73,15.60,19.05,20.26,14.55,15.39,19.76,20.02,11.34,10.43,18.28,16.62,16.55,9.66,11.80,19.32,19.46,12.55,20.24,18.10
2017,15.92,14.17,17.94,12.78,12.87,8.78,13.00,15.93,19.31,20.73,14.82,15.73,20.00,20.31,11.58,10.74,18.60,16.91,16.84,9.91,12.06,19.57,19.76,12.83,20.62,18.34
2018,15.73,13.91,17.69,12.55,12.71,8.61,12.80,15.56,19.05,20.20,14.63,15.38,19.73,20.03,11.43,10.66,18.47,16.76,16.73,9.75,11.86,19.29,19.44,12.64,20.22,18.09
2019,15.71,13.91,17.75,12.56,12.65,8.59,12.81,15.62,19.10,20.90,14.60,15.40,19.82,20.12,11.34,10.53,18.33,16.68,16.60,9.72,11.77,19.36,19.51,12.63,20.33,18.16
2020,16.07,14.28,18.02,12.92,12.95,8.98,13.10,15.99,19.33,21.14,14.89,15.81,20.05,20.34,11.80,10.90,18.78,17.15,17.02,10.09,12.16,19.60,19.81,12.91,20.69,18.38
2021,15.83,14.06,17.82,12.69,12.78,8.71,12.87,15.79,19.20,20.67,14.69,15.61,19.87,20.16,11.50,10.68,18.53,16.83,16.79,9.84,11.96,19.42,19.61,12.70,20.44,18.18
2022,15.92,14.17,17.91,12.81,12.92,8.85,13.05,15.87,19.28,20.84,14.84,15.70,19.96,20.27,11.62,10.81,18.55,16.84,16.83,9.95,12.10,19.55,19.69,12.88,20.51,18.36
2023,15.91,14.06,17.88,12.71,12.85,8.79,13.00,15.72,19.23,20.46,14.79,15.51,19.93,20.19,11.58,10.79,18.65,16.94,16.90,9.93,11.94,19.49,19.59,12.82,20.36,18.30
2024,15.90,14.14,17.95,12.78,12.82,8.80,13.00,15.85,19.24,20.58,14.74,15.69,20.00,20.27,11.60,10.77,18.56,16.92,16.84,9.92,12.07,19.53,19.71,12.80,20.54,18.33
2025,16.01,14.31,18.04,12.92,12.94,8.90,13.07,16.06,19.35,21.08,14.87,15.91,20.08,20.41,11.69,10.84,18.64,16.97,16.92,10.00,12.20,19.61,19.88,12.89,20.77,18.36
2026,16.03,14.19,17.96,12.81,12.95,8.86,13.03,15.90,19.38,20.72,14.88,15.72,20.01,20.39,11.72,10.92,18.76,17.10,17.00,9.99,12.13,19.57,19.77,12.88,20.63,18.35
2027,15.86,14.08,17.89,12.71,12.82,8.75,12.97,15.79,19.25,20.78,14.76,15.59,19.93,20.31,11.55,10.74,18.46,16.81,16.76,9.91,11.94,19.47,19.70,12.80,20.55,18.25
2028,16.13,14.38,18.16,13.00,13.07,9.02,13.22,16.12,19.50,20.98,15.03,15.95,20.21,20.51,11.79,10.95,18.79,17.09,17.06,10.16,12.28,19.77,19.95,13.05,20.78,18.55
