Variable:,tas
,Malta,Attard,Balzan,Birgu,Birkirkara,Birzebbugia,Bormla,Dingli,Fgura,Floriana,Fontana,Ghajnsielem,Gharb,Gharghur,Ghasri,Ghaxaq,Gudja,Gzira,Hamrun,Iklin,Isla,Kalkara,Kercem,Kirkop,Lija,Luqa,Marsa,Marsascala,Marsaxlokk,Mdina,Mellieha,Mgarr,Mosta,Mqabba,Msida,Munxar,Nadur,Naxxar,Paola,Pembroke,Pieta,Qala,Qormi,Qrendi,"Rabat (malta)","Rabat (victoria)",Safi,"San Giljan","San Gwann","San Lawrenz","San Pawl Ii-bahar",Sannat,"Santa Lucija","Santa Venera",Siggiewi,Sliema,Swieqi,"Ta' Xbiex",Tarxien,Valletta,Xaghra,Xewkija,Xghajra,Zabbar,"Zebbug (gozo)","Zebbug (malta)",Zejtun,Zurrieq
2015,19.85,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,19.87,19.87,20.16,19.87,20.16,20.16,20.16,20.16,20.16,20.16,20.16,19.87,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,19.87,19.87,20.16,20.16,20.16,20.16,19.87,20.16,20.16,20.16,19.87,20.16,20.16,20.16,19.87,20.16,19.87,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,19.87,19.87,20.16,20.16,19.87,20.16,20.16,20.16
2016,19.64,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.65,19.65,19.93,19.65,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.65,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.65,19.65,19.93,19.93,19.93,19.93,19.65,19.93,19.93,19.93,19.65,19.93,19.93,19.93,19.65,19.93,19.65,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.65,19.65,19.93,19.93,19.65,19.93,19.93,19.93
2017,19.85,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,19.86,19.86,20.15,19.86,20.15,20.15,20.15,20.15,20.15,20.15,20.15,19.86,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,19.86,19.86,20.15,20.15,20.15,20.15,19.86,20.15,20.15,20.15,19.86,20.15,20.15,20.15,19.86,20.15,19.86,20.15,20.15,20.15,20.15,20.15,20.15,20.15,20.15,19.86,19.86,20.15,20.15,19.86,20.15,20.15,20.15
2018,19.97,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,19.98,19.98,20.33,19.98,20.33,20.33,20.33,20.33,20.33,20.33,20.33,19.98,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,19.98,19.98,20.33,20.33,20.33,20.33,19.98,20.33,20.33,20.33,19.98,20.33,20.33,20.33,19.98,20.33,19.98,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33,19.98,19.98,20.33,20.33,19.98,20.33,20.33,20.33
2019,20.07,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.09,20.09,20.32,20.09,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.09,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.09,20.09,20.32,20.32,20.32,20.32,20.09,20.32,20.32,20.32,20.09,20.32,20.32,20.32,20.09,20.32,20.09,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.09,20.09,20.32,20.32,20.09,20.32,20.32,20.32
2020,19.94,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,19.95,19.95,20.21,19.95,20.21,20.21,20.21,20.21,20.21,20.21,20.21,19.95,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,19.95,19.95,20.21,20.21,20.21,20.21,19.95,20.21,20.21,20.21,19.95,20.21,20.21,20.21,19.95,20.21,19.95,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,19.95,19.95,20.21,20.21,19.95,20.21,20.21,20.21
2021,20.24,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.26,20.26,20.51,20.26,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.26,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.26,20.26,20.51,20.51,20.51,20.51,20.26,20.51,20.51,20.51,20.26,20.51,20.51,20.51,20.26,20.51,20.26,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.26,20.26,20.51,20.51,20.26,20.51,20.51,20.51
2022,20.06,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.07,20.07,20.39,20.07,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.07,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.07,20.07,20.39,20.39,20.39,20.39,20.07,20.39,20.39,20.39,20.07,20.39,20.39,20.39,20.07,20.39,20.07,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.07,20.07,20.39,20.39,20.07,20.39,20.39,20.39
2023,20.23,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.24,20.24,20.63,20.24,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.24,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.24,20.24,20.63,20.63,20.63,20.63,20.24,20.63,20.63,20.63,20.24,20.63,20.63,20.63,20.24,20.63,20.24,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.24,20.24,20.63,20.63,20.24,20.63,20.63,20.63
2024,20.17,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.18,20.18,20.51,20.18,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.18,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.18,20.18,20.51,20.51,20.51,20.51,20.18,20.51,20.51,20.51,20.18,20.51,20.51,20.51,20.18,20.51,20.18,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.18,20.18,20.51,20.51,20.18,20.51,20.51,20.51
2025,20.19,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.21,20.21,20.63,20.21,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.21,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.21,20.21,20.63,20.63,20.63,20.63,20.21,20.63,20.63,20.63,20.21,20.63,20.63,20.63,20.21,20.63,20.21,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.63,20.21,20.21,20.63,20.63,20.21,20.63,20.63,20.63
2026,20.31,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.32,20.32,20.65,20.32,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.32,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.32,20.32,20.65,20.65,20.65,20.65,20.32,20.65,20.65,20.65,20.32,20.65,20.65,20.65,20.32,20.65,20.32,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.65,20.32,20.32,20.65,20.65,20.32,20.65,20.65,20.65
2027,20.23,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.25,20.25,20.52,20.25,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.25,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.25,20.25,20.52,20.52,20.52,20.52,20.25,20.52,20.52,20.52,20.25,20.52,20.52,20.52,20.25,20.52,20.25,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.52,20.25,20.25,20.52,20.52,20.25,20.52,20.52,20.52
