Variable:,tas
,Namibia,Caprivi,Erongo,Hardap,Karas,Kavango,Khomas,Kunene,Ohangwena,Omaheke,Omusati,Oshana,Oshikoto,Otjozondjupa
2015,20.79,23.85,19.71,20.13,19.02,23.22,20.77,18.03,22.88,21.14,18.88,20.37,22.59,21.61
2016,20.69,23.63,19.57,20.02,18.92,23.06,20.79,17.93,22.87,21.04,18.92,20.42,22.53,21.52
2017,20.82,23.77,19.71,20.13,19.06,23.22,20.81,18.04,23.12,21.16,19.01,20.58,22.67,21.63
2018,21.07,24.06,19.75,20.32,19.00,23.66,21.17,18.13,23.44,21.55,19.33,20.87,23.00,22.05
2019,20.98,23.95,19.73,20.33,19.09,23.43,21.13,18.01,23.19,21.38,19.10,20.67,22.84,21.85
2020,20.91,23.99,19.76,20.18,19.01,23.47,20.95,18.10,23.19,21.37,19.06,20.61,22.76,21.79
2021,20.99,23.68,19.88,20.37,19.19,23.25,21.09,18.22,23.25,21.38,19.22,20.73,22.83,21.78
2022,21.12,23.99,19.98,20.52,19.27,23.48,21.22,18.29,23.27,21.52,19.18,20.69,22.90,21.98
2023,21.16,24.15,19.90,20.39,19.14,23.81,21.18,18.24,23.50,21.60,19.35,21.00,23.11,22.13
2024,21.28,24.07,20.10,20.65,19.39,23.62,21.42,18.44,23.59,21.65,19.51,21.03,23.09,22.10
2025,20.97,23.70,19.82,20.34,19.09,23.21,21.16,18.20,23.26,21.39,19.17,20.69,22.79,21.80
2026,21.42,24.09,20.14,20.71,19.37,23.84,21.60,18.49,23.66,21.94,19.67,21.19,23.29,22.37
2027,21.31,24.34,20.13,20.54,19.33,23.82,21.30,18.48,23.63,21.77,19.52,21.01,23.16,22.24
2028,21.42,24.49,20.29,20.70,19.41,23.85,21.55,18.55,23.60,21.86,19.61,21.10,23.21,22.35
2029,21.51,24.38,20.20,20.83,19.50,23.98,21.62,18.55,23.70,22.01,19.67,21.17,23.33,22.44
2030,21.28,24.23,20.07,20.62,19.43,23.71,21.34,18.35,23.59,21.73,19.39,20.97,23.16,22.14
2031,21.36,24.32,20.10,20.61,19.39,23.82,21.48,18.42,23.71,21.87,19.52,21.04,23.30,22.28
2032,21.63,24.55,20.17,20.84,19.52,24.20,21.77,18.56,24.05,22.15,19.86,21.48,23.71,22.68
2033,21.47,24.35,20.22,20.74,19.52,23.94,21.44,18.54,23.81,21.94,19.64,21.22,23.42,22.40
2034,21.54,24.42,20.37,20.90,19.56,23.95,21.73,18.64,23.84,21.95,19.75,21.30,23.38,22.41
2035,21.37,24.46,20.24,20.65,19.37,23.81,21.46,18.59,23.64,21.81,19.62,21.19,23.26,22.30
