Variable:,tasmax
,Uzbekistan,Andijan,Bukhara,Fergana,Karakalpakstan,Kashkadarya,Khorezm,Namangan,Samarkand,Surkhandarya,Sirdarya,Tashkent,Jizzakh,Navoiy,"Tashkent city"
2015,20.27,13.24,23.57,14.45,19.57,23.84,22.04,15.62,22.57,23.81,19.65,18.58,19.43,21.49,22.45
2016,20.15,13.16,23.63,14.39,19.39,23.70,22.18,15.61,22.45,23.68,19.58,18.50,19.37,21.48,22.38
2017,20.42,13.32,23.77,14.66,19.62,23.94,22.18,15.87,22.69,23.81,19.93,18.73,19.68,21.74,22.50
2018,20.35,13.00,23.78,14.20,19.72,23.78,22.28,15.39,22.46,23.64,19.45,18.32,19.30,21.69,22.23
2019,20.04,13.10,23.42,14.34,19.29,23.64,21.77,15.47,22.31,23.73,19.45,18.35,19.24,21.31,22.15
2020,20.23,13.40,23.58,14.60,19.55,23.68,22.08,15.67,22.41,23.71,19.52,18.48,19.31,21.50,22.34
2021,20.26,13.30,23.65,14.55,19.52,23.97,22.11,15.71,22.68,24.07,19.89,18.64,19.60,21.47,22.48
2022,20.46,13.36,23.84,14.58,19.74,23.95,22.32,15.70,22.63,24.04,19.81,18.61,19.59,21.74,22.44
2023,20.48,13.35,23.90,14.57,19.73,24.04,22.26,15.80,22.71,24.00,19.79,18.74,19.58,21.79,22.63
2024,20.73,13.56,24.12,14.76,20.07,24.11,22.66,15.95,22.83,24.12,20.01,18.88,19.78,22.05,22.76
2025,20.67,13.71,24.14,14.97,19.90,24.35,22.62,16.05,23.04,24.35,20.15,18.95,19.95,21.93,22.79
2026,20.37,13.43,23.74,14.69,19.69,23.93,22.18,15.87,22.68,23.94,19.82,18.73,19.61,21.58,22.51
2027,20.82,13.69,24.04,14.88,20.23,24.14,22.64,16.09,22.86,24.07,20.14,19.00,19.83,22.04,22.89
2028,20.74,13.75,23.94,14.99,19.95,24.20,22.38,16.17,23.00,24.23,20.25,19.08,20.04,21.98,23.01
2029,20.75,13.77,24.12,15.09,19.87,24.40,22.54,16.22,23.20,24.56,20.31,19.13,20.13,22.03,23.00
2030,20.78,13.62,24.10,14.89,20.09,24.36,22.59,16.08,23.08,24.41,20.17,18.97,20.00,22.03,22.78
2031,20.93,13.62,24.33,14.97,20.30,24.30,22.83,16.21,23.05,24.12,20.25,19.13,19.99,22.22,22.91
2032,20.96,13.98,24.23,15.18,20.26,24.45,22.70,16.30,23.20,24.50,20.37,19.19,20.12,22.22,23.04
2033,20.86,13.65,24.19,14.98,20.19,24.36,22.72,16.12,23.07,24.35,20.21,19.06,19.98,22.12,22.92
2034,20.69,13.53,24.10,14.79,19.92,24.15,22.52,16.02,22.88,24.20,20.03,18.94,19.84,22.00,22.90
2035,20.94,13.64,24.37,14.91,20.19,24.53,22.77,16.16,23.20,24.50,20.24,19.13,20.12,22.25,23.02
2036,20.92,13.70,24.22,14.95,20.22,24.29,22.76,16.20,23.04,24.31,20.25,19.11,20.03,22.22,22.96
2037,21.10,14.00,24.51,15.25,20.41,24.66,22.85,16.43,23.37,24.57,20.51,19.37,20.31,22.35,23.24
2038,21.02,13.97,24.45,15.19,20.23,24.66,22.90,16.36,23.41,24.52,20.38,19.28,20.22,22.35,23.11
2039,20.62,13.59,23.98,14.87,19.90,24.20,22.45,16.03,22.87,24.26,20.05,18.90,19.80,21.85,22.70
2040,21.45,14.14,24.81,15.45,20.78,25.04,23.22,16.65,23.76,25.02,20.83,19.59,20.66,22.71,23.44
2041,21.15,13.97,24.57,15.21,20.40,24.62,23.00,16.42,23.31,24.65,20.46,19.36,20.27,22.49,23.22
2042,20.87,13.88,24.38,15.11,20.10,24.37,22.78,16.36,23.10,24.51,20.24,19.20,20.08,22.18,22.99
2043,21.02,14.10,24.35,15.32,20.28,24.62,22.78,16.51,23.33,24.65,20.59,19.47,20.25,22.21,23.31
2044,21.24,14.26,24.70,15.48,20.47,24.76,23.22,16.65,23.55,24.76,20.77,19.60,20.50,22.52,23.47
2045,21.17,14.30,24.60,15.58,20.34,24.91,23.02,16.77,23.55,25.04,20.72,19.58,20.48,22.44,23.31
2046,21.39,14.15,24.79,15.48,20.59,25.03,23.20,16.72,23.78,24.88,20.90,19.72,20.71,22.65,23.61
2047,21.36,14.07,24.77,15.26,20.73,24.90,23.23,16.39,23.58,24.86,20.51,19.35,20.41,22.66,23.12
2048,21.46,14.27,24.91,15.46,20.80,24.91,23.44,16.62,23.68,24.79,20.65,19.48,20.48,22.77,23.33
2049,21.65,14.42,25.06,15.73,20.92,25.16,23.56,16.84,23.88,25.12,21.08,19.80,20.84,22.97,23.67
