Variable:,tasmin
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2015,6.77,8.51,6.11,7.48,9.10,6.26,6.34,7.38,8.78,6.60,7.32,6.90,6.20,7.31,6.32,6.29,7.63,6.34,6.07,6.07,6.40,6.76,6.34,7.20,7.40,6.31,8.61,7.59
2016,6.70,8.40,6.05,7.34,8.93,6.29,6.27,7.28,8.62,6.53,7.15,6.77,6.20,7.16,6.23,6.23,7.53,6.26,6.02,6.02,6.31,6.69,6.39,7.04,7.23,6.22,8.51,7.50
2017,6.54,8.30,5.88,7.24,8.85,6.00,6.18,7.14,8.54,6.43,7.07,6.68,5.98,7.06,6.12,6.11,7.42,6.17,5.82,5.82,6.20,6.53,6.14,6.94,7.15,6.11,8.41,7.41
2018,6.60,8.37,5.96,7.27,8.89,6.05,6.21,7.20,8.58,6.47,7.17,6.77,6.04,7.08,6.22,6.16,7.41,6.21,5.91,5.91,6.30,6.62,6.16,7.01,7.24,6.21,8.48,7.46
2019,6.82,8.60,6.15,7.48,9.10,6.31,6.44,7.40,8.76,6.69,7.44,6.98,6.25,7.32,6.35,6.38,7.68,6.43,6.11,6.11,6.44,6.79,6.40,7.27,7.51,6.34,8.70,7.69
2020,6.91,8.60,6.27,7.52,9.14,6.46,6.53,7.45,8.80,6.77,7.41,7.01,6.38,7.36,6.45,6.50,7.74,6.52,6.28,6.28,6.53,6.84,6.55,7.27,7.48,6.44,8.70,7.73
2021,6.73,8.54,6.08,7.45,9.15,6.18,6.31,7.29,8.75,6.58,7.39,6.95,6.15,7.32,6.34,6.24,7.52,6.31,5.96,5.96,6.42,6.71,6.28,7.24,7.47,6.33,8.64,7.59
2022,6.76,8.52,6.07,7.50,9.18,6.22,6.39,7.34,8.77,6.64,7.39,6.94,6.18,7.36,6.31,6.32,7.61,6.38,6.01,6.01,6.40,6.73,6.34,7.26,7.48,6.30,8.62,7.62
2023,6.67,8.42,5.94,7.49,9.14,6.13,6.26,7.31,8.85,6.51,7.23,6.79,6.10,7.31,6.18,6.18,7.64,6.25,5.88,5.88,6.27,6.65,6.30,7.13,7.31,6.17,8.53,7.51
2024,6.81,8.52,6.15,7.53,9.16,6.31,6.40,7.40,8.78,6.65,7.39,6.96,6.26,7.38,6.36,6.35,7.66,6.39,6.11,6.11,6.44,6.79,6.42,7.27,7.47,6.35,8.62,7.62
2025,6.68,8.51,6.00,7.40,9.11,6.12,6.29,7.26,8.75,6.55,7.27,6.84,6.09,7.24,6.23,6.23,7.54,6.28,5.96,5.96,6.31,6.64,6.24,7.13,7.35,6.22,8.62,7.57
