Variable:,tas
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
2015,26.75,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.05,27.07,26.54,27.07
2016,26.80,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.06,27.07,26.58,27.07
2017,26.83,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.20,27.18,27.20,26.61,27.20
2018,26.81,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.18,27.16,27.18,26.59,27.18
2019,26.93,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.22,27.24,26.74,27.24
2020,26.88,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.22,27.20,27.22,26.65,27.22
2021,26.92,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.26,27.24,27.26,26.72,27.26
2022,27.00,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.27,27.26,27.27,26.81,27.27
2023,26.98,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.32,27.34,26.75,27.34
2024,27.11,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.39,27.41,26.89,27.41
2025,27.02,27.37,27.37,27.37,27.37,27.37,27.37,27.37,27.37,27.37,27.37,27.37,27.35,27.37,26.81,27.37
2026,27.05,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.37,27.39,26.80,27.39
2027,26.99,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.35,27.38,26.79,27.38
2028,27.15,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.46,27.48,26.94,27.48
2029,27.13,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.46,27.44,27.46,26.92,27.46
2030,27.07,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.37,27.39,26.86,27.39
2031,27.20,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.56,27.58,26.98,27.58
2032,27.24,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.61,27.64,27.00,27.64
2033,27.16,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.51,27.53,26.92,27.53
2034,27.20,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.57,27.54,27.57,27.01,27.57
2035,27.17,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.50,27.52,26.94,27.52
2036,27.24,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.61,27.59,27.61,27.02,27.61
2037,27.39,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.79,27.77,27.79,27.14,27.79
2038,27.43,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.86,27.83,27.86,27.18,27.86
2039,27.42,27.77,27.77,27.77,27.77,27.77,27.77,27.77,27.77,27.77,27.77,27.77,27.75,27.77,27.21,27.77
2040,27.35,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.67,27.69,27.11,27.69
2041,27.30,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.64,27.67,27.10,27.67
2042,27.39,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.81,27.82,27.82,27.79,27.82,27.16,27.82
2043,27.33,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.64,27.62,27.64,27.13,27.64
2044,27.27,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.67,27.68,27.68,27.65,27.68,27.06,27.68
2045,27.41,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.76,27.78,27.17,27.78
2046,27.38,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.80,27.79,27.80,27.80,27.77,27.80,27.15,27.80
2047,27.46,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.80,27.82,27.23,27.82
